ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	STRICTID	LOOSEID	COMMONID	AUTOMORPHEMES	SALIENTID
1461	Beijing	Mandarin	I	uo²¹³	wo²¹³	w o ²¹³	313	I:1ST/我	i n t		我		6 7 8	AXT	WU6	1	1.W.C 1.U.V 1.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1462	Ha_erbin	Mandarin	I	uo²¹³	wo²¹³	w o ²¹³	313	I:1ST/我	i n t		我		6 7 8	AXT	WU6	7	7.W.C 7.U.V 7.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1463	Jinan	Mandarin	I	vɔ⁴⁵	vɔ⁴⁵	v ɔ ⁴⁵	313	I:1ST/我	i n t		我		3 7 8	AXT	BU2	8	8.B.C 8.U.V 8.2.T	1.6 3.0 1.0	0	353	264	495	I	302
1464	Rongcheng	Mandarin	I	uɔ²¹⁴	wɔ²¹⁴	w ɔ ²¹⁴	313	I:1ST/我	i n t		我		6 7 8	AXT	WU6	14	14.W.C 14.U.V 14.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1465	Taiyuan	Jin	I	ɣɤ⁵³	ɣɤ⁵³	ɣ ɤ ⁵³	313	I:1ST/我	i n t		我		3 7 8	AXT	GE3	16	16.G.C 16.E.V 16.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1466	Xi_an	Mandarin	I	ŋɤ⁵³	ŋɤ⁵³	ŋ ɤ ⁵³	313	I:1ST/我	i n t		我		4 7 8	AXT	NE3	18	18.N.C 18.E.V 18.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1467	Chengdu	Mandarin	I	ŋo⁵³	ŋo⁵³	ŋ o ⁵³	313	I:1ST/我	i n t		我		4 7 8	AXT	NU3	3	3.N.C 3.U.V 3.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1468	Nanjing	Mandarin	I	o¹¹	o¹¹	o ¹¹	313	I:1ST/我	n t		我		7 8	XT	U1	13	13.U.V 13.1.T	3.0 1.0	0	353	264	495	I	302
1469	Jixi	Hui	I	ɔ²¹³	ɔ²¹³	ɔ ²¹³	313	I:1ST/我	n t		我		7 8	XT	U6	9	9.U.V 9.6.T	3.0 1.0	0	353	264	495	I	302
1470	Suzhou	Wu	I	ŋəu²³¹	ŋəu²³¹	ŋ əu ²³¹	314	I:1ST/吾	i n t		吾		4 7 8	AXT	NE6	15	15.N.C 15.E.V 15.6.T	1.6 3.0 1.0	0	354	266	497	I	303
1471	Wenzhou	Wu	I	ŋ̍²⁴	ŋ̍²⁴	ŋ̍/ŋ Ø/ə Ø/ŋ ²⁴	313	I:1ST/我	i n c t		我		4 7 4 8	AXLT	NEN2	17	17.N.C 17.E.V 17.N.c 17.2.T	1.6 3.0 1.1 1.0	0	353	264	495	I	302
1472	Changsha	Xiang	I	ŋo⁴¹	ŋo⁴¹	ŋ o ⁴¹	313	I:1ST/我	i n t		我		4 7 8	AXT	NU3	2	2.N.C 2.U.V 2.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1473	Loudi	Xiang	I	ŋ̍⁴²	ŋ̍⁴²	ŋ̍/ŋ Ø/ə Ø/ŋ ⁴²	313	I:1ST/我	i n c t		我		4 7 4 8	AXLT	NEN3	10	10.N.C 10.E.V 10.N.c 10.3.T	1.6 3.0 1.1 1.0	0	353	264	495	I	302
1474	Nanchang	Gan	I	ŋo²¹³	ŋo²¹³	ŋ o ²¹³	313	I:1ST/我	i n t		我		4 7 8	AXT	NU6	12	12.N.C 12.U.V 12.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1475	Meixian	Hakka	I	ŋai¹¹	ŋai¹¹	ŋ ai ¹¹	315	I:1ST/佳	i n t		佳		4 7 8	AXT	NA1	11	11.N.C 11.A.V 11.1.T	1.6 3.0 1.0	0	355	265	496	I	304
1476	Guilin	Pinghua	I	uo²³	wo²³	w o ²³	313	I:1ST/我	i n t		我		6 7 8	AXT	WU2	6	6.W.C 6.U.V 6.2.T	1.6 3.0 1.0	0	353	264	495	I	302
1477	Guangzhou	Yue	I	ŋɔ²³	ŋɔ²³	ŋ ɔ ²³	313	I:1ST/我	i n t		我		4 7 8	AXT	NU2	5	5.N.C 5.U.V 5.2.T	1.6 3.0 1.0	0	353	264	495	I	302
1478	Fuzhou	Min	I	ŋuai³²	ŋwai³²	ŋ w ai ³²	313	I:1ST/我	i m n t		我		4 6 7 8	ACXT	NWA3	4	4.N.C 4.W.C 4.A.V 4.3.T	1.6 1.2 3.0 1.0	0	353	264	495	I	302
1479	Xiamen	Min	I	ŋua⁵³	ŋwa⁵³	ŋ w a ⁵³	313	I:1ST/我	i m n t		我		4 6 7 8	ACXT	NWA3	19	19.N.C 19.W.C 19.A.V 19.3.T	1.6 1.2 3.0 1.0	0	353	264	495	I	302
148	Beijing	Mandarin	all	tɕʰyɛn³⁵ pu⁵¹	tɕʰɥɛn³⁵+pu⁵¹	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	54 55	complete/全 part/部	i m n c t + i n t		全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN2_PY3	1	1.C.C 1.J.C 1.E.V 1.N.c 1.2.T 1._._ 1.P.C 1.Y.V 1.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
149	Ha_erbin	Mandarin	all	tɕʰyan²⁴ pu⁵³	tɕʰɥan²⁴+pu⁵³	tɕʰ ɥ a n ²⁴ + p u ⁵³	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJAN2_PY3	7	7.C.C 7.J.C 7.A.V 7.N.c 7.2.T 7._._ 7.P.C 7.Y.V 7.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
150	Jinan	Mandarin	all	tɕʰyæ̃⁵³ pu³¹	tɕʰɥæ̃⁵³+pu³¹	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	54 55	complete/全 part/部	i m n t + i n t	copula-compound	全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CJE3_PY3	8	8.C.C 8.J.C 8.E.V 8.3.T 8._._ 8.P.C 8.Y.V 8.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
151	Rongcheng	Mandarin	all	tsʰiɐn³⁵ pur³³⁴	tsʰjɐn³⁵+pu³³⁴	tsʰ j ɐ n ³⁵ + p u ³³⁴	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN2_PY6	14	14.C.C 14.J.C 14.E.V 14.N.c 14.2.T 14._._ 14.P.C 14.Y.V 14.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
152	Taiyuan	Jin	all	tɕʰye²¹ pu⁴⁵	tɕʰɥe²¹+pu⁴⁵	tɕʰ ɥ e ²¹ + p u ⁴⁵	54 55	complete/全 part/部	i m n t + i n t	copula-compound	全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CJE3_PY2	16	16.C.C 16.J.C 16.E.V 16.3.T 16._._ 16.P.C 16.Y.V 16.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
153	Xi_an	Mandarin	all	tsʰuæ̃²⁴ pu⁴⁴	tsʰwæ̃²⁴+pu⁴⁴	tsʰ w æ̃ ²⁴ + p u ⁴⁴	54 55	complete/全 part/部	i m n t + i n t	copula-compound	全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CWE2_PY5	18	18.C.C 18.W.C 18.E.V 18.2.T 18._._ 18.P.C 18.Y.V 18.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
154	Chengdu	Mandarin	all	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰɥan²¹+pu²¹³	tɕʰ ɥ a n ²¹ + p u ²¹³	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJAN3_PY6	3	3.C.C 3.J.C 3.A.V 3.N.c 3.3.T 3._._ 3.P.C 3.Y.V 3.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
155	Nanjing	Mandarin	all	tɕʰyen¹³ pu⁴⁴	tɕʰɥen¹³+pu⁴⁴	tɕʰ ɥ e n ¹³ + p u ⁴⁴	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN2_PY5	13	13.C.C 13.J.C 13.E.V 13.N.c 13.2.T 13._._ 13.P.C 13.Y.V 13.5.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
156	Jixi	Hui	all	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰɥẽ⁴⁴+pʰu³¹	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	54 55	complete/全 part/部	i m n t + i n t	copula-compound	全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CJE5_PY3	9	9.C.C 9.J.C 9.E.V 9.5.T 9._._ 9.P.C 9.Y.V 9.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
157	Suzhou	Wu	all	ziɪ¹³ bu²³¹⁻²¹	zjɪ¹³+bu²³¹	z j ɪ ¹³ + b u ²³¹	54 55	complete/全 part/部	i m n t + i n t	copula-compound	全 部		3 6 7 8 9 1 7 8	ACXT_AXT	SJI2_PY6	15	15.S.C 15.J.C 15.I.V 15.2.T 15._._ 15.P.C 15.Y.V 15.6.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
158	Wenzhou	Wu	all	jy³⁴¹⁻²⁴ bu²⁴⁻²²	jy³⁴¹+bu²⁴	j y ³⁴¹ + b u ²⁴	54 55	complete/全 part/部	i n t + i n t	copula-compound	全 部		6 7 8 9 1 7 8	AXT_AXT	JY6_PY2	17	17.J.C 17.Y.V 17.6.T 17._._ 17.P.C 17.Y.V 17.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
159	Changsha	Xiang	all	tɕʰyẽ¹³ pu¹¹	tɕʰɥẽ¹³+pu¹¹	tɕʰ ɥ ẽ ¹³ + p u ¹¹	54 55	complete/全 part/部	i m n t + i n t		全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CJE2_PY1	2	2.C.C 2.J.C 2.E.V 2.2.T 2._._ 2.P.C 2.Y.V 2.1.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
160	Loudi	Xiang	all	dzuĩ¹³ bu¹¹	dzwĩ¹³+bu¹¹	dz w ĩ ¹³ + b u ¹¹	54 55	complete/全 part/部	i m n t + i n t		全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CWI2_PY1	10	10.C.C 10.W.C 10.I.V 10.2.T 10._._ 10.P.C 10.Y.V 10.1.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
161	Nanchang	Gan	all	tɕʰyon²⁴ pu⁰	tɕʰɥon²⁴+pu⁰	tɕʰ ɥ o n ²⁴ + p u ⁰	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJUN2_PY6	12	12.C.C 12.J.C 12.U.V 12.N.c 12.2.T 12._._ 12.P.C 12.Y.V 12.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
162	Meixian	Hakka	all	tɕʰien¹¹ pʰu⁵³	tɕʰjen¹¹+pʰu⁵³	tɕʰ j e n ¹¹ + pʰ u ⁵³	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN1_PY3	11	11.C.C 11.J.C 11.E.V 11.N.c 11.1.T 11._._ 11.P.C 11.Y.V 11.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
163	Guilin	Pinghua	all	tɕyã²² pu²¹	tɕɥã²²+pu²¹	tɕ ɥ ã ²² + p u ²¹	54 55	complete/全 part/部	i m n t + i n t	copula-compound	全 部		2 6 7 8 9 1 7 8	ACXT_AXT	CJA1_PY3	6	6.C.C 6.J.C 6.A.V 6.1.T 6._._ 6.P.C 6.Y.V 6.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
164	Guangzhou	Yue	all	tsʰyn²¹ pou²²	tsʰyn²¹+pou²²	tsʰ y n ²¹ + p ou ²²	54 55	complete/全 part/部	i n c t + i n t	copula-compound	全 部		2 7 4 8 9 1 7 8	AXLT_AXT	CYN3_PU1	5	5.C.C 5.Y.V 5.N.c 5.3.T 5._._ 5.P.C 5.U.V 5.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
165	Fuzhou	Min	all	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	ko²¹²+louŋ⁵³+ŋa²⁴²	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	56 467 58	-piece:CLS/個 all/郎 _descend/下	i n t + i n c t + i n t	囫囵下. copula-compound-modified	個 郎 下		1 7 8 9 5 7 4 8 9 4 7 8	AXT_AXLT_AXT	KU6_LUN3_NA6	4	4.K.C 4.U.V 4.6.T 4._._ 4.L.C 4.U.V 4.N.c 4.3.T 4._._ 4.N.C 4.A.V 4.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	39	2	3	ALL _all _all	34
166	Xiamen	Min	all	tsuan²⁴⁻²² pɔ²²	tswan²⁴+pɔ²²	ts w a n ²⁴ + p ɔ ²²	54 55	complete/全 part/部	i m n c t + i n t	copula-compound	全 部		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CWAN2_PU1	19	19.C.C 19.W.C 19.A.V 19.N.c 19.2.T 19._._ 19.P.C 19.U.V 19.1.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	38	1	1	ALL _all	33
3406	Beijing	Mandarin	and	xɤ³⁵	xɤ³⁵	x ɤ ³⁵	448	and/和	i n t		和		3 7 8	AXT	GE2	1	1.G.C 1.E.V 1.2.T	1.6 3.0 1.0	0	799	3	6	AND	652
3407	Ha_erbin	Mandarin	and	xɤ²¹	xɤ²¹	x ɤ ²¹	448	and/和	i n t		和		3 7 8	AXT	GE3	7	7.G.C 7.E.V 7.3.T	1.6 3.0 1.0	0	799	3	6	AND	652
3408	Jinan	Mandarin	and	xɤ⁵³	xɤ⁵³	x ɤ ⁵³	448	and/和	i n t		和		3 7 8	AXT	GE3	8	8.G.C 8.E.V 8.3.T	1.6 3.0 1.0	0	799	3	6	AND	652
3409	Rongcheng	Mandarin	and	xɔ³⁵	xɔ³⁵	x ɔ ³⁵	448	and/和	i n t		和		3 7 8	AXT	GU2	14	14.G.C 14.U.V 14.2.T	1.6 3.0 1.0	0	799	3	6	AND	652
3410	Taiyuan	Jin	and	xɤ²¹	xɤ²¹	x ɤ ²¹	448	and/和	i n t		和		3 7 8	AXT	GE3	16	16.G.C 16.E.V 16.3.T	1.6 3.0 1.0	0	799	3	6	AND	652
3411	Xi_an	Mandarin	and	xuo²⁴	xwo²⁴	x w o ²⁴	448	and/和	i m n t		和		3 6 7 8	ACXT	GWU2	18	18.G.C 18.W.C 18.U.V 18.2.T	1.6 1.2 3.0 1.0	0	799	3	6	AND	652
3412	Chengdu	Mandarin	and	xo²¹	xo²¹	x o ²¹	448	and/和	i n t		和		3 7 8	AXT	GU3	3	3.G.C 3.U.V 3.3.T	1.6 3.0 1.0	0	799	3	6	AND	652
3413	Nanjing	Mandarin	and	xo¹³	xo¹³	x o ¹³	448	and/和	i n t		和		3 7 8	AXT	GU2	13	13.G.C 13.U.V 13.2.T	1.6 3.0 1.0	0	799	3	6	AND	652
3414	Jixi	Hui	and	xɵ⁴⁴	xɵ⁴⁴	x ɵ ⁴⁴	1042	and/和	i n t	!b	和		3 7 8	AXT	GU5	9	9.G.C 9.U.V 9.5.T	1.6 3.0 1.0	0	800	7	10	AND	653
3415	Suzhou	Wu	and	taʔ⁴	taʔ⁴	t a ʔ ⁴	223	and/搭	i n c t		搭		1 7 1 8	AXLT	TAH6	15	15.T.C 15.A.V 15.H.c 15.6.T	1.6 3.0 1.1 1.0	0	801	11	14	AND	654
3416	Wenzhou	Wu	and	kʰuɔ⁵¹	kʰwɔ⁵¹	kʰ w ɔ ⁵¹	650	and/伉	i m n t		伉		1 6 7 8	ACXT	KWU3	17	17.K.C 17.W.C 17.U.V 17.3.T	1.6 1.2 3.0 1.0	0	802	12	15	AND	655
3417	Changsha	Xiang	and	kən³³	kən³³	k ə n ³³	651	follow/跟	i n c t		跟		1 7 4 8	AXLT	KEN4	2	2.K.C 2.E.V 2.N.c 2.4.T	1.6 3.0 1.1 1.0	1	803	4	7	AND	656
3418	Loudi	Xiang	and	ɣo¹³	ɣo¹³	ɣ o ¹³	1043	and/和	i n t	!b	和		3 7 8	AXT	GU2	10	10.G.C 10.U.V 10.2.T	1.6 3.0 1.0	0	804	8	11	AND	657
3419	Nanchang	Gan	and	fo⁴⁵	fo⁴⁵	f o ⁴⁵	1044	and/和	i n t	!b	和		3 7 8	AXT	BU2	12	12.B.C 12.U.V 12.2.T	1.6 3.0 1.0	0	805	10	13	AND	658
3420	Meixian	Hakka	and	tʰuŋ¹¹	tʰuŋ¹¹	tʰ u ŋ ¹¹	652	and/同	i n c t		同		1 7 4 8	AXLT	TYN1	11	11.T.C 11.Y.V 11.N.c 11.1.T	1.6 3.0 1.1 1.0	0	806	9	12	AND	659
3421	Guilin	Pinghua	and	kɤn⁴²	kɤn⁴²	k ɤ n ⁴²	651	follow/跟	i n c t		跟		1 7 4 8	AXLT	KEN3	6	6.K.C 6.E.V 6.N.c 6.3.T	1.6 3.0 1.1 1.0	1	803	4	7	AND	656
3422	Guangzhou	Yue	and	uɔ²¹	wɔ²¹	w ɔ ²¹	1045	and/和	i n t	!b	和		6 7 8	AXT	WU3	5	5.W.C 5.U.V 5.3.T	1.6 3.0 1.0	0	807	6	9	AND	660
3423	Fuzhou	Min	and	kɔyŋ²⁴²	kɔyŋ²⁴²	k ɔy ŋ ²⁴²	625	give/共	i n c t		共		1 7 4 8	AXLT	KUN6	4	4.K.C 4.U.V 4.N.c 4.6.T	1.6 3.0 1.1 1.0	0	752	5	8	AND	621
3424	Xiamen	Min	and	kaʔ³²*	kaʔ³²	k a ʔ ³²	1046	and/和	i n c t	!b	和		1 7 1 8	AXLT	KAH3	19	19.K.C 19.A.V 19.H.c 19.3.T	1.6 3.0 1.1 1.0	0	808	13	16	AND	661
2893	Beijing	Mandarin	animal	tuŋ⁵¹⁻⁵³ u⁵¹⁻³¹	tuŋ⁵¹+u⁵¹	t u ŋ ⁵¹ + u ⁵¹	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y3	1	1.T.C 1.Y.V 1.N.c 1.3.T 1._._ 1.Y.V 1.3.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2894	Ha_erbin	Mandarin	animal	tuŋ⁵³ u⁰	tuŋ⁵³+u⁰	t u ŋ ⁵³ + u ⁰	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y6	7	7.T.C 7.Y.V 7.N.c 7.3.T 7._._ 7.Y.V 7.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2895	Jinan	Mandarin	animal	tuŋ³¹ u⁰	tuŋ³¹+u⁰	t u ŋ ³¹ + u ⁰	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y6	8	8.T.C 8.Y.V 8.N.c 8.3.T 8._._ 8.Y.V 8.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2896	Rongcheng	Mandarin	animal	toŋ³³⁴⁻³ u³³⁴	toŋ³³⁴+u³³⁴	t o ŋ ³³⁴ + u ³³⁴	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TUN6_Y6	14	14.T.C 14.U.V 14.N.c 14.6.T 14._._ 14.Y.V 14.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2897	Taiyuan	Jin	animal	tuŋ⁴⁵ və⁰	tuŋ⁴⁵+və⁰	t u ŋ ⁴⁵ + v ə ⁰	588 179	move/動 thing/物	i n c t + i n t		動 物		1 7 4 8 9 3 7 8	AXLT_AXT	TYN2_BE6	16	16.T.C 16.Y.V 16.N.c 16.2.T 16._._ 16.B.C 16.E.V 16.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2898	Xi_an	Mandarin	animal	tuŋ⁴⁴ vo²¹	tuŋ⁴⁴+vo²¹	t u ŋ ⁴⁴ + v o ²¹	588 179	move/動 thing/物	i n c t + i n t		動 物		1 7 4 8 9 3 7 8	AXLT_AXT	TYN5_BU3	18	18.T.C 18.Y.V 18.N.c 18.5.T 18._._ 18.B.C 18.U.V 18.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2899	Chengdu	Mandarin	animal	toŋ²¹³ u²¹	toŋ²¹³+u²¹	t o ŋ ²¹³ + u ²¹	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TUN6_Y3	3	3.T.C 3.U.V 3.N.c 3.6.T 3._._ 3.Y.V 3.3.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2900	Nanjing	Mandarin	animal	toŋ⁴⁴⁻⁴² uʔ⁵	toŋ⁴⁴+uʔ⁵	t o ŋ ⁴⁴ + u ʔ ⁵	588 179	move/動 thing/物	i n c t + n c t		動 物		1 7 4 8 9 7 1 8	AXLT_XLT	TUN5_YH6	13	13.T.C 13.U.V 13.N.c 13.5.T 13._._ 13.Y.V 13.H.c 13.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.1 1.0	0	696	14	17	ANIMAL _animal	577
2901	Jixi	Hui	animal	tʰɑ̃²¹³⁻³¹ vɤʔ³²*	tʰɑ̃²¹³+vɤʔ³²	tʰ ɑ̃ ²¹³ + v ɤ ʔ ³²	588 179	move/動 thing/物	i n t + i n c t		動 物		1 7 8 9 3 7 1 8	AXT_AXLT	TA6_BEH3	9	9.T.C 9.A.V 9.6.T 9._._ 9.B.C 9.E.V 9.H.c 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	696	14	17	ANIMAL _animal	577
2902	Suzhou	Wu	animal	tsoŋ⁴⁴ sã⁴⁴⁻²¹	tsoŋ⁴⁴+sã⁴⁴	ts o ŋ ⁴⁴ + s ã ⁴⁴	589 590	animal/眾 beast/牲	i n c t + i n t		眾 牲		2 7 4 8 9 3 7 8	AXLT_AXT	CUN5_SA5	15	15.C.C 15.U.V 15.N.c 15.5.T 15._._ 15.S.C 15.A.V 15.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	697	16	22	ANIMAL _animal	578
2903	Wenzhou	Wu	animal	doŋ²⁴ vai²²⁻²¹	doŋ²⁴+vai²²	d o ŋ ²⁴ + v ai ²²	588 179	move/動 thing/物	i n c t + i n t		動 物		1 7 4 8 9 3 7 8	AXLT_AXT	TUN2_BA1	17	17.T.C 17.U.V 17.N.c 17.2.T 17._._ 17.B.C 17.A.V 17.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2904	Changsha	Xiang	animal	toŋ¹¹ u²⁴	toŋ¹¹+u²⁴	t o ŋ ¹¹ + u ²⁴	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TUN1_Y2	2	2.T.C 2.U.V 2.N.c 2.1.T 2._._ 2.Y.V 2.2.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2905	Loudi	Xiang	animal	dɤn¹¹ u³⁵⁻⁵	dɤn¹¹+u³⁵	d ɤ n ¹¹ + u ³⁵	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TEN1_Y2	10	10.T.C 10.E.V 10.N.c 10.1.T 10._._ 10.Y.V 10.2.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2906	Nanchang	Gan	animal	tʰuŋ²¹ u⁰	tʰuŋ²¹+u⁰	tʰ u ŋ ²¹ + u ⁰	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y6	12	12.T.C 12.Y.V 12.N.c 12.3.T 12._._ 12.Y.V 12.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2907	Meixian	Hakka	animal	tʰuŋ⁵³ vut⁵	tʰuŋ⁵³+vut⁵	tʰ u ŋ ⁵³ + v u t ⁵	588 179	move/動 thing/物	i n c t + i n c t		動 物		1 7 4 8 9 3 7 1 8	AXLT_AXLT	TYN3_BYT6	11	11.T.C 11.Y.V 11.N.c 11.3.T 11._._ 11.B.C 11.Y.V 11.T.c 11.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	0	696	14	17	ANIMAL _animal	577
2908	Guilin	Pinghua	animal	tɤn²⁵ u²²	tɤn²⁵+u²²	t ɤ ŋ ²⁵ + u ²²	588 179	move/動 thing/物	i n c t + n t		動 物		1 7 4 8 9 7 8	AXLT_XT	TEN2_Y1	6	6.T.C 6.E.V 6.N.c 6.2.T 6._._ 6.Y.V 6.1.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	0	696	14	17	ANIMAL _animal	577
2909	Guangzhou	Yue	animal	toŋ³³ mɐt²	toŋ³³+mɐt²	t o ŋ ³³ + m ɐ t ²	588 179	move/動 thing/物	i n c t + i n c t		動 物		1 7 4 8 9 4 7 1 8	AXLT_AXLT	TUN4_MET6	5	5.T.C 5.U.V 5.N.c 5.4.T 5._._ 5.M.C 5.E.V 5.T.c 5.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	0	696	14	17	ANIMAL _animal	577
2910	Fuzhou	Min	animal	si²¹²⁻²¹ kʰa⁵⁵ βa⁵³	si²¹²+kʰa⁵⁵+βa⁵³	s i ²¹² + kʰ a ⁵⁵ + β a ⁵³	225 279 591	four/四 leg/骹 _creep/爬	i n t + i n t + i n t		四 骹 爬		3 7 8 9 1 7 8 9 3 7 8	AXT_AXT_AXT	SI6_KA5_BA3	4	4.S.C 4.I.V 4.6.T 4._._ 4.K.C 4.A.V 4.5.T 4._._ 4.B.C 4.A.V 4.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	698	15	19	ANIMAL _animal _animal	579
