ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	STRICTID	LOOSEID	COMMONID	AUTOMORPHEMES	SALIENTID
917	Wenzhou	Wu	water	sɿ²⁴	sɿ²⁴	s ɿ ²⁴	194	water/水	i n t		水		3 7 8	AXT	SI2	17	17.S.C 17.I.V 17.2.T	1.6 3.0 1.0	0	206	570	1095	WATER	173
918	Changsha	Xiang	water	ɕyei⁴¹	ɕɥei⁴¹	ɕ ɥ ei ⁴¹	194	water/水	i m n t		水		3 6 7 8	ACXT	SJE3	2	2.S.C 2.J.C 2.E.V 2.3.T	1.6 1.2 3.0 1.0	0	206	570	1095	WATER	173
919	Loudi	Xiang	water	ɕy⁴²	ɕy⁴²	ɕ y ⁴²	194	water/水	i n t		水		3 7 8	AXT	SY3	10	10.S.C 10.Y.V 10.3.T	1.6 3.0 1.0	0	206	570	1095	WATER	173
920	Nanchang	Gan	water	sui²¹³	swi²¹³	s w i ²¹³	194	water/水	i m n t		水		3 6 7 8	ACXT	SWI6	12	12.S.C 12.W.C 12.I.V 12.6.T	1.6 1.2 3.0 1.0	0	206	570	1095	WATER	173
921	Meixian	Hakka	water	sui³¹	swi³¹	s w i ³¹	194	water/水	i m n t		水		3 6 7 8	ACXT	SWI3	11	11.S.C 11.W.C 11.I.V 11.3.T	1.6 1.2 3.0 1.0	0	206	570	1095	WATER	173
922	Guilin	Pinghua	water	suei²³	swei²³	s w ei ²³	194	water/水	i m n t		水		3 6 7 8	ACXT	SWE2	6	6.S.C 6.W.C 6.E.V 6.2.T	1.6 1.2 3.0 1.0	0	206	570	1095	WATER	173
923	Guangzhou	Yue	water	søy³⁵	søy³⁵	s øy ³⁵	194	water/水	i n t		水		3 7 8	AXT	SU2	5	5.S.C 5.U.V 5.2.T	1.6 3.0 1.0	0	206	570	1095	WATER	173
924	Fuzhou	Min	water	tsuoi³²	tswoi³²	ts w oi ³²	194	water/水	i m n t		水		2 6 7 8	ACXT	CWU3	4	4.C.C 4.W.C 4.U.V 4.3.T	1.6 1.2 3.0 1.0	0	206	570	1095	WATER	173
925	Xiamen	Min	water	tsui⁵³	tswi⁵³	ts w i ⁵³	194	water/水	i m n t		水		2 6 7 8	ACXT	CWI3	19	19.C.C 19.W.C 19.I.V 19.3.T	1.6 1.2 3.0 1.0	0	206	570	1095	WATER	173
1480	Beijing	Mandarin	we	uo²¹³⁻²¹¹ mən³⁵	wo²¹³+mən³⁵	w o ²¹³ + m ə n ³⁵	313 195	I:1ST/我 :PL/們	i n t + i n c t		我 們		6 7 8 9 4 7 4 8	AXT_AXLT	WU6_MEN2	1	1.W.C 1.U.V 1.6.T 1._._ 1.M.C 1.E.V 1.N.c 1.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	356	571	1096	WE _we	305
1481	Ha_erbin	Mandarin	we	uo²¹³⁻²¹ mən⁰	wo²¹³+mən⁰	w o ²¹³ + m ə n ⁰	313 195	I:1ST/我 :PL/們	i n t + i n c t		我 們		6 7 8 9 4 7 4 8	AXT_AXLT	WU6_MEN6	7	7.W.C 7.U.V 7.6.T 7._._ 7.M.C 7.E.V 7.N.c 7.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	356	571	1096	WE _we	305
1482	Jinan	Mandarin	we	vɔ⁴⁵⁻²¹⁴ mẽ⁰	vɔ⁴⁵+mẽ⁰	v ɔ ⁴⁵ + m ẽ ⁰	313 195	I:1ST/我 :PL/們	i n t + i n t		我 們		3 7 8 9 4 7 8	AXT_AXT	BU2_ME6	8	8.B.C 8.U.V 8.2.T 8._._ 8.M.C 8.E.V 8.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	356	571	1096	WE _we	305
1483	Rongcheng	Mandarin	we	uɔ²¹⁴⁻²¹ mən³⁵	wɔ²¹⁴+mən³⁵	w ɔ ²¹⁴ + m ə n ³⁵	313 195	I:1ST/我 :PL/們	i n t + i n c t		我 們		6 7 8 9 4 7 4 8	AXT_AXLT	WU6_MEN2	14	14.W.C 14.U.V 14.6.T 14._._ 14.M.C 14.E.V 14.N.c 14.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	356	571	1096	WE _we	305
1484	Taiyuan	Jin	we	ɣɤ⁵³ mɤ⁰	ɣɤ⁵³+mɤ⁰	ɣ ɤ ⁵³ + m ɤ ⁰	313 195	I:1ST/我 :PL/們	i n t + i n t		我 們		3 7 8 9 4 7 8	AXT_AXT	GE3_ME6	16	16.G.C 16.E.V 16.3.T 16._._ 16.M.C 16.E.V 16.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	356	571	1096	WE _we	305
1485	Xi_an	Mandarin	we	ŋɛ²¹	ŋɛ²¹	ŋ ɛ ²¹	316	I:1ST/俺	i n t		俺		4 7 8	AXT	NE3	18	18.N.C 18.E.V 18.3.T	1.6 3.0 1.0	0	357	571	1099	WE	306
1486	Chengdu	Mandarin	we	ŋo⁵³⁻⁴⁵ m̩⁵⁵	ŋo⁵³+mm̩⁵⁵	ŋ o ⁵³ + m Ø/ə m̩/n ⁵⁵	313 195	I:1ST/我 :PL/們	i n t + i n c t		我 們		4 7 8 9 4 7 4 8	AXT_AXLT	NU3_MEN5	3	3.N.C 3.U.V 3.3.T 3._._ 3.M.C 3.E.V 3.N.c 3.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	356	571	1096	WE _we	305
1487	Nanjing	Mandarin	we	o¹¹⁻²¹ mən¹³	o¹¹+mən¹³	o ¹¹ + m ə n ¹³	313 195	I:1ST/我 :PL/們	n t + i n c t		我 們		7 8 9 4 7 4 8	XT_AXLT	U1_MEN2	13	13.U.V 13.1.T 13._._ 13.M.C 13.E.V 13.N.c 13.2.T	3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	356	571	1096	WE _we	305
1488	Jixi	Hui	we	ɔ²¹³ iɑ̃⁰	ɔ²¹³+jɑ̃⁰	ɔ ²¹³ + j ɑ̃ ⁰	313 38	I:1ST/我 person/人	n t + m n t		我 人		7 8 9 6 7 8	XT_AXT	U6_JA6	9	9.U.V 9.6.T 9._._ 9.J.C 9.A.V 9.6.T	3.0 1.0 0.0 1.6 3.0 1.0	0	358	571	1096	WE _we	307
1489	Suzhou	Wu	we	ŋəu²³¹⁻¹³ ȵi⁰	ŋəu²³¹+ɲi⁰	ŋ əu ²³¹ + ɲ i ⁰	314 317	I:ST/吾 :SUF/伲	i n t + i n t		吾 伲		4 7 8 9 4 7 8	AXT_AXT	NE6_NI6	15	15.N.C 15.E.V 15.6.T 15._._ 15.N.C 15.I.V 15.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	359	575	1112	WE _we	308
1490	Wenzhou	Wu	we	ŋ̍²⁴⁻²² liɛ³⁴¹⁻⁴	ŋ̍²⁴+ljɛ³⁴¹	ŋ̍/ŋ Ø/ə Ø/ŋ ²⁴ + l j ɛ ³⁴¹	313 233	I:1ST/我 :SUF/俫	i n c t + i m n t		我 倈		4 7 4 8 9 5 6 7 8	AXLT_ACXT	NEN2_LJE6	17	17.N.C 17.E.V 17.N.c 17.2.T 17._._ 17.L.C 17.J.C 17.E.V 17.6.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	0	360	571	1096	WE _we	309
1491	Changsha	Xiang	we	ŋo⁴¹ mən⁰	ŋo⁴¹+mən⁰	ŋ o ⁴¹ + m ə n ⁰	954 955	I:1ST/我 :PL/們	i n t + i n c t	!b	我 們		4 7 8 9 4 7 4 8	AXT_AXLT	NU3_MEN6	2	2.N.C 2.U.V 2.3.T 2._._ 2.M.C 2.E.V 2.N.c 2.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	361	572	1100	WE _we	310
1492	Loudi	Xiang	we	ŋ̍⁴² ŋa⁴⁴⁻³³	ŋ̍⁴²+ŋa⁴⁴	ŋ̍/ŋ Ø/ə Ø/ŋ ⁴² + ŋ a ⁴⁴	313 316	I:1ST/我 :1ST/俺	i n c t + i n t		我 俺		4 7 4 8 9 4 7 8	AXLT_AXT	NEN3_NA5	10	10.N.C 10.E.V 10.N.c 10.3.T 10._._ 10.N.C 10.A.V 10.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	362	571	1096	WE _we	311
1493	Nanchang	Gan	we	ŋo²¹³ mɨn⁰	ŋo²¹³+mɨn⁰	ŋ o ²¹³ + m ɨ n ⁰	956 957	I:1ST/我 :PL/們	i n t + i n c t	!b	我 們		4 7 8 9 4 7 4 8	AXT_AXLT	NU6_MIN6	12	12.N.C 12.U.V 12.6.T 12._._ 12.M.C 12.I.V 12.N.c 12.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	363	574	1110	WE _we	312
