ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	TYPE	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
1272	Taiyuan	earth	t i ⁴⁵	ground/地	N	monosyllabic	265	192	178	110	地	地		土地	i n t	
1273	Xi_an	earth	tʰ ou ⁵³ + t i ⁴⁴	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1274	Xi_an	earth	t i ⁴⁴	ground/地	N	monosyllabic	265	192	178	110	地	地		土地	i n t	
1275	Chengdu	earth	tʰ u ⁵³ + t i ²¹³	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1276	Chengdu	earth	t i ²¹³	ground/地	N	monosyllabic	265	193	179	110	土	地		土地	i n t	
1277	Nanjing	earth	t i ⁴⁴	ground/地	N	monosyllabic	265	192	178	110	地	地		土地	i n t	
1278	Nanjing	earth	tʰ u ¹¹ + t i ⁴⁴	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1279	Jixi	earth	tsʰ ɿ ³¹	ground/地	N	monosyllabic	265	192	178	110	地	地		土地	i n t	
1280	Jixi	earth	tʰ u ²¹³ + tsʰ ɿ ³¹	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1281	Suzhou	earth	d i ²³¹ + b i ¹³	ground/地 skin/皮	N N	head modifier	265 16	192	180	110	地皮	地 皮		土地	i n t + i n t	
1282	Suzhou	earth	tʰ əu ⁵² + d i ²³¹	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1283	Wenzhou	earth	tʰ øy ²⁴² + d ei ²²	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1284	Changsha	earth	tʰ əu ⁴¹ + t i ¹¹	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1285	Loudi	earth	tʰ ɤu ⁴² + d i ¹¹	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1286	Loudi	earth	d i ¹¹	ground/地	N	monosyllabic	265	192	178	110	地	地		土地	i n t	
1287	Nanchang	earth	tʰ u ²¹³ + tʰ i ⁴²	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1288	Meixian	earth	tʰ u ³¹ + tʰ i ⁵³	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1289	Guilin	earth	tʰ u ²³ + t i ²¹	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1290	Guangzhou	earth	tʰ ou ³⁵ + t ei ²²	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i n t	
1291	Fuzhou	earth	tʰ u ⁵³ + l ɛi ²⁴²	mud/涂 ground/地	N N	copulative_1 copulative_2	266 265	192	181	110	涂地(泥土地)	涂 地	泥土地	土地	i n t + i n t	
1292	Xiamen	earth	tʰ ɔ ⁵³ + t w e ²²	soil/土 ground/地	N N	copulative_1 copulative_2	264 265	192	177	110	土地	土 地		土地	i n t + i m n t	
68	Beijing	float	pʰ j ɑu ⁵⁵ + f u ³⁵	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	copulative synonyme
69	Ha_erbin	float	pʰ j au ⁴⁴ + f u ²⁴	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	copulative  synonyme
70	Jinan	float	pʰ j ɔ ²¹⁴ + f u ⁵³	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	copulative  synonyme
71	Rongcheng	float	pʰ j au ⁵² + f u ³⁵	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
72	Taiyuan	float	pʰ j ɑu ²¹	float/漂	V	monosyllabic	20	265	248	146	漂	漂		漂浮	i m n t	
73	Xi_an	float	pʰ j au ²¹	float/漂	V	monosyllabic	20	265	248	146	漂	漂		漂浮	i m n t	
74	Xi_an	float	f u ²⁴	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
75	Chengdu	float	pʰ j au ⁴⁵	float/漂	V	monosyllabic	20	265	248	146	漂	漂		漂浮	i m n t	
76	Nanjing	float	pʰ j ɔ ³¹ + f u ¹³	float/漂 float/浮	V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
77	Nanjing	float	f u ¹³	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
78	Nanjing	float	p j ɔ ³¹	float/漂	V	monosyllabic	20	265	248	146	漂	漂		漂浮	i m n t	
79	Jixi	float	f u ⁴⁴	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
80	Jixi	float	pʰ j e ⁵⁵ + f u ⁴⁴	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
81	Suzhou	float	tʰ ə n ⁵²	float/氽	V	monosyllabic	22	267	250	147	氽	氽		漂浮	i n c t	
82	Wenzhou	float	v ə ³⁴¹	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
83	Wenzhou	float	t a ŋ ⁵¹	float/氽	V	monosyllabic	22	267	250	147	氽	氽		漂浮	i n c t	
84	Changsha	float	pʰ j au ³³ + f u ⁰	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	copulative  synonyme
85	Loudi	float	b ɤ ¹³	float/漂	V	monosyllabic	20	265	248	146	漂	漂		漂浮	i n t	
86	Nanchang	float	pʰ j ɛu ⁴²	float/漂	V	monosyllabic	20	265	248	146	漂	漂		漂浮	i m n t	
87	Nanchang	float	f əu ⁴⁵	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
88	Nanchang	float	pʰ j ɛu ⁴² + f ɛu ⁴⁵	float/漂 float/浮	V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
89	Meixian	float	f eu ¹¹	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
90	Guilin	float	f u ²² + t ɑu ²³	float/浮 _fall.down/倒	V A	head modifier	21 23	264	251	146	浮倒	浮 倒		漂浮	i n t + i n t	
