ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	TYPE	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
1949	Taiyuan	swim	j əu ²¹ + y ŋ ⁵³	wander/游 _swim/泳	V V	copulative_1 copulative_2	387 388	881	776	430	游泳	游 泳		游泳	i n t + n c t	
1950	Xi_an	swim	j ou ²⁴ + f ei ⁵³	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i n t	
1951	Xi_an	swim	f u ²⁴ + f ei ⁵³	float/浮 _water/水	V N	verb object	21 194	882	778	430	浮水	浮 水		游泳	i n t + i n t	
1952	Xi_an	swim	j ou ²⁴	wander/游	V	monosyllabic	387	881	779	430	游	游		游泳	i n t	
1953	Chengdu	swim	j əu ²¹ + y n ²¹³	wander/游 _swim/泳	V V	copulative_1 copulative_2	387 388	881	776	430	游泳	游 泳		游泳	i n t + n c t	
1954	Chengdu	swim	ɕ i ⁵³ + ts au ⁵³	wash/洗 _wash/澡	V N	verb object	346 389	885	777	430	洗澡	洗 澡		游泳	i n t + i n t	
1955	Nanjing	swim	j əɯ ¹³ + j o ŋ ¹¹	wander/游 _swim/泳	V N	copulative	387 388	881	776	430	游泳	游 泳		游泳	i n t + i n c t	
1956	Jixi	swim	v o ⁵⁵ + ɕ y ²¹³	swim/? _water/水	V N	verb object	761 194	882	780	430	囗水	囗 水		游泳	i n t + i n t	
1957	Suzhou	swim	h o ʔ ⁴ + l ã ²³ + ɦ j o ʔ ²³	swim/淴 _cold/冷 _bath/浴	V A N	head modifier modifier	390 391 392	890	781	431	淴冷浴	淴 冷 浴		游泳	i n c t + i n t + i m n c t	
1958	Wenzhou	swim	j j eu ³⁴¹ + v u ³⁴¹ + ŋ̍ ⁰	swim/泅 _river/河 _SUF/儿	V N S	head modifier modifier	393 394 805	884	782	430	泅河儿	泅 河 儿		游泳	i m n t + i n t + n t	
1959	Changsha	swim	j əu ¹³ + ɕ ɥ ei ⁴¹	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i m n t	
1960	Changsha	swim	w a n ¹³ + ɕ ɥ ei ⁴¹	play/玩 _water/水	V N	verb object	285 194	882	783	430	玩水	玩 水		游泳	i n c t + i m n t	
1961	Loudi	swim	j o ¹³ + ɕ y ⁴²	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i n t	
1962	Loudi	swim	j o ¹³ + u n ¹¹	wander/游 _swim/泳	V N	copulative	387 388	881	776	430	游泳	游 泳		游泳	i n t + n c t	
1963	Nanchang	swim	j u ⁴⁵ + s w i ²¹³	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i m n t	
1964	Nanchang	swim	j u ⁴⁵ + j u ŋ ²¹³	wander/游 _swim/泳	V N	copulative_1 copulative_2	387 388	881	776	430	游泳	游 泳		游泳	i n t + i n c t	
1965	Meixian	swim	s e ³¹ + s ə n ³³ + n e ⁰	wash/洗 _body/身 _:SUF/儿	V N S	verb object modifier	346 75 804	885	784	430	洗身儿	洗 身 儿		游泳	i n t + i n c t + i n t	! I add 儿
1966	Guilin	swim	j ou ²² + s w ei ²³	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i m n t	
1967	Guangzhou	swim	j ɐu ²¹ + s øy ³⁵	wander/游 _water/水	V N	verb object	387 194	881	775	430	游水	游 水		游泳	i n t + i n t	
1968	Fuzhou	swim	s j eu ⁵³ + ts w oi ³²	swim/泅 _water/水	V N	verb object	393 194	882	785	430	泅水	泅 水		游泳	i m n t + i m n t	
1969	Xiamen	swim	s j u ²⁴ + ts w i ⁵³	swim/泅 _water/水	V N	verb object	393 194	882	785	430	泅水	泅 水		游泳	i m n t + i m n t	
1480	Beijing	we	w o ²¹³ + m ə n ³⁵	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n c t	
1481	Ha_erbin	we	w o ²¹³ + m ə n ⁰	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n c t	
1482	Jinan	we	v ɔ ⁴⁵ + m ẽ ⁰	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n t	
1483	Rongcheng	we	w ɔ ²¹⁴ + m ə n ³⁵	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n c t	
1484	Taiyuan	we	ɣ ɤ ⁵³ + m ɤ ⁰	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n t	
1485	Xi_an	we	ŋ ɛ ²¹	I:1ST/俺	Pron	monosyllabic	316	1020	882	496	俺	俺		我們	i n t	
1486	Chengdu	we	ŋ o ⁵³ + m Ø/ə m̩/n ⁵⁵	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n c t	
1487	Nanjing	we	o ¹¹ + m ə n ¹³	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	n t + i n c t	
1488	Jixi	we	ɔ ²¹³ + j ɑ̃ ⁰	I:1ST/我 person/人	Pron N	head modifier	313 38	1014	883	496	我人	我 人		我們	n t + m n t	
1489	Suzhou	we	ŋ əu ²³¹ + ɲ i ⁰	I:ST/吾 :SUF/伲	Pron S	head modifier	314 317	1025	884	498	吾伲	吾 伲		我們	i n t + i n t	
1490	Wenzhou	we	ŋ̍/ŋ Ø/ə Ø/ŋ ²⁴ + l j ɛ ³⁴¹	I:1ST/我 :SUF/俫	Pron S	head modifier	313 233	1014	885	496	我人+來	我 倈		我們	i n c t + i m n t	
1491	Changsha	we	ŋ o ⁴¹ + m ə n ⁰	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n c t	
1492	Loudi	we	ŋ̍/ŋ Ø/ə Ø/ŋ ⁴² + ŋ a ⁴⁴	I:1ST/我 :1ST/俺	Pron Pron	head modifier	313 316	1014	886	496	我人+奄	我 俺		我們	i n c t + i n t	
1493	Nanchang	we	ŋ o ²¹³ + m ɨ n ⁰	I:1ST/我 :PL/們	Pron S	head inflection	313 195	1014	881	496	我們	我 們		我們	i n t + i n c t	
1494	Nanchang	we	ŋ o ²¹³ + k o ⁰ + l i ⁰	I:ST/我 :SUF/竹固 :SUF/哩	Pron S S	(head modifier):head modifier	313 160 232	1014	887	496	我竹-固哩	我 竹固 哩		我們	i n t + i n t + i n t	! I am not sure the last morpheme is you or just a suffix
1495	Meixian	we	ŋ ai ¹¹ + t e n ³³ + ŋ i n ¹¹	I:1ST/𠊎 :PL/丁 person/人	Pron S N	(head inflection):head modifier	315 235 38	1019	888	496	𠊎丁人	𠊎 丁 人		我們	i n t + i n c t + i n c t	
1496	Guilin	we	w o ²³ + t e ²³ + l ei ⁴² + k ɤ ²¹	I:1ST/我 :suffix/te :suffix/lei -piece:CLS/個	Pron S N CLS	head modifier modifier modifier	313 511 8 56	1014	889	496	我囗囗囗	我 囗 囗 囗		我們	i n t + i n t + i n t + i n t	
1497	Guangzhou	we	ŋ ɔ ²³ + t ei ²²	I:1ST/我 :PL/哋	Pron S	head inflection	313 236	1014	890	496	我口+地	我 哋		我們	i n t + i n t	
1498	Fuzhou	we	n a ŋ ⁵³ + ŋ a ⁵⁵	we/侬 family/家	Pron N	head modifier	321 42	1016	891	497	侬家	侬 家		我們	i n c t + i n t	
1499	Fuzhou	we	n a ŋ ⁵³ + ŋ a ⁵⁵ + k o ʔ ²⁴ + n øy ŋ ⁵³	we/侬 family/家 :PL/各 _:SUF/儂	Pron N C Pron	head modifier modifier modifier	321 42 237 193	1016	892	497	侬家各侬	侬 家 各 侬		我們	i n c t + i n t + i n c t + i n c t	detail we and you
1500	Fuzhou	we	n u ⁵³ + k o ʔ ²⁴ + n øy ŋ ⁵³	we/奴 :PL/各 _:SUF/儂	Pron C Pron	head modifier modifier	322 237 193	1016	893	497	奴各侬(多用於女性，少用)	奴 各 侬	多用於女性，少用	我們	i n t + i n c t + i n c t	detail you and us
1501	Xiamen	we	l a n ⁵³	we/㑑	Pron	monosyllabic	323	1028	894	499	人+自	㑑		我們	i n c t	
114	Beijing	wife	tɕʰ i ⁵⁵ + ts ɿ ⁰	wife/妻 _-child:SUF/子	N S	head suffix	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
115	Ha_erbin	wife	l au ²¹³ + pʰ ɤ ⁰	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	multisyllabic word
116	Ha_erbin	wife	ɕ i ²¹³ + f u ⁰	wife/媳 wife/婦	N N	copulative_1 copulative_2	29 30	1099	939	523	媳婦兒	媳 婦		妻子	i n t + i n t	original meaning was 新婦
117	Ha_erbin	wife	l au ²¹³ + n j a ŋ ²⁴ + m ə ⁰	old/老 female/娘 :PL/們	N N S	prefix head inflection	27 31 195	1091	940	521	老娘们儿	老 娘 們		妻子	i n t + i m n c t + i n t	
118	Jinan	wife	tɕʰ i ²¹³ + ts ɿ ⁰	wife/妻 _-child:SUF/子	N S	head suffix	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
119	Rongcheng	wife	l au ²¹³ + pʰ ə ⁰	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	
120	Taiyuan	wife	l au ⁵³ + pʰ ɤ ²¹	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	multisyllabic word
121	Xi_an	wife	ɕ i ²¹ + f u ⁰	wife/媳 wife/婦	N N	copulative_1 copulative_2	29 30	1099	939	523	媳婦兒(年輕時稱)	媳 婦	年輕時稱	妻子	i n t + i n t	
122	Xi_an	wife	pʰ o ²⁴ + n j ɑ ŋ ⁰	woman/婆 female/娘	N N	copulative_1 copulative_2	28 31	1092	941	521	婆娘(中老年時稱)	婆 娘	中老年時稱	妻子	i n t + i m n c t	
123	Xi_an	wife	w ɑ ⁴⁴ + tʰ ɑ ²⁴ + m ɑ ²¹	child/娃 _big/大 _mother/媽	N A N	copulative_1 copulative_2 copulative_3	33 34 50	1113	942	526	娃大妈(有了小孩時稱)	娃 大 妈	有了小孩時稱	妻子	m n t + i n t + i n t	
124	Xi_an	wife	u ²¹ + n i ⁰ + ʐ ẽ ²⁴	_house/屋 inside/里 _person/人	N N N	(head modifier):modifier head	36 52 38	1102	943	525	屋裡人(與外人相對)	屋 裡 人	與外人相對	妻子	n t + i n t + i n t	
125	Chengdu	wife	l au ⁵³ + pʰ o ²¹	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	multisyllabic word
126	Chengdu	wife	l au ⁵³ + ɲ j ə ²¹	old/老 female/娘	N N	prefix head	27 31	1091	944	521	老娘兒(多用與BC)	老 娘	多用與BC	妻子	i n t + i m n t	multisyllabic word
127	Chengdu	wife	ɲ y ⁵³ + l i ⁵⁵	female/女 _:GEN/的	A G	head genitive	39 40	1101	945	525	女的(婚後	女 的	婚後	妻子	i n t + i n t	
128	Nanjing	wife	l ɔ ¹¹ + pʰ o ¹³	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	multisyllabic word
129	Jixi	wife	n ɤ ²¹³ + y ³¹	old/老 woman/妪	N N	prefix head	27 41	1091	946	521	老妪	老 妪		妻子	i n t + n t	multisyllabic word. If the phrase is wife, the two parts cannot be separated. But if the meaning is old lady, then the second morpheme is enough.
130	Jixi	wife	ɲ y ²¹³ + j ɑ̃ ⁴⁴	female/女 _person/人	A N	modifier head	39 38	1101	947	525	女人(尊稱對方的妻子)	女 人	尊稱對方的妻子	妻子	i n t + i n t	
131	Suzhou	wife	k ɑ ⁴⁴ + ts ʯ ⁵² + b u ¹³	family/家 lord/主 woman/婆	N A N	copulative_1 copulative_2 copulative_3	42 43 28	1092	948	521	家主婆	家 主 婆		妻子	i n t + i n t + i n t	
132	Wenzhou	wife	l ə ²⁴ + y ⁴⁴	old/老 wife/安	N N	prefix head	27 44	1091	949	521	老安	老 安		妻子	i n t + n t	multisyllabic word
133	Changsha	wife	tɕʰ i ³³ + ts ɿ ⁰	wife/妻 _-child:SUF/子	N S	head suffix	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
134	Changsha	wife	t a n ¹³ + kʰ ə ⁰	relative:N/堂 guest/客	N N	copulative_1 copulative_2	45 46	1096	950	522	堂客(BC)	堂 客	BC	妻子	i n c t + i n t	
135	Changsha	wife	l ei ¹¹ + t a n ³³ + tɕ j a ³³	inside/內 act/當 family/家	N V N	copulative_1 copulative_2 copulative_3	47 48 42	1098	951	521	內當家	內 當 家		妻子	i n t + i n c t + i m n t	
136	Changsha	wife	p o ¹³ + p o ⁰ + ts ɿ ⁰	woman/婆 woman/婆 _-child:SUF/子	N N2 S	reduplicate_1 reduplicate_2 suffix	28 772 19	1092	952	521	婆婆子(SC)	婆 婆 子	SC	妻子	i n t + i n t + i n t	
137	Loudi	wife	tʰ ɔ ŋ ¹³ + k e ¹³	relative:N/堂 guest/客	N N	copulative_1 copulative_2	45 46	1096	950	522	堂客	堂 客		妻子	i n c t + i n t	
138	Nanchang	wife	tɕʰ i ⁴² + ts ɿ ⁰	wife/妻 _-child:SUF/子	N S	head suffix	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
139	Nanchang	wife	l au ²¹³ + pʰ o ⁰	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	multisyllabic word
140	Meixian	wife	l au ³¹ + pʰ o ¹¹	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	multisyllabic word
141	Guilin	wife	l ɑu ²³ + p w o ²²	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i m n t	multisyllabic word
142	Guangzhou	wife	tsʰ ɐi ⁵³ + ts i ³⁵	wife/妻 _-child:SUF/子	N S	head suffix	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
143	Fuzhou	wife	l o ³² + l/s j eu ³²	old/老 small/小	N N	prefix head	27 49	1091	953	521	老小	老 小		妻子	i n t + i m n t	multisyllabic word
144	Fuzhou	wife	l au ²⁴² + m a ³²	old/老 mother/媽	N N	prefix head	27 50	1091	954	521	老媽	老 媽		妻子	i n t + i n t	multisyllabic word
145	Fuzhou	wife	l au ²⁴² + pʰ o ⁵³	old/老 woman/婆	N N	prefix head	27 28	1091	938	521	老婆(谑称)	老 婆	谑称	妻子	i n t + i n t	multisyllabic word
146	Fuzhou	wife	tsʰ w o ²¹² + l j e ³²	place:V/厝 inside/里	N N	copulative_1 copulative_2	51 52	1116	955	527	厝里(對人稱呼己妻子)	厝 里	對人稱呼己妻子	妻子	i m n t + i m n t	
147	Xiamen	wife	b ɔ ⁵³	wife/某	N	monosyllabic	53	1107	956	524	某～	某		妻子	i n t	
4281	Beijing	woman	n y ²¹⁴ + ʐ ɛ n ³⁵	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4282	Ha_erbin	woman	n j a ŋ ²⁴ + m ə ⁰	female/娘 _:PL/們	N S	head inflection	31 195	1135	970	531	娘們兒	娘 們		女人	i m n c t + i n t	
4283	Jinan	woman	ɲ y ⁴⁵ + ʐ ẽ ⁵³	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n t	
4284	Rongcheng	woman	n y ²¹³ + i n ⁵²	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + n c t	
4285	Taiyuan	woman	n y ⁵³ + z ə ŋ ²¹	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4286	Xi_an	woman	n y ⁵³ + ʐ ẽ ⁰	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n t	
4287	Chengdu	woman	ɲ y ⁵³ + z ə n ²¹	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4288	Chengdu	woman	ɲ y ⁵³ + l i ⁵⁵	female/女 _:GEN/的	A G	head genitive	39 40	1132	945	530	女的	女 的		女人	i n t + i n t	
4289	Nanjing	woman	l i ³¹ + ʐ ə n ¹³	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4290	Jixi	woman	ɲ y ²¹³ + n ɤ ⁰	female/女 _person/仂	A N	head modifier	39 170	1132	971	530	女仂	女 仂		女人	i n t + i n t	
4291	Suzhou	woman	ɲ y ²³¹ + ɲ i n ¹³	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4292	Wenzhou	woman	l ə ²⁴ + ɲ j a ŋ ³⁴¹ + kʰ a ⁴¹	old/老 female/娘 _guest/客	A N N	prefix head modifier	27 31 46	1133	972	530	老人客	老 娘 客		女人	i n t + i m n c t + i n t	
4293	Changsha	woman	ɲ y ⁴¹ + ʐ ə n ⁰	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4294	Changsha	woman	ɲ y ⁴¹ + t i ⁰	female/女 _:GEN/的	A G	head genitive	39 40	1132	945	530	女的	女 的		女人	i n t + i n t	
4295	Loudi	woman	n y ⁴² + n i n ¹³ + k a ⁰	female/女 _person/人 _family/家	A N N	(modifier head):head suffix	39 38 42	1132	973	530	女人家	女 人 家		女人	i n t + i n c t + i n t	
4296	Nanchang	woman	ɲ y ²¹³ + kʰ a ʔ ⁵	female/女 _guest/客	A N	head modifier	39 46	1132	974	530	女客	女 客		女人	i n t + i n c t	
4297	Meixian	woman	m oi ⁵³ + j e ⁰ + ŋ i n ¹¹	woman/妹 :SUF/? _person/人	N S N	(modifier suffix): modifier head	748 826 38	1133	975	530	妹兒人	妹 ? 人		女人	i n t + i n t + i n c t	
4298	Guilin	woman	l y ²³ + l i ŋ ²³	female/女 _person/人	N N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4299	Guangzhou	woman	n øy ²³ + j ɐ n ²¹	female/女 _person/人	A N	modifier head	39 38	1132	947	530	女人	女 人		女人	i n t + i n c t	
4300	Fuzhou	woman	i ⁵⁵ + ts j a ³²	woman/伊 sister/姐	N N	prefix head	824 715	1134	976	531	儂～姐	伊 姐		女人	n t + i m n t	multisyllabic word
4301	Fuzhou	woman	n y ³² + ɛ ²¹²	female/女 _world/界	A N	head modifier	39 825	1132	977	530	女界	女 界		女人	i n t + n t	
4302	Fuzhou	woman	ts y ⁵⁵ + n øy ŋ ⁵³ + n øy ŋ ⁵³	woman/諸 female/娘 _person/人	N N S	modifier head modifier	749 31 38	1134	978	531	諸娘儂	諸 娘 儂		女人	i n t + i n c t + i n c t	
4303	Xiamen	woman	ts a ⁵⁵ + b ɔ ⁵³ + l a ŋ ²⁴	woman/查 wife/某 _person/人	Pref N N	(copulative_1 copulative_2):modifier head	750 53 38	1133	979	530	查～某～人	查 某 人		女人	i n t + i n t + i n c t	
