ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
39	Nanchang	fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³	pʰ a ²¹³	fear/怕	V	11	235	221	131	怕	怕		怕	i n t	
40	Meixian	fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	pʰ a ⁵³	fear/怕	V	11	235	221	131	怕	怕		怕	i n t	
41	Meixian	fear	vi⁵³	vi⁵³	v i ⁵³	v i ⁵³	fear/畏	V	14	239	224	135	畏	畏		怕	i n t	
42	Meixian	fear	kiaŋ⁴⁴	kjaŋ⁴⁴	k j a ŋ ⁴⁴	k i a ŋ ⁴⁴	fear/驚	V	15	236	225	132	驚	驚		怕	i m n c t	
43	Guilin	fear	pʰᴀ²⁵	pʰa̠²⁵	pʰ a̠ ²⁵	pʰ a̠ ²⁵	fear/怕	V	11	235	221	131	怕	怕		怕	i n t	
44	Guangzhou	fear	pʰa³³	pʰa³³	pʰ a ³³	pʰ a ³³	fear/怕	V	11	235	221	131	怕	怕		怕	i n t	
45	Fuzhou	fear	kiaŋ⁵⁵	kjaŋ⁵⁵	k j a ŋ ⁵⁵	k i a ŋ ⁵⁵	fear/驚	V	15	236	225	132	驚	驚		怕	i m n c t	
46	Xiamen	fear	kiã⁵⁵	kjã⁵⁵	k j ã ⁵⁵	k i ã ∼ ⁵⁵	fear/驚	V	15	236	225	132	驚	驚		怕	i m n t	
47	Beijing	skin	pʰi³⁵ fu⁰	pʰi³⁵+fu⁰	pʰ i ³⁵ + f u ⁰	pʰ i ³⁵ + f u ⁰	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
48	Ha_erbin	skin	ʐou⁵³ pʰiər²⁴	ʐou⁵³+pʰjə²⁴	ʐ ou ⁵³ + pʰ j ə ²⁴	ʐ o u ⁵³ + pʰ i ə˞/ə ²⁴	_flesh/肉 skin/皮	N N	18 16	786	691	375	肉皮兒	肉 皮		皮膚	i n t + i m n t	
49	Jinan	skin	pʰi⁵³ fu²¹⁴	pʰi⁵³+fu²¹⁴	pʰ i ⁵³ + f u ²¹⁴	pʰ i ⁵³ + f u ²¹⁴	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
50	Rongcheng	skin	pʰi³⁵ fu⁵²	pʰi³⁵+fu⁵²	pʰ i ³⁵ + f u ⁵²	pʰ i ³⁵ + f u ⁵²	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
51	Taiyuan	skin	pʰi²¹ fu²¹	pʰi²¹+fu²¹	pʰ i ²¹ + f u ²¹	pʰ i ²¹ + f u ²¹	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
52	Xi_an	skin	pʰi²⁴	pʰi²⁴	pʰ i ²⁴	pʰ i ²⁴	skin/皮	N	16	786	692	375	皮	皮		皮膚	i n t	
53	Chengdu	skin	pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵	pʰi²¹+pʰi²¹	pʰ i ²¹ + pʰ i ²¹	pʰ i ⁵⁵/²¹ + pʰ i ⁵⁵/²¹	skin/皮 _skin:RED/皮	N N2	16 801	786	693	375	皮皮	皮 皮		皮膚	i n t + i n t	
54	Chengdu	skin	pʰi²¹⁻⁵⁵ tsɿ⁵³	pʰi²¹+tsɿ⁵³	pʰ i ²¹ + ts ɿ ⁵³	pʰ i ⁵⁵/²¹ + ts ɿ ⁵³	skin/膚 _-child:SUF/子	N S	17 19	787	694	375	膚子	皮 子		皮膚	i n t + i n t	
55	Nanjing	skin	pʰi¹³ fu³¹	pʰi¹³+fu³¹	pʰ i ¹³ + f u ³¹	pʰ i ¹³ + f u ³¹	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
56	Jixi	skin	pʰɿ⁴⁴	pʰɿ⁴⁴	pʰ ɿ ⁴⁴	pʰ ɿ ⁴⁴	skin/皮	N	16	786	692	375	皮	皮		皮膚	i n t	
57	Suzhou	skin	bi¹³⁻²² fu⁴⁴⁻³¹	bi¹³+fu⁴⁴	b i ¹³ + f u ⁴⁴	b i ²²/¹³ + f u ³¹/⁴⁴	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
