ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
355	Ha_erbin	not	pu⁵³	pu⁵³	p u ⁵³	p u ⁵³	not/不	Adv.	98	665	571	291	不	不		不	i n t	
356	Jinan	not	pu²¹⁴	pu²¹⁴	p u ²¹⁴	p u ²¹⁴	not/不	Adv.	98	665	571	291	不	不		不	i n t	
357	Rongcheng	not	pu²¹⁴	pu²¹⁴	p u ²¹⁴	p u ²¹⁴	not/不	Adv.	98	665	571	291	不	不		不	i n t	
358	Taiyuan	not	pəʔ²	pəʔ²	p ə ʔ ²	p ə ʔ ²	not/不	Adv.	98	665	571	291	不	不		不	i n c t	
359	Xi_an	not	pu²¹	pu²¹	p u ²¹	p u ²¹	not/不	Adv.	98	665	571	291	不	不		不	i n t	
360	Chengdu	not	pu²¹	pu²¹	p u ²¹	p u ²¹	not/不	Adv.	98	665	571	291	不	不		不	i n t	
361	Nanjing	not	puʔ⁵	puʔ⁵	p u ʔ ⁵	p u ʔ ⁵	not/不	Adv.	98	665	571	291	不	不		不	i n c t	
362	Jixi	not	pɤʔ³²*	pɤʔ³²	p ɤ ʔ ³²	p ɤ ʔ ³²*/³²	not/不	Adv.	98	665	571	291	不	不		不	i n c t	
363	Suzhou	not	fəʔ⁴	fəʔ⁴	f ə ʔ ⁴	f ə ʔ ⁴	not/勿	Adv.	99	669	572	294	勿	勿		不	i n c t	
364	Wenzhou	not	fu²⁴	fu²⁴	f u ²⁴	f u ²⁴	not/否	Adv.	100	670	29	295	否	否		不	i n t	
365	Changsha	not	pu²⁴	pu²⁴	p u ²⁴	p u ²⁴	not/不	Adv.	98	665	571	291	不	不		不	i n t	
366	Loudi	not	pʰu¹³	pʰu¹³	pʰ u ¹³	pʰ u ¹³	not/不	Adv.	98	665	571	291	不	不		不	i n t	
367	Nanchang	not	pʰɨt⁵	pʰɨt⁵	pʰ ɨ t ⁵	pʰ ɨ t ⁵	not/不	Adv.	98	665	571	291	不	不		不	i n c t	
368	Meixian	not	m̩¹¹	mm̩¹¹	m m̩ ¹¹	m m̩ ∼ ¹¹	not/唔	Adv.	101	668	573	293	唔	唔		不	i n t	
369	Guilin	not	pu²²	pu²²	p u ²²	p u ²²	not/不	Adv.	98	665	571	291	不	不		不	i n t	
370	Guangzhou	not	pɐt⁵	pɐt⁵	p ɐ t ⁵	p ɐ t ⁵	not/不	Adv.	98	665	571	291	不	不		不	i n c t	
371	Fuzhou	not	iŋ⁵⁵	iŋ⁵⁵	i ŋ ⁵⁵	i ŋ ⁵⁵	not/伓	Adv.	102	666	574	292	伓	伓		不	n c t	
372	Fuzhou	not	ŋ̍²⁴²	ŋ̍²⁴²	Ø/ə ŋ̍/ŋ ²⁴²	ŋ̍ ²⁴²	not/伓	Adv.	37	666	574	292	伓	伓		不	n c t	
373	Fuzhou	not	mo⁵³	mo⁵³	m o ⁵³	m o ⁵³	not/無	V	103	667	575	296	無	無		不	i n t	
374	Xiamen	not	bo²⁴	bo²⁴	b o ²⁴	b o ²⁴	not/無	V	103	667	575	296	無	無		不	i n t	
375	Beijing	rub	tsʰɑ⁵⁵	tsʰɑ⁵⁵	tsʰ ɑ ⁵⁵	tsʰ ɑ ⁵⁵	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
376	Ha_erbin	rub	tsʰa⁴⁴	tsʰa⁴⁴	tsʰ a ⁴⁴	tsʰ a ⁴⁴	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
377	Jinan	rub	tsʰa²¹⁴	tsʰa²¹⁴	tsʰ a ²¹⁴	tsʰ a ²¹⁴	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
378	Rongcheng	rub	tsʰa²¹⁴	tsʰa²¹⁴	tsʰ a ²¹⁴	tsʰ a ²¹⁴	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
379	Taiyuan	rub	tsʰaʔ²	tsʰaʔ²	tsʰ a ʔ ²	tsʰ a ʔ ²	rub/擦	V	104	733	638	338	擦	擦		擦	i n c t	
380	Taiyuan	rub	tɕʰie²¹	tɕʰje²¹	tɕʰ j e ²¹	tɕʰ i e ²¹	rub/汧	V	105	739	639	344	汧	汧		擦	i m n t	
381	Xi_an	rub	tsʰɑ²¹	tsʰɑ²¹	tsʰ ɑ ²¹	tsʰ ɑ ²¹	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
382	Chengdu	rub	tsʰa²¹	tsʰa²¹	tsʰ a ²¹	tsʰ a ²¹	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
383	Chengdu	rub	kʰai⁴⁵	kʰai⁴⁵	kʰ ai ⁴⁵	kʰ a i ⁴⁵	rub/揩	V	106	734	640	341	揩	揩		擦	i n t	
384	Nanjing	rub	tsʰɑʔ⁵	tsʰɑʔ⁵	tsʰ ɑ ʔ ⁵	tsʰ ɑ ʔ ⁵	rub/擦	V	104	733	638	338	擦	擦		擦	i n c t	
385	Nanjing	rub	kʰɛ³¹	kʰɛ³¹	kʰ ɛ ³¹	kʰ ɛ ³¹	rub/揩	V	106	734	640	341	揩	揩		擦	i n t	
386	Jixi	rub	tsʰaʔ³²*	tsʰaʔ³²	tsʰ a ʔ ³²	tsʰ a ʔ ³²*/³²	rub/擦	V	104	733	638	338	擦	擦		擦	i n c t	
387	Suzhou	rub	kʰɑ⁴⁴	kʰɑ⁴⁴	kʰ ɑ ⁴⁴	kʰ ɑ ⁴⁴	rub/揩	V	106	734	640	341	揩	揩		擦	i n t	
388	Wenzhou	rub	tsʰa⁴¹	tsʰa⁴¹	tsʰ a ⁴¹	tsʰ a ⁴¹	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
389	Changsha	rub	tsʰa²⁴	tsʰa²⁴	tsʰ a ²⁴	tsʰ a ²⁴	rub/擦	V	104	733	638	338	擦	擦		擦	i n t	
390	Loudi	rub	kʰa¹³	kʰa¹³	kʰ a ¹³	kʰ a ¹³	rub/揩	V	106	734	640	341	揩	揩		擦	i n t	
391	Nanchang	rub	tsʰaʔ⁵	tsʰaʔ⁵	tsʰ a ʔ ⁵	tsʰ a ʔ ⁵	rub/擦	V	104	733	638	338	擦	擦		擦	i n c t	
392	Nanchang	rub	ŋai⁴²	ŋai⁴²	ŋ ai ⁴²	ŋ a i ⁴²	rub/挨	V	107	738	641	343	挨	挨		擦	i n t	
393	Nanchang	rub	mot⁵	mot⁵	m o t ⁵	m o t ⁵	rub/抹	V	108	735	642	340	抹	抹		擦	i n c t	
394	Nanchang	rub	kʰai⁴²	kʰai⁴²	kʰ ai ⁴²	kʰ a i ⁴²	rub/揩	V	106	734	640	341	揩	揩		擦	i n t	
395	Meixian	rub	mat¹	mat¹	m a t ¹	m a t ¹	rub/抹	V	108	735	642	340	抹	抹		擦	i n c t	
396	Guilin	rub	mɑ⁵⁵	mɑ⁵⁵	m ɑ ⁵⁵	m ɑ ⁵⁵	rub/抹	V	108	735	642	340	抹	抹		擦	i n t	
397	Guangzhou	rub	tsʰat³	tsʰat³	tsʰ a t ³	tsʰ a t ³	rub/擦	V	104	733	638	338	擦	擦		擦	i n c t	
398	Fuzhou	rub	kaŋ³²	kaŋ³²	k a ŋ ³²	k a ŋ ³²	rub/撖	V	109	736	643	339	手+敢	撖		擦	i n c t	
399	Xiamen	rub	tsʰit³²*	tsʰit³²	tsʰ i t ³²	tsʰ i t ³²*/³²	rub/拭	V	110	737	644	342	拭	拭		擦	i n c t	
400	Beijing	grass	tsʰau²¹⁴	tsʰau²¹⁴	tsʰ au ²¹⁴	tsʰ a u ²¹⁴	grass/草	N	111	324	294	180	草	草		草	i n t	
401	Ha_erbin	grass	tsʰau²¹³	tsʰau²¹³	tsʰ au ²¹³	tsʰ a u ²¹³	grass/草	N	111	324	294	180	草	草		草	i n t	
402	Jinan	grass	tsʰɔ⁴⁵	tsʰɔ⁴⁵	tsʰ ɔ ⁴⁵	tsʰ ɔ ⁴⁵	grass/草	N	111	324	294	180	草	草		草	i n t	
403	Rongcheng	grass	tsʰau²¹⁴	tsʰau²¹⁴	tsʰ au ²¹⁴	tsʰ a u ²¹⁴	grass/草	N	111	324	294	180	草	草		草	i n t	
404	Taiyuan	grass	tsʰau⁵³	tsʰau⁵³	tsʰ au ⁵³	tsʰ a u ⁵³	grass/草	N	111	324	294	180	草	草		草	i n t	
405	Xi_an	grass	tsʰɑu⁵³	tsʰɑu⁵³	tsʰ ɑu ⁵³	tsʰ ɑ u ⁵³	grass/草	N	111	324	294	180	草	草		草	i n t	
406	Chengdu	grass	tsʰau⁵³	tsʰau⁵³	tsʰ au ⁵³	tsʰ a u ⁵³	grass/草	N	111	324	294	180	草	草		草	i n t	
407	Nanjing	grass	tsʰɔ¹¹	tsʰɔ¹¹	tsʰ ɔ ¹¹	tsʰ ɔ ¹¹	grass/草	N	111	324	294	180	草	草		草	i n t	
408	Jixi	grass	tsʰɤ²¹³	tsʰɤ²¹³	tsʰ ɤ ²¹³	tsʰ ɤ ²¹³	grass/草	N	111	324	294	180	草	草		草	i n t	
409	Suzhou	grass	tsʰæ⁵²	tsʰæ⁵²	tsʰ æ ⁵²	tsʰ æ ⁵²	grass/草	N	111	324	294	180	草	草		草	i n t	
410	Wenzhou	grass	tsʰə²⁴²	tsʰə²⁴²	tsʰ ə ²⁴²	tsʰ ə ²⁴²	grass/草	N	111	324	294	180	草	草		草	i n t	
411	Changsha	grass	tsʰau⁴¹	tsʰau⁴¹	tsʰ au ⁴¹	tsʰ a u ⁴¹	grass/草	N	111	324	294	180	草	草		草	i n t	
412	Loudi	grass	tsʰɤ⁴²	tsʰɤ⁴²	tsʰ ɤ ⁴²	tsʰ ɤ ⁴²	grass/草	N	111	324	294	180	草	草		草	i n t	
413	Nanchang	grass	tsʰau²¹³	tsʰau²¹³	tsʰ au ²¹³	tsʰ a u ²¹³	grass/草	N	111	324	294	180	草	草		草	i n t	
414	Meixian	grass	tsʰau³¹	tsʰau³¹	tsʰ au ³¹	tsʰ a u ³¹	grass/草	N	111	324	294	180	草	草		草	i n t	
415	Guilin	grass	tsʰɑu²³	tsʰɑu²³	tsʰ ɑu ²³	tsʰ ɑ u ²³	grass/草	N	111	324	294	180	草	草		草	i n t	
416	Guangzhou	grass	tsʰou³⁵	tsʰou³⁵	tsʰ ou ³⁵	tsʰ o u ³⁵	grass/草	N	111	324	294	180	草	草		草	i n t	
417	Fuzhou	grass	tsʰau³²	tsʰau³²	tsʰ au ³²	tsʰ a u ³²	grass/草	N	111	324	294	180	草	草		草	i n t	
418	Xiamen	grass	tsʰau⁵³	tsʰau⁵³	tsʰ au ⁵³	tsʰ a u ⁵³	grass/草	N	111	324	294	180	草	草		草	i n t	
419	Beijing	long	tʂʰɑŋ³⁵	ʈʂʰɑŋ³⁵	ʈʂʰ ɑ ŋ ³⁵	ʈʂʰ ɑ ŋ ³⁵	long/長	A	112	569	489	268	長	長		長	i n c t	
420	Ha_erbin	long	tʂʰaŋ²⁴	ʈʂʰaŋ²⁴	ʈʂʰ a ŋ ²⁴	ʈʂʰ a ŋ ²⁴	long/長	A	112	569	489	268	長	長		長	i n c t	
421	Jinan	long	tsʰɑŋ⁵³	tsʰɑŋ⁵³	tsʰ ɑ ŋ ⁵³	tsʰ ɑ ŋ ⁵³	long/長	A	112	569	489	268	長	長		長	i n c t	
422	Rongcheng	long	tʂʰaŋ³⁵	ʈʂʰaŋ³⁵	ʈʂʰ a ŋ ³⁵	ʈʂʰ a ŋ ³⁵	long/長	A	112	569	489	268	長	長		長	i n c t	
423	Taiyuan	long	tsʰɒ̃²¹	tsʰɒ̃²¹	tsʰ ɒ̃ ²¹	tsʰ ɒ̃ ∼ ²¹	long/長	A	112	569	489	268	長	長		長	i n t	
424	Xi_an	long	tʂʰɑŋ²⁴	ʈʂʰɑŋ²⁴	ʈʂʰ ɑ ŋ ²⁴	ʈʂʰ ɑ ŋ ²⁴	long/長	A	112	569	489	268	長	長		長	i n c t	
425	Chengdu	long	tsʰaŋ²¹	tsʰaŋ²¹	tsʰ a ŋ ²¹	tsʰ a ŋ ²¹	long/長	A	112	569	489	268	長	長		長	i n c t	
426	Nanjing	long	tsʰɑ̃¹³	tsʰɑ̃¹³	tsʰ ɑ̃ ¹³	tsʰ ɑ̃ ∼ ¹³	long/長	A	112	569	489	268	長	長		長	i n t	
427	Jixi	long	tɕʰiõ⁴⁴	tɕʰjõ⁴⁴	tɕʰ j õ ⁴⁴	tɕʰ i õ ∼ ⁴⁴	long/長	A	112	569	489	268	長	長		長	i m n t	
428	Suzhou	long	zã¹³	zã¹³	z ã ¹³	z ã ∼ ¹³	long/長	A	112	569	489	268	長	長		長	i n t	
429	Wenzhou	long	dʑi³⁴¹	dʑi³⁴¹	dʑ i ³⁴¹	dʑ i ³⁴¹	long/長	A	112	569	489	268	長	長		長	i n t	
430	Changsha	long	tsan¹³	tsan¹³	ts a n ¹³	ts a n ¹³	long/長	A	112	569	489	268	長	長		長	i n c t	
431	Loudi	long	dʑɔŋ¹³	dʑɔŋ¹³	dʑ ɔ ŋ ¹³	dʑ ɔ ŋ ¹³	long/長	A	112	569	489	268	長	長		長	i n c t	
432	Nanchang	long	tsʰɔŋ²⁴	tsʰɔŋ²⁴	tsʰ ɔ ŋ ²⁴	tsʰ ɔ ŋ ²⁴	long/長	A	112	569	489	268	長	長		長	i n c t	
433	Meixian	long	tsʰoŋ¹¹	tsʰoŋ¹¹	tsʰ o ŋ ¹¹	tsʰ o ŋ ¹¹	long/長	A	112	569	489	268	長	長		長	i n c t	
434	Guilin	long	tsɑŋ²²	tsɑŋ²²	ts ɑ ŋ ²²	ts ɑ ŋ ²²	long/長	A	112	569	489	268	長	長		長	i n c t	
435	Guangzhou	long	tsʰœŋ²¹	tsʰœŋ²¹	tsʰ œ ŋ ²¹	tsʰ œ ŋ ²¹	long/長	A	112	569	489	268	長	長		長	i n c t	
436	Fuzhou	long	tuoŋ⁵³	twoŋ⁵³	t w o ŋ ⁵³	t u o ŋ ⁵³	long/長	A	112	569	489	268	長	長		長	i m n c t	
437	Xiamen	long	tŋ̍²⁴	tŋ̍²⁴	t ŋ̍ ²⁴	t ŋ̍ ²⁴	long/長	A	112	569	489	268	長	長		長	i n t	
438	Beijing	flesh	ʐou⁵¹	ʐou⁵¹	ʐ ou ⁵¹	ʐ o u ⁵¹	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
439	Ha_erbin	flesh	ʐou⁵³	ʐou⁵³	ʐ ou ⁵³	ʐ o u ⁵³	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
440	Jinan	flesh	ʐou³¹	ʐou³¹	ʐ ou ³¹	ʐ o u ³¹	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
441	Rongcheng	flesh	iou³³⁴	jou³³⁴	j ou ³³⁴	i o u ³³⁴	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
442	Taiyuan	flesh	zəu⁴⁵	zəu⁴⁵	z əu ⁴⁵	z ə u ⁴⁵	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
443	Xi_an	flesh	ʐou⁴⁴	ʐou⁴⁴	ʐ ou ⁴⁴	ʐ o u ⁴⁴	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
444	Chengdu	flesh	zəu²¹³	zəu²¹³	z əu ²¹³	z ə u ²¹³	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
445	Nanjing	flesh	ʐəɯ⁴⁴	ʐəɯ⁴⁴	ʐ əɯ ⁴⁴	ʐ ə ɯ ⁴⁴	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
446	Jixi	flesh	ȵyoʔ³²*	ɲɥoʔ³²	ɲ ɥ o ʔ ³²	ɲ y o ʔ ³²*/³²	flesh/肉	N	18	263	246	145	肉	肉		肉	i m n c t	
447	Suzhou	flesh	ȵioʔ²³*	ɲjoʔ²³	ɲ j o ʔ ²³	ɲ i o ʔ ²³*/²³	flesh/肉	N	18	263	246	145	肉	肉		肉	i m n c t	
448	Wenzhou	flesh	ȵieu²¹	ɲjeu²¹	ɲ j eu ²¹	ɲ i e u ²¹	flesh/肉	N	18	263	246	145	肉	肉		肉	i m n t	
449	Changsha	flesh	ʐəu²⁴	ʐəu²⁴	ʐ əu ²⁴	ʐ ə u ²⁴	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
450	Loudi	flesh	nio³⁵	nio³⁵	n io ³⁵	n i o ³⁵	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
451	Nanchang	flesh	ȵiuʔ⁵	ɲjuʔ⁵	ɲ j u ʔ ⁵	ɲ i u ʔ ⁵	flesh/肉	N	18	263	246	145	肉	肉		肉	i m n c t	
452	Meixian	flesh	ŋiuk¹	ŋjuk¹	ŋ j u k ¹	ŋ i u k ¹	flesh/肉	N	18	263	246	145	肉	肉		肉	i m n c t	
453	Guilin	flesh	iou⁵⁵	jou⁵⁵	j ou ⁵⁵	i o u ⁵⁵	flesh/肉	N	18	263	246	145	肉	肉		肉	i n t	
454	Guangzhou	flesh	ik²	ik²	i k ²	i k ²	flesh/肉	N	18	263	246	145	肉	肉		肉	n c t	
455	Fuzhou	flesh	nyʔ⁵	nyʔ⁵	n y ʔ ⁵	n y ʔ ⁵	flesh/肉	N	18	263	246	145	肉	肉		肉	i n c t	
456	Xiamen	flesh	baʔ³²*	baʔ³²	b a ʔ ³²	b a ʔ ³²*/³²	flesh/肉	N	802	263	246	145	肉	肉		肉	i n c t	
457	Beijing	if	ʐu³⁵ kuo²¹⁴	ʐu³⁵+kwo²¹⁴	ʐ u ³⁵ + k w o ²¹⁴	ʐ u ³⁵ + k u o ²¹⁴	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	如有as or like意思
458	Ha_erbin	if	ʐu²⁴ kuo²¹³	ʐu²⁴+kwo²¹³	ʐ u ²⁴ + k w o ²¹³	ʐ u ²⁴ + k u o ²¹³	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	
459	Jinan	if	lu⁵³ kuɤ⁴⁵	lu⁵³+kwɤ⁴⁵	l u ⁵³ + k w ɤ ⁴⁵	l u ⁵³ + k u ɤ ⁴⁵	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	
460	Rongcheng	if	y³⁵ kuɔ²¹⁴	y³⁵+kwɔ²¹⁴	y ³⁵ + k w ɔ ²¹⁴	y ³⁵ + k u ɔ ²¹⁴	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	n t + i m n t	
461	Taiyuan	if	zu²¹ kuɤ⁵³	zu²¹+kwɤ⁵³	z u ²¹ + k w ɤ ⁵³	z u ²¹ + k u ɤ ⁵³	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	
462	Xi_an	if	vu²⁴ kuo⁵³	vu²⁴+kwo⁵³	v u ²⁴ + k w o ⁵³	v u ²⁴ + k u o ⁵³	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	
463	Chengdu	if	ta⁵³⁻⁵⁵ pi⁵³ so²¹	ta⁵³+pi⁵³+so²¹	t a ⁵³ + p i ⁵³ + s o ²¹	t a ⁵⁵/⁵³ + p i ⁵³ + s o ²¹	_beat:V/打 compare/比 _talk/说	V V N	115 116 117	477	405	240	打比说	打 比 说		如果	i n t + i n t + i n t	
464	Nanjing	if	ʐu¹³ ko¹¹	ʐu¹³+ko¹¹	ʐ u ¹³ + k o ¹¹	ʐ u ¹³ + k o ¹¹	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i n t	
465	Jixi	if	y⁴⁴⁻³⁵ kɵ²¹³	y⁴⁴+kɵ²¹³	y ⁴⁴ + k ɵ ²¹³	y ³⁵/⁴⁴ + k ɵ ²¹³	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	n t + i n t	
466	Suzhou	if	tɕiɑ⁵² sɿ⁵²⁻²³	tɕjɑ⁵²+sɿ⁵²	tɕ j ɑ ⁵² + s ɿ ⁵²	tɕ i ɑ ⁵² + s ɿ ²³/⁵²	fake/假 send/使	C C	118 119	476	406	241	假使	假 使		如果	i m n t + i n t	使 is "if" 
467	Wenzhou	if	dʑia²¹⁻³³ zɿ²⁴⁻²²	dʑja²¹+zɿ²⁴	dʑ j a ²¹ + z ɿ ²⁴	dʑ i a ³³/²¹ + z ɿ ²²/²⁴	if/若 be/是	C Pron	339 121	474	407	239	若是	若 是		如果	i m n t + i n t	
468	Changsha	if	y¹³ ko⁰	y¹³+ko⁰	y ¹³ + k o ⁰	y ¹³ + k o ⁰	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	n t + i n t	
469	Changsha	if	iau⁵⁵ sɿ⁰	jau⁵⁵+sɿ⁰	j au ⁵⁵ + s ɿ ⁰	i a u ⁵⁵ + s ɿ ⁰	want/要 be/是	C Pron	122 121	475	408	239	要是	要 是		如果	i n t + i n t	是有"此"之意
470	Loudi	if	y¹³ ko⁴²⁻¹	y¹³+ko⁴²	y ¹³ + k o ⁴²	y ¹³ + k o ¹/⁴²	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	n t + i n t	
471	Nanchang	if	lu⁴⁵ kuo²¹³	lu⁴⁵+kwo²¹³	l u ⁴⁵ + k w o ²¹³	l u ⁴⁵ + k u o ²¹³	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	
472	Nanchang	if	tʰɔŋ²¹³ ȵuo⁴⁵	tʰɔŋ²¹³+ɲwo⁴⁵	tʰ ɔ ŋ ²¹³ + ɲ w o ⁴⁵	tʰ ɔ ŋ ²¹³ + ɲ u o ⁴⁵	if/倘 if/若	C V	123 120	474	409	239	倘若	倘 若		如果	i n c t + i m n t	
473	Meixian	if	ka³¹ he⁵³	ka³¹+he⁵³	k a ³¹ + h e ⁵³	k a ³¹ + h e ⁵³	fake/假 _if	C Pron	118 124	476	410	241	假系	假 系		如果	i n t + i n t	
474	Guilin	if	y²² kuo²³	y²²+kwo²³	y ²² + k w o ²³	y ²² + k u o ²³	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	n t + i m n t	
475	Guangzhou	if	y²¹ kuɔ³⁵	y²¹+kwɔ³⁵	y ²¹ + k w ɔ ³⁵	y ²¹ + k u ɔ ³⁵	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	n t + i m n t	
476	Fuzhou	if	yoʔ⁵ huaŋ⁵³	ɥoʔ⁵+hwaŋ⁵³	ɥ o ʔ ⁵ + h w a ŋ ⁵³	y o ʔ ⁵ + h u a ŋ ⁵³	if/若 return/还	C V	120 125	474	411	239	若还	若 还		如果	i n c t + i m n c t	
477	Fuzhou	if	yoʔ⁵ kuo³²	ɥoʔ⁵+kwo³²	ɥ o ʔ ⁵ + k w o ³²	y o ʔ ⁵ + k u o ³²	if/若 fruit.result/果	C N	120 114	472	412	239	若果	若 果		如果	i n c t + i m n t	
478	Fuzhou	if	ny⁵³⁻³³ kuo³²	ny⁵³+kwo³²	n y ⁵³ + k w o ³²	n y ³³/⁵³ + k u o ³²	how/如 fruit.result/果	C N	113 114	472	404	239	如果	如 果		如果	i n t + i m n t	
479	Xiamen	if	nã⁵⁵⁻²² si²²	nã⁵⁵+si²²	n ã ⁵⁵ + s i ²²	n ã ∼ ²²/⁵⁵ + s i ²²	if/若 be/是	C Pron	120 121	474	407	239	若是	若 是		如果	i n t + i n t	
480	Beijing	breasts	ʐu²¹⁴⁻²¹ fɑŋ³⁵	ʐu²¹⁴+fɑŋ³⁵	ʐ u ²¹⁴ + f ɑ ŋ ³⁵	ʐ u ²¹/²¹⁴ + f ɑ ŋ ³⁵	breast/乳 house.room/房	N N	126 127	63	59	38	乳房	乳 房		乳房	i n t + i n c t	
481	Ha_erbin	breasts	nai²¹³⁻²¹ tsɿ⁰	nai²¹³+tsɿ⁰	n ai ²¹³ + ts ɿ ⁰	n a i ²¹/²¹³ + ts ɿ ⁰	breast/奶 -child:SUF/子	N S	128 19	62	60	38	奶子	奶 子		乳房	i n t + i n t	
482	Ha_erbin	breasts	tsar⁴⁴	tsa⁴⁴	ts a ⁴⁴	ts a˞/a ⁴⁴	breast/匝	N	129	70	61	40	匝儿	匝		乳房	i n t	
483	Jinan	breasts	ma²¹³⁻²¹ ma⁰	ma²¹³+ma⁰	m a ²¹³ + m a ⁰	m a ²¹/²¹³ + m a ⁰	mother/媽 _mother:RED/媽	N N2	50 808	66	62	39	妈妈	妈 妈		乳房	i n t + i n t	
484	Jinan	breasts	nɛ⁴⁵⁻²¹⁴ tsɿ⁰	nɛ⁴⁵+tsɿ⁰	n ɛ ⁴⁵ + ts ɿ ⁰	n ɛ ²¹⁴/⁴⁵ + ts ɿ ⁰	breast/奶 -child:SUF/子	N S	128 19	62	60	38	奶子	奶 子		乳房	i n t + i n t	
485	Rongcheng	breasts	nai²¹⁴ tsɿ⁰	nai²¹⁴+tsɿ⁰	n ai ²¹⁴ + ts ɿ ⁰	n a i ²¹⁴ + ts ɿ ⁰	breast/奶 -child:SUF/子	N S	128 19	62	60	38	奶子	奶 子		乳房	i n t + i n t	
486	Taiyuan	breasts	nai⁵³	nai⁵³	n ai ⁵³	n a i ⁵³	breast/奶	N	128	62	63	38	奶	奶		乳房	i n t	
487	Xi_an	breasts	vu⁵³ fɑŋ²¹	vu⁵³+fɑŋ²¹	v u ⁵³ + f ɑ ŋ ²¹	v u ⁵³ + f ɑ ŋ ²¹	breast/乳 house.room/房	N N	126 127	63	59	38	乳房	乳 房		乳房	i n t + i n c t	
488	Chengdu	breasts	lai⁴⁵ lai⁵⁵	lai⁴⁵+lai⁵⁵	l ai ⁴⁵ + l ai ⁵⁵	l a i ⁴⁵ + l a i ⁵⁵	breast/奶 breast:RED/奶	N N	128 66	62	64	38	奶奶	奶 奶		乳房	i n t + i n t	
489	Nanjing	breasts	lu¹¹⁻²¹ fɑ̃¹³	lu¹¹+fɑ̃¹³	l u ¹¹ + f ɑ̃ ¹³	l u ²¹/¹¹ + f ɑ̃ ∼ ¹³	breast/乳 house.room/房	N N	126 127	63	59	38	乳房	乳 房		乳房	i n t + i n t	
490	Jixi	breasts	lɔ³⁵ tsɿ⁰	lɔ³⁵+tsɿ⁰	l ɔ ³⁵ + ts ɿ ⁰	l ɔ ³⁵ + ts ɿ ⁰	breast/奶 -child:SUF/子	N S	128 19	62	60	38	奶子	奶 子		乳房	i n t + i n t	
491	Suzhou	breasts	nɑ¹³⁻²² nɑ¹³⁻³¹	nɑ¹³+nɑ¹³	n ɑ ¹³ + n ɑ ¹³	n ɑ ²²/¹³ + n ɑ ³¹/¹³	breast/奶 breast/奶	N N2	128 128	62	64	38	奶奶	奶 奶		乳房	i n t + i n t	
492	Wenzhou	breasts	na²⁴	na²⁴	n a ²⁴	n a ²⁴	breast/奶	N	128	62	63	38	奶	奶		乳房	i n t	
493	Changsha	breasts	y⁴¹ fan¹³	y⁴¹+fan¹³	y ⁴¹ + f a n ¹³	y ⁴¹ + f a n ¹³	breast/乳 house.room/房	N N	126 127	63	59	38	乳房	乳 房		乳房	n t + i n c t	
494	Changsha	breasts	lai⁴¹ tsɿ⁰	lai⁴¹+tsɿ⁰	l ai ⁴¹ + ts ɿ ⁰	l a i ⁴¹ + ts ɿ ⁰	breast/奶 -child:SUF/子	N S	128 19	62	60	38	奶子	奶 子		乳房	i n t + i n t	
