|Compound type|Chinese|
|------|------|
|V|拭,睏,掠,?,怕,倒,拉,給,吃,揩,跌,流,掏,𢱋,腐,掰,挨,砍,遁,楠,亡刀,喫,摕,講,朵,㧍,漂浮,碰,畏,擔,斫,仍,死,嬉,裹,𢬮,唱,跪,跑,翻,繗,掼,摔,頓,食,㰵,抾,落,唠,嚙,縫,扎,剉,斬,吸,推,聞,烧,摣,綁,撂,驚,撖,拿,拋,擦,呼,䋎,挤,喝,縛,壓,逿,站,立,撕,𪘬,连,氽,走,互,睡,把,樂,拈,吮,掉,搦,拖,拍,剁,說,話,嘔,唚,眠,逃,㧸,吐,摀,逮,坐,行,𢱤,游,浮,挖,數,捉,刣,抓,挑,宰,杀,抵,來,嗅,鼻,見,漂,攞,揎,汧,手點,打,转,扯,甩,點,叨,刷,丟,啡,刺,咬,吹,呷,居,㖹,刨,擺,抹,聽,躺,想,歹,搲,特,诧,嗍,瓜,嫽,飲,笑,徛,攪,啜,共,哜,撥,掀,榨,乃豈,耍,啄,啉,巴,飛,乞,淌,爛,唬,洗,捆,無,𫦉,囗,玩,戳|
|V V|知影,会晓,嬉戏,看見,晓得,呼吸,知得,縫纫,聽着,扯破,游泳,飲腐,聽見,仈傳,看倒,擺𠲥,會仈,走來,囗得,㽹惡,嘔吐,拿賜,聽到,活絡,洗澡,漂浮,扯開,角逆,睇見,撕開,帶囗,腐爛,看到,𨑨迌,扯裂,睡倒,知道,看着,拆扌丽,瞅見,撕裂|
|V S|嘔嘞,活其,朿見着,睡起,吐了,爛了,打起,捆起,嘔了,爛起,活着,懂了,立着,活葛|
|V V S|發吐了|
|N N|奶奶,塵土,郎罷,老安,扣頸,老妪,繩索,凌冰,骹骨,暝晡,雞卵,夜晚,云彩,地皮,月娘,虱嫲,胛脊,頭髮,黃昏,母親,口舌,背脊,老公,叶?,鼻公,下黑,頸骨,娭,翅膀,星星,年份,蛇哥,太陽,嘴舌,媳婦,老媽,霧氣,翼毛,姆媽,老娘,鼻孔,頸根,膝蓋,耳朵,蒙纱,女官,皮膚,奶房,雞蛋,鼻哥,后晌,腸子,完心,伊姐,肚腸,脂肪,星宿,翼梭,骹腿,女人,板油,腦壳,塗粉,堂客,眼窝,腳板,森林,翼胛,夜下,滃塵,种籽,頷頸,目珠,涂地,全部,夜裡,暗晡,父親,天里,树林,晚上,迷露,婆娘,月光,葉光,家叉+蟲,乳房,頭壳,天頂,牙齒,肉皮,頭毛,脰骨,奶婆,灰塵,腹肚,老小,翅光,坌塵,肚皮,丈夫,頭頸,心臟,眼珠,目睭,膝盖,下昏,喙齒,羽毛,翅𦑜,棍棍,脚爪,土地,翼膀,油脂,奶姑,毛毛,虱母,蟲蟻,厝里,天上,眼,圆圈,阿姆,脊背,天空,老婆,树皮,女婿,娘妳,眼睛,頸項,水果,老汉,名字|
|N|河,腿,?,墿,舌,江,火,爺,毛,一,种,棍,骹,姐,兩,海,天,莖,心,霧,娘,頸,蜀,犬,雨,喙,花,竹若,霜,山,狗,𩪘,雀,繩,手,棒,嘴,团,孩,路,星,風,翅,沙,齒,二,圆,肝,歲,雪,道,尾,树,膝,三,五,四,肚,鳥,日,腸,血,腳,蟲,根,背,地,叶,數,某,湖,冰,肉,牙,鼻,人,索,煙,蛇,膀,娃,月,奶,父,膏,載,耳,达,爷,爸,媽,云,年,盐,骨,匝,皮,塵,眼,爪,角,頭,灰,鱼,水,草,虱,爹,囗,幔,油|
|N N2|奶奶,爸爸,渣渣,骨骨,子子,爺爺,爪爪,娒娒,灰灰,腳腳,娃娃,竹若竹若,沙沙,星星,爹爹,索索,崽崽,角角,皮皮,妈妈,尾尾,雀雀,煙煙,媽媽|
|N S|种子,土垃,雀子,鳥,繩子,犬囝,花仔,娘們,囝仔,石頭,索仔,棍子,沙子,树儿,煙子,日頭,林子,牙巴,腸?,虱子,妻子,果們,翅仔,肚皮,老子,歲頭,頸子,盐巴,黑了,膝頭,膝囗,嘴巴,鳥唧,腸子,孩儿,天中,舌頭,尾子,罩子,棍儿,雀儿,鳥儿,种?,奶仔,鼻子,沙儿,娃儿,花?,叶子,翅子,渣子,鼻,舌头,耳公,兜子,腸仔,花儿,脖子,星子,肚子,捶仔,尾巴,腹老,耳仔,骨都,皮子,棒儿,角,星?,索子,果子,牙子,舌子,鼻仔,舌仔,舌嫲,汉字,雞子,鼻頭,孩子,爪子,骨頭,奶子|
|V A|浮倒,不糙,帶勁,不賴|
|V P|漂𡅏,浮𡅏|
|A|大,痞,爆,烏,濫,笨,⽧臺,壞,平,潮,操,凊,否,尖,呆,寡,瓜,紅,毛,脏,凍,直,短,熱,木,焦,浮,進,綠,雛,細,少,寒,好,恘,闊,新,歁,厚,重,對,鄙,寬,老,黑,湿,薄,嫩,白,賁,黃,滿,長,干,远,冷,窄,彪,囗,狭,小,愚,拐,肿,多|
|N N S|老爷们,腿肚子,骹腹頭,腿把子,老娘們,沙婆子,虱婆子,克膝头,翼胛子,肥肉子,褲膝頭,囗囗子,树林子,脖颈子,腳饅頭,腳胐頭,手把子,諸娘儂,夜間子,腳膝頭|
|N A N|天老爺,家主婆,眼烏珠,娃大妈|
|N N N|波羅蓋,簸棱盖,眼灵珠,丈夫人,背骶身,伲囝哥,波棱蓋,下晚黑,丈夫儂,爺老倌,五爪龙,夜裡向,克膝蓋,膝蓋骨,額膝骨,屋裡人,梭老二|
|A G|男的,女的|
|A N|小嘎,小孩,长虫,右边,右岸,老蛇,細儿,男仂,左手,正边,咸盐,全部,女界,女仂,女客,眾牲,右面,左边,小边,倒片,男客,小人,先生,壯肉,右片,大边,女人,左面,右手,男界,男人,济面|
|N V N|內當家|
|N N2 S|婆婆子|
|A A V|個郎下|
|V N S|構棱子,泅河儿,打交儿,洗身儿|
|Adv|勿,唔,伓,不,否|
|C N|如果,若果|
|V V N|打比说|
|C C|假使|
|C Pron|要是,假系,若是|
|C V|若还,倘若|
|V N|打架,無綻,游水,跳虱,吸氣,動物,打錘,拍獵,囗水,出氣,游泳,凍冰,喘氣,關山,呼氣,下凜,泅水,洗澡,爱人,結冰,浮水,得腦,干仗,倒落,打捶,打獵,打仗,扯构,透氣,玩水,构凌,𢻕氣|
|A V|透流|
|Pron Pron|邊度,什麼,哪疙,我俺,俚竹+马,底隹又,狃宕|
|Pron|呢,佳,𪜶,我,許,倷,咯,啥,迄,乜,竹固,怎,㑑,那,伊,吾,该,哪,你,俺,即,如,他,者,誰,佢,渠,回,𠹼,尔,只,𠰻,歸,俚,囗,这|
|Pron Pt|甚仂,何呢,什哩|
