|Pron S|那,我倈,佢哋,吾伲,哪嘞,啥子,麽子,他㑲,渠俫,他們,如儂,我哋,哪?,麼子,我們,渠們|
|Pron CLS|咋个,这块,脉個,吗个,啷個,哪個|
|Pron N|该搭,这里,夫塊,乜嘢,什乇,旁單,那里,即带,彎面,渠人,哪里,底儂,哪搭,底所,那,竹固裏,我人,该里,这?,瞞人,侬家,这疙,哪塊,迄帶,啥人,伊儂,什物,那塊,咯裏,啊搭,尔搭,只里|
|N S S S|石頭子儿|
|N S N|日頭窠,石頭塊,妹?人,外头人,日頭爺,腳頭足夫,膝頭骨|
|Pron Pt N|何呢人|
|Pron P CLS|何至個|
|V Adv|撕烂|
|V N N|彈四郎|
|Pron G|怎的,他的|
|Pron S N|𠊎丁人,佢丁人|
|Pron G CLS|他的個|
|Pron C Pron|奴各侬,伊各儂|
|V V V|躺倒起|
|N A|月光,月明,月亮,頭那|
|N Pron N|頭那髮,娃他爸|
|Adv N|点样,酿般,怎样,将其,将样,白相|
|N V|賭打,骹遛|
|N Pt|黑咧|
|N S S|腳丫子,囗囗囗,尾巴|
|Pron S S|我竹固哩|
|Pron S N CLS|我囗囗囗|
|Pron N C Pron|侬家各侬|
|N S N N2|树子叶叶|
|P V|因为|
|P Pt|庸乎|
|V A N|淴冷浴|
|A N Pt|右边拉|
|A N N2|右边边,小娃娃|
|A N N|男人家,老娘客,細人家,左手边,女人家,右手边,左边拉|
|N A S S|月亮巴巴|
|P|着,在,宿|
|A A|流疡,厚實,埋汰,鏖糟,個郎,活囗,囗赖,歯屋歯足,拉渣,瓜肿,窄狭,蒌馊,汚糟,邋遢,腌臢,龌龊|
|Adv S|怎么|
|Adv Pron|怎底,些那,如何|
|Adv Adv2|采翘,纳亨|
|Adv V|相拍,和是|
|V N G|掌櫃的|
|A N S|左边儿,細人儿,老爺們,老倌子,細伢子|
|A CLS|囗个,该个|
|Pron CLS N N|这个地方,那個地方|
|Pron N N N|这嗒里下|
|Pron V|呢到,何至|
|V N V|打相打|
|N N V|四骹爬|
|Pref N|依爺,老姆,依奶,依媽,阿姆,老爸,阿奶,依爸,阿爸,依爹|
|N A S|娘老子,伢細子|
|A CLS N|細個崽|
|A CLS S|細個子|
|C|跟,和,共,同,搭,伉|
|V CLS|生個,活個,健個|
|V G|活的|
|V CLS Pt|活個囗|
|A S|生嘅,進兜|
|Pron V N|哪跟前|
|N Pron|里囗|
|CLS V|個到|
|A A N S|大老爺們|
|A S N|男子客,男?人|
|Pref N N|查某人|
