# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
150	Jinan	all	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound	2 6 7 8 9 1 7 8	ACXT_AXT	CJE3_PY3	8	8.C.C 8.J.C 8.E.V 8.3.T 8._._ 8.P.C 8.Y.V 8.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tɕʰɥæ̃⁵³+pu³¹	0
151	Rongcheng	all	tsʰ j ɐ n ³⁵ + p u ³³⁴	complete/全 part/部	N N	54 55	1	4	1	全部兒	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN2_PY6	14	14.C.C 14.J.C 14.E.V 14.N.c 14.2.T 14._._ 14.P.C 14.Y.V 14.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tsʰjɐn³⁵+pu³³⁴	0
152	Taiyuan	all	tɕʰ ɥ e ²¹ + p u ⁴⁵	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound	2 6 7 8 9 1 7 8	ACXT_AXT	CJE3_PY2	16	16.C.C 16.J.C 16.E.V 16.3.T 16._._ 16.P.C 16.Y.V 16.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tɕʰɥe²¹+pu⁴⁵	0
153	Xi_an	all	tsʰ w æ̃ ²⁴ + p u ⁴⁴	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound	2 6 7 8 9 1 7 8	ACXT_AXT	CWE2_PY5	18	18.C.C 18.W.C 18.E.V 18.2.T 18._._ 18.P.C 18.Y.V 18.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tsʰwæ̃²⁴+pu⁴⁴	0
154	Chengdu	all	tɕʰ ɥ a n ²¹ + p u ²¹³	complete/全 part/部	A N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJAN3_PY6	3	3.C.C 3.J.C 3.A.V 3.N.c 3.3.T 3._._ 3.P.C 3.Y.V 3.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕʰɥan²¹+pu²¹³	0
155	Nanjing	all	tɕʰ ɥ e n ¹³ + p u ⁴⁴	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN2_PY5	13	13.C.C 13.J.C 13.E.V 13.N.c 13.2.T 13._._ 13.P.C 13.Y.V 13.5.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕʰɥen¹³+pu⁴⁴	0
156	Jixi	all	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound	2 6 7 8 9 1 7 8	ACXT_AXT	CJE5_PY3	9	9.C.C 9.J.C 9.E.V 9.5.T 9._._ 9.P.C 9.Y.V 9.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tɕʰɥẽ⁴⁴+pʰu³¹	0
157	Suzhou	all	z j ɪ ¹³ + b u ²³¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound	3 6 7 8 9 1 7 8	ACXT_AXT	SJI2_PY6	15	15.S.C 15.J.C 15.I.V 15.2.T 15._._ 15.P.C 15.Y.V 15.6.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	zjɪ¹³+bu²³¹	0
158	Wenzhou	all	j y ³⁴¹ + b u ²⁴	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i n t + i n t	copula-compound	6 7 8 9 1 7 8	AXT_AXT	JY6_PY2	17	17.J.C 17.Y.V 17.6.T 17._._ 17.P.C 17.Y.V 17.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	jy³⁴¹+bu²⁴	0
159	Changsha	all	tɕʰ ɥ ẽ ¹³ + p u ¹¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t		2 6 7 8 9 1 7 8	ACXT_AXT	CJE2_PY1	2	2.C.C 2.J.C 2.E.V 2.2.T 2._._ 2.P.C 2.Y.V 2.1.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tɕʰɥẽ¹³+pu¹¹	0
160	Loudi	all	dz w ĩ ¹³ + b u ¹¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t		2 6 7 8 9 1 7 8	ACXT_AXT	CWI2_PY1	10	10.C.C 10.W.C 10.I.V 10.2.T 10._._ 10.P.C 10.Y.V 10.1.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	dzwĩ¹³+bu¹¹	0
161	Nanchang	all	tɕʰ ɥ o n ²⁴ + p u ⁰	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJUN2_PY6	12	12.C.C 12.J.C 12.U.V 12.N.c 12.2.T 12._._ 12.P.C 12.Y.V 12.6.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕʰɥon²⁴+pu⁰	0
162	Meixian	all	tɕʰ j e n ¹¹ + pʰ u ⁵³	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN1_PY3	11	11.C.C 11.J.C 11.E.V 11.N.c 11.1.T 11._._ 11.P.C 11.Y.V 11.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕʰjen¹¹+pʰu⁵³	0
163	Guilin	all	tɕ ɥ ã ²² + p u ²¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound	2 6 7 8 9 1 7 8	ACXT_AXT	CJA1_PY3	6	6.C.C 6.J.C 6.A.V 6.1.T 6._._ 6.P.C 6.Y.V 6.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tɕɥã²²+pu²¹	0
164	Guangzhou	all	tsʰ y n ²¹ + p ou ²²	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i n c t + i n t	copula-compound	2 7 4 8 9 1 7 8	AXLT_AXT	CYN3_PU1	5	5.C.C 5.Y.V 5.N.c 5.3.T 5._._ 5.P.C 5.U.V 5.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tsʰyn²¹+pou²²	0
165	Fuzhou	all	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	-piece:CLS/個 all/郎 _descend/下	A A V	56 467 58	3	5	2	個郎下	個 郎 下		全部	i n t + i n c t + i n t	囫囵下. copula-compound-modified	1 7 8 9 5 7 4 8 9 4 7 8	AXT_AXLT_AXT	KU6_LUN3_NA6	4	4.K.C 4.U.V 4.6.T 4._._ 4.L.C 4.U.V 4.N.c 4.3.T 4._._ 4.N.C 4.A.V 4.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	ko²¹²+louŋ⁵³+ŋa²⁴²	0
166	Xiamen	all	ts w a n ²⁴ + p ɔ ²²	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CWAN2_PU1	19	19.C.C 19.W.C 19.A.V 19.N.c 19.2.T 19._._ 19.P.C 19.U.V 19.1.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tswan²⁴+pɔ²²	0
#
3406	Beijing	and	x ɤ ³⁵	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GE2	1	1.G.C 1.E.V 1.2.T	1.6 3.0 1.0	xɤ³⁵	0
3407	Ha_erbin	and	x ɤ ²¹	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GE3	7	7.G.C 7.E.V 7.3.T	1.6 3.0 1.0	xɤ²¹	0
3408	Jinan	and	x ɤ ⁵³	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GE3	8	8.G.C 8.E.V 8.3.T	1.6 3.0 1.0	xɤ⁵³	0
3409	Rongcheng	and	x ɔ ³⁵	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GU2	14	14.G.C 14.U.V 14.2.T	1.6 3.0 1.0	xɔ³⁵	0
3410	Taiyuan	and	x ɤ ²¹	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GE3	16	16.G.C 16.E.V 16.3.T	1.6 3.0 1.0	xɤ²¹	0
3411	Xi_an	and	x w o ²⁴	and/和	C	448	6	6	3	和	和		和	i m n t		3 6 7 8	ACXT	GWU2	18	18.G.C 18.W.C 18.U.V 18.2.T	1.6 1.2 3.0 1.0	xwo²⁴	0
3412	Chengdu	and	x o ²¹	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GU3	3	3.G.C 3.U.V 3.3.T	1.6 3.0 1.0	xo²¹	0
3413	Nanjing	and	x o ¹³	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GU2	13	13.G.C 13.U.V 13.2.T	1.6 3.0 1.0	xo¹³	0
3414	Jixi	and	x ɵ ⁴⁴	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GU5	9	9.G.C 9.U.V 9.5.T	1.6 3.0 1.0	xɵ⁴⁴	0
3415	Suzhou	and	t a ʔ ⁴	and/搭	C	223	10	7	7	搭	搭		和	i n c t		1 7 1 8	AXLT	TAH6	15	15.T.C 15.A.V 15.H.c 15.6.T	1.6 3.0 1.1 1.0	taʔ⁴	0
3416	Wenzhou	and	kʰ w ɔ ⁵¹	and/伉	C	650	11	8	8	伉	伉		和	i m n t		1 6 7 8	ACXT	KWU3	17	17.K.C 17.W.C 17.U.V 17.3.T	1.6 1.2 3.0 1.0	kʰwɔ⁵¹	0
3417	Changsha	and	k ə n ³³	follow/跟	C	651	7	9	4	跟	跟		和	i n c t		1 7 4 8	AXLT	KEN4	2	2.K.C 2.E.V 2.N.c 2.4.T	1.6 3.0 1.1 1.0	kən³³	0
3418	Loudi	and	ɣ o ¹³	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	GU2	10	10.G.C 10.U.V 10.2.T	1.6 3.0 1.0	ɣo¹³	0
3419	Nanchang	and	f o ⁴⁵	and/和	C	448	6	6	3	和	和		和	i n t		3 7 8	AXT	BU2	12	12.B.C 12.U.V 12.2.T	1.6 3.0 1.0	fo⁴⁵	0
3420	Meixian	and	tʰ u ŋ ¹¹	and/同	C	652	9	10	6	同	同		和	i n c t		1 7 4 8	AXLT	TYN1	11	11.T.C 11.Y.V 11.N.c 11.1.T	1.6 3.0 1.1 1.0	tʰuŋ¹¹	0
3421	Guilin	and	k ɤ n ⁴²	follow/跟	C	651	7	9	4	跟	跟		和	i n c t		1 7 4 8	AXLT	KEN3	6	6.K.C 6.E.V 6.N.c 6.3.T	1.6 3.0 1.1 1.0	kɤn⁴²	0
3422	Guangzhou	and	w ɔ ²¹	and/和	C	448	6	6	3	和	和		和	i n t		6 7 8	AXT	WU3	5	5.W.C 5.U.V 5.3.T	1.6 3.0 1.0	wɔ²¹	0
3423	Fuzhou	and	k ɔy ŋ ²⁴²	give/共	C	625	8	11	5	共	共		和	i n c t		1 7 4 8	AXLT	KUN6	4	4.K.C 4.U.V 4.N.c 4.6.T	1.6 3.0 1.1 1.0	kɔyŋ²⁴²	0
3424	Xiamen	and	k a ʔ ³²	and/和	C	448	6	6	3	和	和		和	i n c t		1 7 1 8	AXLT	KAH3	19	19.K.C 19.A.V 19.H.c 19.3.T	1.6 3.0 1.1 1.0	kaʔ³²	0
#
2893	Beijing	animal	t u ŋ ⁵¹ + u ⁵¹	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y3	1	1.T.C 1.Y.V 1.N.c 1.3.T 1._._ 1.Y.V 1.3.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	tuŋ⁵¹+u⁵¹	0
2894	Ha_erbin	animal	t u ŋ ⁵³ + u ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y6	7	7.T.C 7.Y.V 7.N.c 7.3.T 7._._ 7.Y.V 7.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	tuŋ⁵³+u⁰	0
2895	Jinan	animal	t u ŋ ³¹ + u ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y6	8	8.T.C 8.Y.V 8.N.c 8.3.T 8._._ 8.Y.V 8.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	tuŋ³¹+u⁰	0
2896	Rongcheng	animal	t o ŋ ³³⁴ + u ³³⁴	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TUN6_Y6	14	14.T.C 14.U.V 14.N.c 14.6.T 14._._ 14.Y.V 14.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	toŋ³³⁴+u³³⁴	0
2897	Taiyuan	animal	t u ŋ ⁴⁵ + v ə ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n t		1 7 4 8 9 3 7 8	AXLT_AXT	TYN2_BE6	16	16.T.C 16.Y.V 16.N.c 16.2.T 16._._ 16.B.C 16.E.V 16.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tuŋ⁴⁵+və⁰	0
2898	Xi_an	animal	t u ŋ ⁴⁴ + v o ²¹	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n t		1 7 4 8 9 3 7 8	AXLT_AXT	TYN5_BU3	18	18.T.C 18.Y.V 18.N.c 18.5.T 18._._ 18.B.C 18.U.V 18.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tuŋ⁴⁴+vo²¹	0
2899	Chengdu	animal	t o ŋ ²¹³ + u ²¹	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TUN6_Y3	3	3.T.C 3.U.V 3.N.c 3.6.T 3._._ 3.Y.V 3.3.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	toŋ²¹³+u²¹	0
2900	Nanjing	animal	t o ŋ ⁴⁴ + u ʔ ⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n c t		1 7 4 8 9 7 1 8	AXLT_XLT	TUN5_YH6	13	13.T.C 13.U.V 13.N.c 13.5.T 13._._ 13.Y.V 13.H.c 13.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.1 1.0	toŋ⁴⁴+uʔ⁵	0
2901	Jixi	animal	tʰ ɑ̃ ²¹³ + v ɤ ʔ ³²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n t + i n c t		1 7 8 9 3 7 1 8	AXT_AXLT	TA6_BEH3	9	9.T.C 9.A.V 9.6.T 9._._ 9.B.C 9.E.V 9.H.c 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	tʰɑ̃²¹³+vɤʔ³²	0
2902	Suzhou	animal	ts o ŋ ⁴⁴ + s ã ⁴⁴	animal/眾 beast/牲	A N	589 590	17	13	11	眾牲	眾 牲		動物	i n c t + i n t		2 7 4 8 9 3 7 8	AXLT_AXT	CUN5_SA5	15	15.C.C 15.U.V 15.N.c 15.5.T 15._._ 15.S.C 15.A.V 15.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tsoŋ⁴⁴+sã⁴⁴	0
2903	Wenzhou	animal	d o ŋ ²⁴ + v ai ²²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n t		1 7 4 8 9 3 7 8	AXLT_AXT	TUN2_BA1	17	17.T.C 17.U.V 17.N.c 17.2.T 17._._ 17.B.C 17.A.V 17.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	doŋ²⁴+vai²²	0
2904	Changsha	animal	t o ŋ ¹¹ + u ²⁴	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TUN1_Y2	2	2.T.C 2.U.V 2.N.c 2.1.T 2._._ 2.Y.V 2.2.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	toŋ¹¹+u²⁴	0
2905	Loudi	animal	d ɤ n ¹¹ + u ³⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TEN1_Y2	10	10.T.C 10.E.V 10.N.c 10.1.T 10._._ 10.Y.V 10.2.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	dɤn¹¹+u³⁵	0
2906	Nanchang	animal	tʰ u ŋ ²¹ + u ⁰	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t		1 7 4 8 9 7 8	AXLT_XT	TYN3_Y6	12	12.T.C 12.Y.V 12.N.c 12.3.T 12._._ 12.Y.V 12.6.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	tʰuŋ²¹+u⁰	0
2907	Meixian	animal	tʰ u ŋ ⁵³ + v u t ⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n c t		1 7 4 8 9 3 7 1 8	AXLT_AXLT	TYN3_BYT6	11	11.T.C 11.Y.V 11.N.c 11.3.T 11._._ 11.B.C 11.Y.V 11.T.c 11.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	tʰuŋ⁵³+vut⁵	0
2908	Guilin	animal	t ɤ n ²⁵ + u ²²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + n t	!t ɤ ŋ ²⁵ + u ²²	1 7 4 8 9 7 8	AXLT_XT	TEN2_Y1	6	6.T.C 6.E.V 6.N.c 6.2.T 6._._ 6.Y.V 6.1.T	1.6 3.0 1.1 1.0 0.0 3.0 1.0	tɤn²⁵+u²²	0
2909	Guangzhou	animal	t o ŋ ³³ + m ɐ t ²	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n c t		1 7 4 8 9 4 7 1 8	AXLT_AXLT	TUN4_MET6	5	5.T.C 5.U.V 5.N.c 5.4.T 5._._ 5.M.C 5.E.V 5.T.c 5.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	toŋ³³+mɐt²	0
2910	Fuzhou	animal	s i ²¹² + kʰ a ⁵⁵ + β a ⁵³	four/四 leg/骹 _creep/爬	N N V	225 279 591	14	14	10	四骹爬	四 骹 爬		動物	i n t + i n t + i n t		3 7 8 9 1 7 8 9 3 7 8	AXT_AXT_AXT	SI6_KA5_BA3	4	4.S.C 4.I.V 4.6.T 4._._ 4.K.C 4.A.V 4.5.T 4._._ 4.B.C 4.A.V 4.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	si²¹²+kʰa⁵⁵+βa⁵³	0
2911	Xiamen	animal	t ɔ ŋ ²² + b u t ⁵	move/動 thing/物	V N	588 179	12	12	9	動物	動 物		動物	i n c t + i n c t		1 7 4 8 9 1 7 1 8	AXLT_AXLT	TUN1_PYT6	19	19.T.C 19.U.V 19.N.c 19.1.T 19._._ 19.P.C 19.Y.V 19.T.c 19.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	tɔŋ²²+but⁵	0
#
3625	Beijing	ash	x w ei ⁵⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE5	1	1.G.C 1.W.C 1.E.V 1.5.T	1.6 1.2 3.0 1.0	xwei⁵⁵	0
3626	Ha_erbin	ash	x w ei ⁴⁴	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE5	7	7.G.C 7.W.C 7.E.V 7.5.T	1.6 1.2 3.0 1.0	xwei⁴⁴	0
3627	Jinan	ash	x w ei ²¹³	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE6	8	8.G.C 8.W.C 8.E.V 8.6.T	1.6 1.2 3.0 1.0	xwei²¹³	0
3628	Rongcheng	ash	x w ei ⁵²	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE3	14	14.G.C 14.W.C 14.E.V 14.3.T	1.6 1.2 3.0 1.0	xwei⁵²	0
3629	Taiyuan	ash	x w ei ²¹	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE3	16	16.G.C 16.W.C 16.E.V 16.3.T	1.6 1.2 3.0 1.0	xwei²¹	0
3630	Xi_an	ash	x w ei ²¹	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE3	18	18.G.C 18.W.C 18.E.V 18.3.T	1.6 1.2 3.0 1.0	xwei²¹	0
3631	Chengdu	ash	x w ei ⁴⁵	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE2	3	3.G.C 3.W.C 3.E.V 3.2.T	1.6 1.2 3.0 1.0	xwei⁴⁵	0
3632	Nanjing	ash	x w ei ³¹	ash/灰	N	542	19	15	12	灰	灰		灰	i m n t		3 6 7 8	ACXT	GWE3	13	13.G.C 13.W.C 13.E.V 13.3.T	1.6 1.2 3.0 1.0	xwei³¹	0
