# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
#
1461	Beijing	I	w o ²¹³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		6 7 8	AXT	WU6	1	1.W.C 1.U.V 1.6.T	1.6 3.0 1.0	wo²¹³	0
1462	Ha_erbin	I	w o ²¹³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		6 7 8	AXT	WU6	7	7.W.C 7.U.V 7.6.T	1.6 3.0 1.0	wo²¹³	0
1463	Jinan	I	v ɔ ⁴⁵	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		3 7 8	AXT	BU2	8	8.B.C 8.U.V 8.2.T	1.6 3.0 1.0	vɔ⁴⁵	0
1464	Rongcheng	I	w ɔ ²¹⁴	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		6 7 8	AXT	WU6	14	14.W.C 14.U.V 14.6.T	1.6 3.0 1.0	wɔ²¹⁴	0
1465	Taiyuan	I	ɣ ɤ ⁵³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		3 7 8	AXT	GE3	16	16.G.C 16.E.V 16.3.T	1.6 3.0 1.0	ɣɤ⁵³	0
1466	Xi_an	I	ŋ ɤ ⁵³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		4 7 8	AXT	NE3	18	18.N.C 18.E.V 18.3.T	1.6 3.0 1.0	ŋɤ⁵³	0
1467	Chengdu	I	ŋ o ⁵³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		4 7 8	AXT	NU3	3	3.N.C 3.U.V 3.3.T	1.6 3.0 1.0	ŋo⁵³	0
1468	Nanjing	I	o ¹¹	I:1ST/我	Pron	313	463	1	218	我	我		我	n t		7 8	XT	U1	13	13.U.V 13.1.T	3.0 1.0	o¹¹	0
1469	Jixi	I	ɔ ²¹³	I:1ST/我	Pron	313	463	1	218	我	我		我	n t		7 8	XT	U6	9	9.U.V 9.6.T	3.0 1.0	ɔ²¹³	0
1470	Suzhou	I	ŋ əu ²³¹	I:1ST/吾	Pron	314	465	2	220	吾	吾		我	i n t		4 7 8	AXT	NE6	15	15.N.C 15.E.V 15.6.T	1.6 3.0 1.0	ŋəu²³¹	0
1471	Wenzhou	I	ŋ̍/ŋ Ø/ə Ø/ŋ ²⁴	I:1ST/我	Pron	313	463	1	218	我	我		我	i n c t		4 7 4 8	AXLT	NEN2	17	17.N.C 17.E.V 17.N.c 17.2.T	1.6 3.0 1.1 1.0	ŋ̍/ŋØ/əØ/ŋ²⁴	0
1472	Changsha	I	ŋ o ⁴¹	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		4 7 8	AXT	NU3	2	2.N.C 2.U.V 2.3.T	1.6 3.0 1.0	ŋo⁴¹	0
1473	Loudi	I	ŋ̍/ŋ Ø/ə Ø/ŋ ⁴²	I:1ST/我	Pron	313	463	1	218	我	我		我	i n c t		4 7 4 8	AXLT	NEN3	10	10.N.C 10.E.V 10.N.c 10.3.T	1.6 3.0 1.1 1.0	ŋ̍/ŋØ/əØ/ŋ⁴²	0
1474	Nanchang	I	ŋ o ²¹³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		4 7 8	AXT	NU6	12	12.N.C 12.U.V 12.6.T	1.6 3.0 1.0	ŋo²¹³	0
1475	Meixian	I	ŋ ai ¹¹	I:1ST/佳	Pron	315	464	3	219	佳	佳		我	i n t		4 7 8	AXT	NA1	11	11.N.C 11.A.V 11.1.T	1.6 3.0 1.0	ŋai¹¹	0
1476	Guilin	I	w o ²³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		6 7 8	AXT	WU2	6	6.W.C 6.U.V 6.2.T	1.6 3.0 1.0	wo²³	0
1477	Guangzhou	I	ŋ ɔ ²³	I:1ST/我	Pron	313	463	1	218	我	我		我	i n t		4 7 8	AXT	NU2	5	5.N.C 5.U.V 5.2.T	1.6 3.0 1.0	ŋɔ²³	0
1478	Fuzhou	I	ŋ w ai ³²	I:1ST/我	Pron	313	463	1	218	我	我		我	i m n t		4 6 7 8	ACXT	NWA3	4	4.N.C 4.W.C 4.A.V 4.3.T	1.6 1.2 3.0 1.0	ŋwai³²	0
1479	Xiamen	I	ŋ w a ⁵³	I:1ST/我	Pron	313	463	1	218	我	我		我	i m n t		4 6 7 8	ACXT	NWA3	19	19.N.C 19.W.C 19.A.V 19.3.T	1.6 1.2 3.0 1.0	ŋwa⁵³	0
#
148	Beijing	all	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t		2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJEN2_PY3	1	1.C.C 1.J.C 1.E.V 1.N.c 1.2.T 1._._ 1.P.C 1.Y.V 1.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕʰɥɛn³⁵+pu⁵¹	0
149	Ha_erbin	all	tɕʰ ɥ a n ²⁴ + p u ⁵³	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CJAN2_PY3	7	7.C.C 7.J.C 7.A.V 7.N.c 7.2.T 7._._ 7.P.C 7.Y.V 7.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕʰɥan²⁴+pu⁵³	0
