Tip,Group,Nodeshape,Nodelabel
Beijing,Mandarin,a,M
Guangzhou,Yue,e,Y
Changsha,Xiang,e,X
Nanchang,Gan,b,G
Jinan,Mandarin,a,M
Taiyuan,Jin,c,J
Chengdu,Mandarin,a,M
Fuzhou,Min,b,Min
Xiamen,Min,b,Min
Meixian,Hakka,e,H
Suzhou,Wu,c,W
Wenzhou,Wu,c,W
Guilin,Pinghua,a,P
Jixi,Hui,e,Hui
Loudi,Xiang,e,X
Xi_an,Mandarin,a,M
Ha_erbin,Mandarin,a,M
Nanjing,Mandarin,a,M
Rongcheng,Mandarin,a,M
