ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
1	Beijing	vomit	tʰu⁵¹	tʰu⁵¹	tʰ u ⁵¹	tʰ u ⁵¹	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
2	Ha_erbin	vomit	tʰu⁵³	tʰu⁵³	tʰ u ⁵³	tʰ u ⁵³	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
3	Jinan	vomit	tʰu³¹	tʰu³¹	tʰ u ³¹	tʰ u ³¹	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
4	Rongcheng	vomit	ou²¹³⁻³⁵ tʰu²¹⁴	ou²¹³+tʰu²¹⁴	ou ²¹³ + tʰ u ²¹⁴	o u ³⁵/²¹³ + tʰ u ²¹⁴	_vomit VOMIT	2 1	999	868	487	嘔吐	嘔 吐		嘔吐	n N t + i n t	
5	Taiyuan	vomit	tʰu⁵³ lə⁰	tʰu⁵³+lə⁰	tʰ u ⁵³ + l ə ⁰	tʰ u ⁵³ + l ə ⁰	VOMIT _vomit	2 3	1000	869	487	嘔口+勒	嘔 嘞		嘔吐	i n t + i n t	
6	Xi_an	vomit	ŋou²¹ tʰu⁵³	ŋou²¹+tʰu⁵³	ŋ ou ²¹ + tʰ u ⁵³	ŋ o u ²¹ + tʰ u ⁵³	_vomit VOMIT	2 1	999	868	487	嘔吐	嘔 吐		嘔吐	i n N t + i n t	
7	Chengdu	vomit	fa²¹⁻⁵⁵ tʰu⁵³ lo²¹	fa²¹+tʰu⁵³+lo²¹	f a ²¹ + tʰ u ⁵³ + l o ²¹	f a ⁵⁵/²¹ + tʰ u ⁵³ + l o ²¹	_vomit VOMIT _suffix	4 1 5	999	870	487	發吐了	發 吐 了		嘔吐	i n t + i n t + i n t	
8	Chengdu	vomit	tʰu⁵³⁻⁵⁵ lo²¹	tʰu⁵³+lo²¹	tʰ u ⁵³ + l o ²¹	tʰ u ⁵⁵/⁵³ + l o ²¹	VOMIT _vomit	1 5	999	871	487	吐了	吐 了		嘔吐	i n t + i n t	
9	Chengdu	vomit	ŋəu⁵³⁻⁴⁵ lo²¹	ŋəu⁵³+lo²¹	ŋ əu ⁵³ + l o ²¹	ŋ ə u ⁴⁵/⁵³ + l o ²¹	VOMIT _suffix	2 5	1000	872	487	嘔了	嘔 了		嘔吐	i n N t + i n t	
10	Nanjing	vomit	tʰu⁴⁴	tʰu⁴⁴	tʰ u ⁴⁴	tʰ u ⁴⁴	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
11	Nanjing	vomit	əɯ¹¹⁻²² tʰu⁴⁴⁻²²	əɯ¹¹+tʰu⁴⁴	əɯ ¹¹ + tʰ u ⁴⁴	ə ɯ ²²/¹¹ + tʰ u ²²/⁴⁴	_vomit VOMIT	2 1	999	868	487	嘔吐	嘔 吐		嘔吐	n c t + i n t	
12	Jixi	vomit	fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*	fɔ⁵⁵+ŋoʔ³²	f ɔ ⁵⁵ + ŋ o ʔ ³²	f ɔ ⁴⁵/⁵⁵ + ŋ o ʔ ³²*/³²	VOMIT vomit	6 7	1004	873	488	㽹惡	㽹 惡		嘔吐	i n t + i n c t	
13	Suzhou	vomit	ʏ⁵²	ʏ⁵²	ʏ ⁵²	ʏ ⁵²	VOMIT	2	1000	874	487	嘔	嘔		嘔吐	n t	
14	Wenzhou	vomit	tʰøy⁵¹	tʰøy⁵¹	tʰ øy ⁵¹	tʰ ø y ⁵¹	VOMIT	1	999	717	487	吐	吐		嘔吐	i n N t	
15	Changsha	vomit	tʰu⁵⁵	tʰu⁵⁵	tʰ u ⁵⁵	tʰ u ⁵⁵	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
16	Loudi	vomit	xue⁴²	xwe⁴²	x w e ⁴²	x u e ⁴²	VOMIT	8	1002	53	489	囗	囗		嘔吐	i m n t	
17	Loudi	vomit	ta³⁵⁻⁵ xue⁴²	ta³⁵+xwe⁴²	t a ³⁵ + x w e ⁴²	t a ⁵/³⁵ + x u e ⁴²	_vomit VOMIT	9 8	1002	875	489	帶囗	帶 囗		嘔吐	i n t + i m n t	
18	Nanchang	vomit	ŋiɛu²¹³	ŋjɛu²¹³	ŋ j ɛu ²¹³	ŋ i ɛ u ²¹³	VOMIT	2	1000	874	487	嘔	嘔		嘔吐	i m n N t	
19	Nanchang	vomit	tʰu²¹³	tʰu²¹³	tʰ u ²¹³	tʰ u ²¹³	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
20	Meixian	vomit	pʰon³³	pʰon³³	pʰ o n ³³	pʰ o n ³³	VOMIT	10	1006	475	490	翻	翻		嘔吐	i n c t	
21	Guilin	vomit	tʰu²⁵	tʰu²⁵	tʰ u ²⁵	tʰ u ²⁵	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
22	Guangzhou	vomit	ŋɐu³⁵ tʰou³³	ŋɐu³⁵+tʰou³³	ŋ ɐu ³⁵ + tʰ ou ³³	ŋ ɐ u ³⁵ + tʰ o u ³³	_vomit VOMIT	2 1	999	868	487	嘔吐	嘔 吐		嘔吐	i n N t + i n N t	
23	Fuzhou	vomit	tʰou²¹²	tʰou²¹²	tʰ ou ²¹²	tʰ o u ²¹²	VOMIT	1	999	717	487	吐	吐		嘔吐	i n N t	
24	Xiamen	vomit	tʰo²¹	tʰo²¹	tʰ o ²¹	tʰ o ²¹	VOMIT	1	999	717	487	吐	吐		嘔吐	i n t	
25	Beijing	fear	pʰᴀ⁵¹	pʰa̠⁵¹	pʰ a̠ ⁵¹	pʰ a̠ ⁵¹	FEAR	11	235	221	131	怕	怕		怕	i n t	
26	Ha_erbin	fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	pʰ a ⁵³	FEAR	11	235	221	131	怕	怕		怕	i n t	
27	Jinan	fear	pʰa³¹	pʰa³¹	pʰ a ³¹	pʰ a ³¹	FEAR	11	235	221	131	怕	怕		怕	i n t	
28	Rongcheng	fear	pʰa³³⁴	pʰa³³⁴	pʰ a ³³⁴	pʰ a ³³⁴	FEAR	11	235	221	131	怕	怕		怕	i n t	
29	Taiyuan	fear	pʰa⁴⁵	pʰa⁴⁵	pʰ a ⁴⁵	pʰ a ⁴⁵	FEAR	11	235	221	131	怕	怕		怕	i n t	
30	Xi_an	fear	pʰɑ⁴⁴	pʰɑ⁴⁴	pʰ ɑ ⁴⁴	pʰ ɑ ⁴⁴	FEAR	11	235	221	131	怕	怕		怕	i n t	
31	Chengdu	fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³	pʰ a ²¹³	FEAR	11	235	221	131	怕	怕		怕	i n t	
32	Chengdu	fear	tsʰa²¹³	tsʰa²¹³	tsʰ a ²¹³	tsʰ a ²¹³	FEAR	12	238	222	134	诧	诧		怕	i n t	
33	Nanjing	fear	pʰɑ⁴⁴	pʰɑ⁴⁴	pʰ ɑ ⁴⁴	pʰ ɑ ⁴⁴	FEAR	11	235	221	131	怕	怕		怕	i n t	
