ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX
1574	BiaoMin-193_ant-1	Mienic	ANT	ant	蚂蚁	BiaoMin	Biao Min	biao1254	s au ³⁵	587	610	阴上	³⁵	BiaoMon	s au ³	0
1575	ZaoMin-193_ant-1	Mienic	ANT	ant	蚂蚁	ZaoMin	Zao Min	dzao1238	ʑ u ²⁴	587	610	阴上	²⁴	DzaoMin	dz i/j u ³	0
13	WhiteHmong-63_theash-1	Hmongic	ASH	the ash		WhiteHmong	White Hmong	hmon1333	tʃʰ au ³⁴	646	537	阴上	³⁴	HmongDaw	ʈʂʰ au ³	0
405	EasternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + tsʰ y ⁵⁵	646	537	轻声 阴上.阳上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1
406	WesternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + tsʰ u ⁵⁵	646	537	轻声 阴上.阳上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1
407	SouthernGuizhouChuanqiandian-15_ash-1	Hmongic	ASH	ash	灰	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s ɔ ²²	646	537	阴平	²²	CentralMashanHmong	s ɔ ³ᵇ/³	0
408	WesternXiangxi-15_ash-1	Hmongic	ASH	ash	灰	WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646	537	阴上.阴入	⁴⁴	WesternXiangxiMiao	ɕ i ³	0
409	NorthernQiandong-15_ash-1	Hmongic	ASH	ash	灰	NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646	537	阴上 阴上	³⁵ ³⁵	NorthernQiandongMiao	ɕʰ u ³	1
410	WesternBaheng-15_ash-1	Hmongic	ASH	ash	灰	WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646	537	轻声 阴上	⁰/³ ³¹	PaHng	ɕ i ³	1
411	EasternBaheng-15_ash-1	Hmongic	ASH	ash	灰	EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646	537	阴上	³¹³	PaHng	ɕ i ³	0
412	Jiongnai-15_ash-1	Hmongic	ASH	ash	灰	Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646	537	阴上	⁵³	JiongnaiBunu	θ e ³	0
413	Mien-15_ash-1	Mienic	ASH	ash	灰	Mien	Mien	iumi1238	s aːi ⁵³	646	537	阴上	⁵³	luMien	ɕ w ai ³	0
414	KimMun-15_ash-1	Mienic	ASH	ash	灰	KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646	537	阴上.阳上	⁵¹	KimMun	s aːi ³	0
415	BiaoMin-15_ash-1	Mienic	ASH	ash	灰	BiaoMin	Biao Min	biao1254	s ai ³⁵	646	537	阴上	³⁵	BiaoMon	s w ai ³	0
416	ZaoMin-15_ash-1	Mienic	ASH	ash	灰	ZaoMin	Zao Min	dzao1238	s oi ²⁴	646	537	阴上	²⁴	DzaoMin	s ɔi ³	0
280	WhiteHmong-1167_toask1-1	Hmongic	ASK (INQUIRE)	to ask(1)		WhiteHmong	White Hmong	hmon1333	n u ³¹	1309	309	阳平.阳上.阳去	³¹	HmongDaw	n u ⁶/¹³	0
4671	EasternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309	309	阴去.阳去	²⁴	Luopohe	n a ᶜ/³	0
4672	WesternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309	309	阴去.阳去	³⁵	Luopohe	n a ᶜ/³	0
4673	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309	309	阳去.阴入	¹³	CentralMashanHmong	n o ŋ ⁶/¹³	0
4674	WesternXiangxi-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309	309	0	⁴²	WesternXiangxiMiao	n e ⁶/¹³	0
4675	NorthernQiandong-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309	309	阴入	¹³	NorthernQiandongMiao	n ɛ ⁶/¹³	0
4676	WesternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309	309	阳去	⁴⁴	PaHng	n ɪ̃ ⁶/¹³	0
4677	EasternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309	309	阳去.阳入	³¹	PaHng	n ɪ̃ ⁶/¹³	0
4678	Jiongnai-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	Jiongnai	Jiongnai	jion1236	n o ¹¹	1309	309	阳去	¹¹	JiongnaiBunu	n ɔ ⁶/¹³	0
4679	Mien-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	Mien	Mien	iumi1238	n aːi ²¹	1309	313	阳去	²¹	luMien	n aːi ⁶/¹³	0
4680	KimMun-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309	313	阴去.阳去.阴入.阳入	⁴²	KimMun	n aːi ⁶/¹³	0
4681	BiaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	BiaoMin	Biao Min	biao1254	n a ⁴²	1309	313	阳上.阳去	⁴²	BiaoMon	n a ⁶/¹³	0
4682	ZaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	ZaoMin	Zao Min	dzao1238	n oi ²²	1309	313	阳去.阳入	²²	DzaoMin	n ɔi ⁶/¹³	0
2750	EasternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57	359	轻声 阴入.阳入	⁰/⁵ ³³	Luopohe	s a ᴬ/¹	1
2751	WesternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57	359	阴上.阳上 阴平.阳平.阴入.阳入	⁵⁵ ³¹	Luopohe	s a ᴬ/¹	1
2752	SouthernGuizhouChuanqiandian-476_on-1	Hmongic	ATOP	on	上边	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57	359	阳去.阴入 阳上	¹³ ¹¹	CentralMashanHmong	s a ¹ᵇ/¹	0
2753	WesternXiangxi-476_on-1	Hmongic	ATOP	on	上边	WesternXiangxi	Xiangxi, West	west2430	k ɯ ⁴⁴ + l o ⁵³	57	0	阴上.阴入 *上	⁴⁴ ⁵³	WesternXiangxiMiao		
2754	NorthernQiandong-476_on-1	Hmongic	ATOP	on	上边	NorthernQiandong	Qiandong, North	nort2747	k i ⁵⁵ + v ɛ ⁵⁵	57	0	0 0	⁵⁵ ⁵⁵	NorthernQiandongMiao		
2755	WesternBaheng-476_on-1	Hmongic	ATOP	on	上边	WesternBaheng	Baheng, West	pahn1237	ʔ a ⁰/³ + w a ŋ ³³	57	0	轻声 阳平	⁰/³ ³³	PaHng		
2756	EasternBaheng-476_on-1	Hmongic	ATOP	on	上边	EasternBaheng	Baheng, East	pahn1237	q a ⁰/³ + w a ŋ ³³ + ɕ o ³⁵	57	0	轻声 阳平 阴平	⁰/³ ³³ ³⁵	PaHng		
2757	Jiongnai-476_on-1	Hmongic	ATOP	on	上边	Jiongnai	Jiongnai	jion1236	ⁿtʰ j a ³⁵ + p i n ⁴⁴	57	0	阴去 阴平	³⁵ ⁴⁴	JiongnaiBunu		
2758	Mien-476_on-1	Mienic	ATOP	on	上边	Mien	Mien	iumi1238	k u ³¹ + ŋ aːi ²¹	57	0	阳平 阳去	³¹ ²¹	luMien		
2759	KimMun-476_on-1	Mienic	ATOP	on	上边	KimMun	Kim Mun	kimm1245	k a ⁰/² + tʃ ei ⁴²	57	0	轻声 阴去.阳去.阴入.阳入	⁰/² ⁴²	KimMun		
2760	BiaoMin-476_on-1	Mienic	ATOP	on	上边	BiaoMin	Biao Min	biao1254	k a ⁴² + s u ³³	57	0	阳上.阳去 阴平	⁴² ³³	BiaoMon		
2761	ZaoMin-476_on-1	Mienic	ATOP	on	上边	ZaoMin	Zao Min	dzao1238	h o ⁴² + m i ⁵³	57	0	阴去 阳平	⁴² ⁵³	DzaoMin		
1800	EasternLuobuohe-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + q l ei ²⁴ + ʑ a ŋ ³¹	1146	0	轻声 阴去.阳去 阴平.阳平	⁰/² ²⁴ ³¹	Luopohe		
1801	WesternLuobuohe-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	WesternLuobuohe	Luobuohe, Western	luop1235	q o ⁰/⁵ + ʑ ɑ ŋ ³¹ + q ɑ ŋ ⁵⁵	1146	0	轻声 阴平.阳平.阴入.阳入 阴上.阳上	⁰/⁵ ³¹ ⁵⁵	Luopohe		
1802	SouthernGuizhouChuanqiandian-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	h u/w ei ³² + tɕ ə ¹³	1146	585	阴平 阳去.阴入	³² ¹³	CentralMashanHmong	tɕ əa ⁶/¹³	1
1803	WesternXiangxi-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	WesternXiangxi	Xiangxi, West	west2430	k w ɑ ŋ ⁵⁵	1146	0	0	⁵⁵	WesternXiangxiMiao		
1804	NorthernQiandong-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	NorthernQiandong	Qiandong, North	nort2747	tɕ a ⁵⁵	1146	585	0	⁵⁵	NorthernQiandongMiao	tɕ a ²	0
1805	WesternBaheng-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	WesternBaheng	Baheng, West	pahn1237	t j ei ³¹ + tɕ ei ⁵⁵	1146	0	阴上 阴去	³¹ ⁵⁵	PaHng		
1806	EasternBaheng-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	EasternBaheng	Baheng, East	pahn1237	p j ei ³¹³ + ts ei ⁵⁵	1146	0	阴上 阴去	³¹³ ⁵⁵	PaHng		
1807	Jiongnai-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	Jiongnai	Jiongnai	jion1236	k w ei ⁴⁴ + k a ¹¹ + ð au ¹¹	1146	0	阴平 阳去 阳去	⁴⁴ ¹¹ ¹¹	JiongnaiBunu		
1808	Mien-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	Mien	Mien	iumi1238	tɕ e ³¹	1146	585	阳平	³¹	luMien	tɕ e ²	0
1809	KimMun-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	KimMun	Kim Mun	kimm1245	k w a ³¹ + d j a ŋ ⁵¹	1146	0	阴上.阳上.阴去.阳去. 阴上.阳上	³¹ ⁵¹	KimMun		
1810	BiaoMin-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	BiaoMin	Biao Min	biao1254	t j a ³¹	1146	585	阳平	³¹	BiaoMon	ȶ a ²	0
1811	ZaoMin-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	ZaoMin	Zao Min	dzao1238	tɕ a ⁵³	1146	585	阳平	⁵³	DzaoMin	k j ɛ ²	0
157	WhiteHmong-656_theaxeax-1	Hmongic	AXE	the axe/ax		WhiteHmong	White Hmong	hmon1333	t au ¹¹	677	211	阴平.阴上.阳上.阴入	¹¹	HmongDaw	t au ⁷/³	0
2251	EasternLuobuohe-336_axe-1	Hmongic	AXE	axe	斧子	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + t y ²⁴	677	211	轻声 阴去.阳去	⁰/² ²⁴	Luopohe	t u ᶜ/³	1
2252	WesternLuobuohe-336_axe-1	Hmongic	AXE	axe	斧子	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + t u ³⁵	677	211	轻声 阴去.阳去	⁰/² ³⁵	Luopohe	t u ᶜ/³	1
2253	SouthernGuizhouChuanqiandian-336_axe-1	Hmongic	AXE	axe	斧子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	t ɔ ⁵⁵	677	211	阴去	⁵⁵	CentralMashanHmong	t ɔ ⁵ᵃ/⁵	0
2254	WesternXiangxi-336_axe-1	Hmongic	AXE	axe	斧子	WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + t ɔ ⁵³	677	211	阴平 *上	³⁵ ⁵³	WesternXiangxiMiao	t ɔ ⁵	1
2255	NorthernQiandong-336_axe-1	Hmongic	AXE	axe	斧子	NorthernQiandong	Qiandong, North	nort2747	t o ⁴⁴	677	211	阴去	⁴⁴	NorthernQiandongMiao	t o ⁵	0
2256	WesternBaheng-336_axe-1	Hmongic	AXE	axe	斧子	WesternBaheng	Baheng, West	pahn1237	t ei ⁵⁵	677	211	阴去	⁵⁵	PaHng	t i ⁵	0
2257	EasternBaheng-336_axe-1	Hmongic	AXE	axe	斧子	EasternBaheng	Baheng, East	pahn1237	t i ⁵⁵	677	211	阴去	⁵⁵	PaHng	t i ⁵	0
2258	Jiongnai-336_axe-1	Hmongic	AXE	axe	斧子	Jiongnai	Jiongnai	jion1236	ð ei ³⁵	677	211	阴去	³⁵	JiongnaiBunu	ð ei ⁵	0
2259	Mien-336_axe-1	Mienic	AXE	axe	斧子	Mien	Mien	iumi1238	p əu ⁵³	677	16	阴上	⁵³	luMien	p ou ³	0
2260	KimMun-336_axe-1	Mienic	AXE	axe	斧子	KimMun	Kim Mun	kimm1245	ˀp oːu ⁵¹	677	16	阴上.阳上	⁵¹	KimMun	p ɔu ³	0
2261	BiaoMin-336_axe-1	Mienic	AXE	axe	斧子	BiaoMin	Biao Min	biao1254	b əu ³⁵	677	16	阴上	³⁵	BiaoMon	b əu ³	0
2262	ZaoMin-336_axe-1	Mienic	AXE	axe	斧子	ZaoMin	Zao Min	dzao1238	b u ²⁴	677	16	阴上	²⁴	DzaoMin	p u ³	0
270	WhiteHmong-1088_bad-1	Hmongic	BAD	bad		WhiteHmong	White Hmong	hmon1333	pʰ e ²¹³	1292	38	阳上	²¹³	HmongDaw	p u/w a ⁴	0
3397	EasternLuobuohe-595_bad-1	Hmongic	BAD	bad	坏	EasternLuobuohe	Luobuohe, Eastern	luop1235	t ə ⁰/² + ts a ⁵⁵	1292	38	轻声 阴上.阳上	⁰/² ⁵⁵	Luopohe	v u ᴮ/²	0
3398	WesternLuobuohe-595_bad-1	Hmongic	BAD	bad	坏	WesternLuobuohe	Luobuohe, Western	luop1235	t ə ⁰/² + ts ɑ ⁵⁵	1292	38	轻声 阴上.阳上	⁰/² ⁵⁵	Luopohe	v u ᴮ/²	0
3399	SouthernGuizhouChuanqiandian-595_bad-1	Hmongic	BAD	bad	坏	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	p ə ¹¹	1292	38	阳上	¹¹	CentralMashanHmong	p əa ⁴	0
3400	WesternXiangxi-595_bad-1	Hmongic	BAD	bad	坏	WesternXiangxi	Xiangxi, West	west2430	tɕ ɑ ⁴⁴	1292	38	阴上.阴入	⁴⁴	WesternXiangxiMiao	p ɑ ⁴	0
3401	NorthernQiandong-595_bad-1	Hmongic	BAD	bad	坏	NorthernQiandong	Qiandong, North	nort2747	ʑ a ŋ ³¹	1292	0	阳入	³¹	NorthernQiandongMiao		
3402	NorthernQiandong-595_bad-2	Hmongic	BAD	bad	坏	NorthernQiandong	Qiandong, North	nort2747	q a ³³ + ɬʲ a ⁵⁵	1292	38	阴平 0	³³ ⁵⁵	NorthernQiandongMiao	p a ⁴	0
3403	WesternBaheng-595_bad-1	Hmongic	BAD	bad	坏	WesternBaheng	Baheng, West	pahn1237	p ei ¹¹	1292	0	阳上	¹¹	PaHng		
3404	EasternBaheng-595_bad-1	Hmongic	BAD	bad	坏	EasternBaheng	Baheng, East	pahn1237	ɕ a ³⁵	1292	0	阴平	³⁵	PaHng		
3405	Jiongnai-595_bad-1	Hmongic	BAD	bad	坏	Jiongnai	Jiongnai	jion1236	w ei ³¹	1292	0	阳上	³¹	JiongnaiBunu		
3406	Mien-595_bad-1	Mienic	BAD	bad	坏	Mien	Mien	iumi1238	w aːi ²¹	1292	0	阳去	²¹	luMien		
3407	KimMun-595_bad-1	Mienic	BAD	bad	坏	KimMun	Kim Mun	kimm1245	h u ⁵¹	1292	0	阴上.阳上	⁵¹	KimMun		
3408	KimMun-595_bad-2	Mienic	BAD	bad	坏	KimMun	Kim Mun	kimm1245	ˀp ai ⁴²	1292	0	阴去.阳去.阴入.阳入	⁴²	KimMun		
3409	BiaoMin-595_bad-1	Mienic	BAD	bad	坏	BiaoMin	Biao Min	biao1254	tsʰ a ³³	1292	0	阴平	³³	BiaoMon		
3410	ZaoMin-595_bad-1	Mienic	BAD	bad	坏	ZaoMin	Zao Min	dzao1238	v ai ²²	1292	0	阳去.阳入	²²	DzaoMin		
149	WhiteHmong-634_thebamboo-1	Hmongic	BAMBOO	the bamboo		WhiteHmong	White Hmong	hmon1333	ɕ o ŋ ⁵⁵	1927	379	阴平	⁵⁵	HmongDaw	ʰl̥ ɔ ³	0
1717	EasternLuobuohe-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + ȵ o ³¹	1927	0	轻声 阴平.阳平	⁰/² ³¹	Luopohe		
1718	WesternLuobuohe-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + ȵ̥ o ³¹	1927	0	轻声 阴平.阳平.阴入.阳入	⁰/² ³¹	Luopohe		
1719	SouthernGuizhouChuanqiandian-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ʈ ə ²¹	1927	424	阳入	²¹	CentralMashanHmong	ʈ ə ⁸/²⁴	0
1720	WesternXiangxi-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + ɬ o ⁴⁴	1927	379	阴平 阴上.阴入	³⁵ ⁴⁴	WesternXiangxiMiao	l̥ʰ o ³	1
1721	NorthernQiandong-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	NorthernQiandong	Qiandong, North	nort2747	ɬʰ o ³⁵	1927	379	阴上	³⁵	NorthernQiandongMiao	l̥ʰ o ³	0
1722	WesternBaheng-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	WesternBaheng	Baheng, West	pahn1237	p o ³³	1927	0	阳平	³³	PaHng		
1723	EasternBaheng-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	EasternBaheng	Baheng, East	pahn1237	p o ³³	1927	0	阳平	³³	PaHng		
1724	Jiongnai-217_bamboo-1	Hmongic	BAMBOO	bamboo	竹子	Jiongnai	Jiongnai	jion1236	p l i ⁴⁴	1927	0	阴平	⁴⁴	JiongnaiBunu		
1725	Mien-217_bamboo-1	Mienic	BAMBOO	bamboo	竹子	Mien	Mien	iumi1238	ɬ au ⁵³	1927	379	阴上	⁵³	luMien	l̥ au ³	0
1726	KimMun-217_bamboo-1	Mienic	BAMBOO	bamboo	竹子	KimMun	Kim Mun	kimm1245	l au ⁵¹	1927	379	阴上.阳上	⁵¹	KimMun	l ɔu ³	0
1727	BiaoMin-217_bamboo-1	Mienic	BAMBOO	bamboo	竹子	BiaoMin	Biao Min	biao1254	ɬ au ³⁵	1927	379	阴上	³⁵	BiaoMon	ɬ au ³	0
1728	ZaoMin-217_bamboo-1	Mienic	BAMBOO	bamboo	竹子	ZaoMin	Zao Min	dzao1238	l au ²⁴	1927	379	阴上	²⁴	DzaoMin	l au ³	0
1858	EasternLuobuohe-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	EasternLuobuohe	Luobuohe, Eastern	luop1235	q o ⁰/⁵ + ⁿb j a ²⁴	2494	187	轻声 阴去.阳去	⁰/⁵ ²⁴	Luopohe	ⁿp j a ᶜ/³	1
1859	WesternLuobuohe-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + ⁿb a ³⁵	2494	187	轻声 阴去.阳去	⁰/² ³⁵	Luopohe	ⁿp j a ᶜ/³	1
1860	SouthernGuizhouChuanqiandian-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ⁿp ʐ ə ¹³	2494	187	阳去.阴入	¹³	CentralMashanHmong	ⁿp ʐ əa ⁶/¹³	0
1861	WesternXiangxi-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	WesternXiangxi	Xiangxi, West	west2430	m ʐ ɑ ⁴²	2494	187	0	⁴²	WesternXiangxiMiao	m ʐ ɑ ⁶/¹³	0
1862	NorthernQiandong-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	NorthernQiandong	Qiandong, North	nort2747	z a ¹³	2494	187	阴入	¹³	NorthernQiandongMiao	z a ⁶/¹³	0
1863	WesternBaheng-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	WesternBaheng	Baheng, West	pahn1237	nʲ ei ⁴⁴	2494	187	阳去	⁴⁴	PaHng	m j e ⁶/¹³	0
1864	EasternBaheng-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	EasternBaheng	Baheng, East	pahn1237	ⁿp j e ³¹	2494	187	阳去.阳入	³¹	PaHng	m j e ⁶/¹³	0
1865	Jiongnai-239_bambooshoot-1	Hmongic	BAMBOO SHOOT	bamboo shoot	笋	Jiongnai	Jiongnai	jion1236	ⁿp j a ¹¹	2494	187	阳去	¹¹	JiongnaiBunu	ⁿp j a ⁶/¹³	0
1866	Mien-239_bambooshoot-1	Mienic	BAMBOO SHOOT	bamboo shoot	笋	Mien	Mien	iumi1238	b ai ²¹	2494	187	阳去	²¹	luMien	b j e ⁶/¹³	0
1867	KimMun-239_bambooshoot-1	Mienic	BAMBOO SHOOT	bamboo shoot	笋	KimMun	Kim Mun	kimm1245	b j ai ⁴²	2494	187	阴去.阳去.阴入.阳入	⁴²	KimMun	b j ai ⁶/¹³	0
1868	BiaoMin-239_bambooshoot-1	Mienic	BAMBOO SHOOT	bamboo shoot	笋	BiaoMin	Biao Min	biao1254	b l ai ⁴²	2494	187	阳上.阳去	⁴²	BiaoMon	b l ai ⁶/¹³	0
1869	ZaoMin-239_bambooshoot-1	Mienic	BAMBOO SHOOT	bamboo shoot	笋	ZaoMin	Zao Min	dzao1238	b e ²²	2494	187	阳去.阳入	²²	DzaoMin	b ɛi ⁶/¹³	0
4058	EasternLuobuohe-727_barkofdog-1	Hmongic	BARKING	bark (of dog)	吠	EasternLuobuohe	Luobuohe, Eastern	luop1235	z əu ³³	1206	0	阴入.阳入	³³	Luopohe		
4059	WesternLuobuohe-727_barkofdog-1	Hmongic	BARKING	bark (of dog)	吠	WesternLuobuohe	Luobuohe, Western	luop1235	ð u ³¹	1206	0	阴平.阳平.阴入.阳入	³¹	Luopohe		
4060	SouthernGuizhouChuanqiandian-727_barkofdog-1	Hmongic	BARKING	bark (of dog)	吠	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ³²	1206	0	阴平	³²	CentralMashanHmong		
4061	WesternXiangxi-727_barkofdog-1	Hmongic	BARKING	bark (of dog)	吠	WesternXiangxi	Xiangxi, West	west2430	tɕ u ⁴²	1206	0	0	⁴²	WesternXiangxiMiao		
4062	NorthernQiandong-727_barkofdog-1	Hmongic	BARKING	bark (of dog)	吠	NorthernQiandong	Qiandong, North	nort2747	ɕ i ¹³	1206	0	阴入	¹³	NorthernQiandongMiao		
