ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	TONE_CLASS	TONE_VALUE	CLASSIFICATION	RATLIFF_FORM
411	WesternXiangxi-15_ash-1	Hmongic		ASH	ash		WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646		537	阴上.阴入	⁴⁴	Western Xiangxi	ɕ i ³
412	NorthernQiandong-15_ash-1	Hmongic		ASH	ash		NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646		537	阴上 阴上	³⁵ ³⁵	Northern Qiandong	ɕʰ u ³
413	WesternBaheng-15_ash-1	Hmongic		ASH	ash		WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646		537	? 阴上	⁰/³ ³¹	Baheng	ɕ i ³
414	EasternBaheng-15_ash-1	Hmongic		ASH	ash		EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646		537	阴上	³¹³	Baheng	ɕ i ³
415	Jiongnai-15_ash-1	Hmongic		ASH	ash		Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646		537	阴上	⁵³	Jiongnai	θ e ³
416	Mien-15_ash-1	Mienic		ASH	ash		Mien	Mien	iumi1238	s aːi ⁵³	646		537	阴上	⁵³	Mien	ɕ w ai ³
417	KimMun-15_ash-1	Mienic		ASH	ash		KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646		537	上声.清.气	⁵¹	Kim Mun	s aːi ³
418	BiaoMin-15_ash-1	Mienic		ASH	ash		BiaoMin	Biao Min	biao1254	s ai ³⁵	646		537	阴上	³⁵	Biao Min	s w ai ³
419	ZaoMin-15_ash-1	Mienic		ASH	ash		ZaoMin	Zao Min	dzao1238	s oi ²⁴	646		537	阴上	²⁴	Zao Min	s ɔi ³
283	WhiteHmong-1167_toask1-1			ASK (INQUIRE)	to ask(1)		WhiteHmong	White Hmong	hmon1333	n u ˧˩/³¹	1309		309	˧˩	˧˩/³¹	White Hmong	n u ⁶/¹³
4674	EasternLuobuohe-832_ask-1	Hmongic		ASK (INQUIRE)	ask		EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309		309	去	²⁴	Luopohe	n a ᶜ/³
4675	WesternLuobuohe-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309		309	入	³⁵	Luopohe	n a ᶜ/³
4676	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic		ASK (INQUIRE)	ask		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309		309	阴上	¹³	Southern Chuanqiandian	n o ŋ ⁶/¹³
4677	WesternXiangxi-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309		309	?	⁴²	Western Xiangxi	n e ⁶/¹³
4678	NorthernQiandong-832_ask-1	Hmongic		ASK (INQUIRE)	ask		NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309		309	阴入	¹³	Northern Qiandong	n ɛ ⁶/¹³
4679	WesternBaheng-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309		309	阳去	⁴⁴	Baheng	n ɪ̃ ⁶/¹³
4680	EasternBaheng-832_ask-1	Hmongic		ASK (INQUIRE)	ask		EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309		309	阳去.阳入	³¹	Baheng	n ɪ̃ ⁶/¹³
4681	Jiongnai-832_ask-1	Hmongic		ASK (INQUIRE)	ask		Jiongnai	Jiongnai	jion1236	n o ¹¹	1309		309	阳去	¹¹	Jiongnai	n ɔ ⁶/¹³
4682	Mien-832_ask-1	Mienic		ASK (INQUIRE)	ask		Mien	Mien	iumi1238	n aːi ²¹	1309		313	阳去	²¹	Mien	n aːi ⁶/¹³
4683	KimMun-832_ask-1	Mienic		ASK (INQUIRE)	ask		KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309		313	去声.浊.入声.浊	⁴²	Kim Mun	n aːi ⁶/¹³
4684	BiaoMin-832_ask-1	Mienic		ASK (INQUIRE)	ask		BiaoMin	Biao Min	biao1254	n a ⁴²	1309		313	阳上.阳去	⁴²	Biao Min	n a ⁶/¹³
4685	ZaoMin-832_ask-1	Mienic		ASK (INQUIRE)	ask		ZaoMin	Zao Min	dzao1238	n oi ²²	1309		313	阳去.阳入	²²	Zao Min	n ɔi ⁶/¹³
2753	EasternLuobuohe-476_on-1	Hmongic		ATOP	on		EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57		359	? 入	⁰/⁵ ³³	Luopohe	s a ᴬ/¹
2754	WesternLuobuohe-476_on-1	Hmongic		ATOP	on		WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57		359	去 平.上	⁵⁵ ³¹	Luopohe	s a ᴬ/¹
2755	SouthernGuizhouChuanqiandian-476_on-1	Hmongic		ATOP	on		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57		359	阴上 ?	¹³ ¹¹	Southern Chuanqiandian	s a ¹ᵇ/¹
2756	WesternXiangxi-476_on-1	Hmongic		ATOP	on		WesternXiangxi	Xiangxi, West	west2430	k ɯ ⁴⁴ + l o ⁵³	57		0	阴上.阴入 ?	⁴⁴ ⁵³	Western Xiangxi	
2757	NorthernQiandong-476_on-1	Hmongic		ATOP	on		NorthernQiandong	Qiandong, North	nort2747	k i ⁵⁵ + v ɛ ⁵⁵	57		0	? ?	⁵⁵ ⁵⁵	Northern Qiandong	
2758	WesternBaheng-476_on-1	Hmongic		ATOP	on		WesternBaheng	Baheng, West	pahn1237	ʔ a ⁰/³ + w a ŋ ³³	57		0	? 阳平	⁰/³ ³³	Baheng	
2759	EasternBaheng-476_on-1	Hmongic		ATOP	on		EasternBaheng	Baheng, East	pahn1237	q a ⁰/³ + w a ŋ ³³ + ɕ o ³⁵	57		0	? 阳平 阴平	⁰/³ ³³ ³⁵	Baheng	
2760	Jiongnai-476_on-1	Hmongic		ATOP	on		Jiongnai	Jiongnai	jion1236	ⁿtʰ j a ³⁵ + p i n ⁴⁴	57		0	阴去 阴平	³⁵ ⁴⁴	Jiongnai	
2761	Mien-476_on-1	Mienic		ATOP	on		Mien	Mien	iumi1238	k u ³¹ + ŋ aːi ²¹	57		0	阳平 阳去	³¹ ²¹	Mien	
2762	KimMun-476_on-1	Mienic		ATOP	on		KimMun	Kim Mun	kimm1245	k a ⁰/² + tʃ ei ⁴²	57		0	? 去声.浊.入声.浊	⁰/² ⁴²	Kim Mun	
2763	BiaoMin-476_on-1	Mienic		ATOP	on		BiaoMin	Biao Min	biao1254	k a ⁴² + s u ³³	57		0	阳上.阳去 阴平	⁴² ³³	Biao Min	
2764	ZaoMin-476_on-1	Mienic		ATOP	on		ZaoMin	Zao Min	dzao1238	h o ⁴² + m i ⁵³	57		0	阴去 阳平	⁴² ⁵³	Zao Min	
1803	EasternLuobuohe-233_aubergine-1	Hmongic		AUBERGINE	aubergine		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + q l ei ²⁴ + ʑ a ŋ ³¹	1146		0	? 去 平	⁰/² ²⁴ ³¹	Luopohe	
1804	WesternLuobuohe-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternLuobuohe	Luobuohe, Western	luop1235	q o ⁰/⁵ + ʑ ɑ ŋ ³¹ + q ɑ ŋ ⁵⁵	1146		0	? 平.上 去	⁰/⁵ ³¹ ⁵⁵	Luopohe	
1805	SouthernGuizhouChuanqiandian-233_aubergine-1	Hmongic		AUBERGINE	aubergine		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	h u/w ei ³² + tɕ ə ¹³	1146		585	? 阴上	³² ¹³	Southern Chuanqiandian	tɕ əa ⁶/¹³
1806	WesternXiangxi-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternXiangxi	Xiangxi, West	west2430	k w ɑ ŋ ⁵⁵	1146		0	?	⁵⁵	Western Xiangxi	
1807	NorthernQiandong-233_aubergine-1	Hmongic		AUBERGINE	aubergine		NorthernQiandong	Qiandong, North	nort2747	tɕ a ⁵⁵	1146		585	?	⁵⁵	Northern Qiandong	tɕ a ²
1808	WesternBaheng-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternBaheng	Baheng, West	pahn1237	t j ei ³¹ + tɕ ei ⁵⁵	1146		0	阴上 阴去	³¹ ⁵⁵	Baheng	
1809	EasternBaheng-233_aubergine-1	Hmongic		AUBERGINE	aubergine		EasternBaheng	Baheng, East	pahn1237	p j ei ³¹³ + ts ei ⁵⁵	1146		0	阴上 阴去	³¹³ ⁵⁵	Baheng	
1810	Jiongnai-233_aubergine-1	Hmongic		AUBERGINE	aubergine		Jiongnai	Jiongnai	jion1236	k w ei ⁴⁴ + k a ¹¹ + ð au ¹¹	1146		0	阴平 阳去 阳去	⁴⁴ ¹¹ ¹¹	Jiongnai	
1811	Mien-233_aubergine-1	Mienic		AUBERGINE	aubergine		Mien	Mien	iumi1238	tɕ e ³¹	1146		585	阳平	³¹	Mien	tɕ e ²
1812	KimMun-233_aubergine-1	Mienic		AUBERGINE	aubergine		KimMun	Kim Mun	kimm1245	k w a ³¹ + d j a ŋ ⁵¹	1146		0	上声.浊.去声.气 上声.清.气	³¹ ⁵¹	Kim Mun	
1813	BiaoMin-233_aubergine-1	Mienic		AUBERGINE	aubergine		BiaoMin	Biao Min	biao1254	t j a ³¹	1146		585	阳平	³¹	Biao Min	ȶ a ²
1814	ZaoMin-233_aubergine-1	Mienic		AUBERGINE	aubergine		ZaoMin	Zao Min	dzao1238	tɕ a ⁵³	1146		585	阳平	⁵³	Zao Min	k j ɛ ²
160	WhiteHmong-656_theaxeax-1			AXE	the axe/ax		WhiteHmong	White Hmong	hmon1333	t au ˩/¹¹	677		211	 ˩	˩/¹¹	White Hmong	t au ⁷/³
2254	EasternLuobuohe-336_axe-1	Hmongic		AXE	axe		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + t y ²⁴	677		211	? 去	⁰/² ²⁴	Luopohe	t u ᶜ/³
2255	WesternLuobuohe-336_axe-1	Hmongic		AXE	axe		WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + t u ³⁵	677		211	? 入	⁰/² ³⁵	Luopohe	t u ᶜ/³
2256	SouthernGuizhouChuanqiandian-336_axe-1	Hmongic		AXE	axe		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	t ɔ ⁵⁵	677		211	阳平.阳入	⁵⁵	Southern Chuanqiandian	t ɔ ⁵ᵃ/⁵
2257	WesternXiangxi-336_axe-1	Hmongic		AXE	axe		WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + t ɔ ⁵³	677		211	阴平 ?	³⁵ ⁵³	Western Xiangxi	t ɔ ⁵
2258	NorthernQiandong-336_axe-1	Hmongic		AXE	axe		NorthernQiandong	Qiandong, North	nort2747	t o ⁴⁴	677		211	阴去	⁴⁴	Northern Qiandong	t o ⁵
2259	WesternBaheng-336_axe-1	Hmongic		AXE	axe		WesternBaheng	Baheng, West	pahn1237	t ei ⁵⁵	677		211	阴去	⁵⁵	Baheng	t i ⁵
2260	EasternBaheng-336_axe-1	Hmongic		AXE	axe		EasternBaheng	Baheng, East	pahn1237	t i ⁵⁵	677		211	阴去	⁵⁵	Baheng	t i ⁵
2261	Jiongnai-336_axe-1	Hmongic		AXE	axe		Jiongnai	Jiongnai	jion1236	ð ei ³⁵	677		211	阴去	³⁵	Jiongnai	ð ei ⁵
2262	Mien-336_axe-1	Mienic		AXE	axe		Mien	Mien	iumi1238	p əu ⁵³	677		16	阴上	⁵³	Mien	p ou ³
2263	KimMun-336_axe-1	Mienic		AXE	axe		KimMun	Kim Mun	kimm1245	ˀp oːu ⁵¹	677		16	上声.清.气	⁵¹	Kim Mun	p ɔu ³
2264	BiaoMin-336_axe-1	Mienic		AXE	axe		BiaoMin	Biao Min	biao1254	b əu ³⁵	677		16	阴上	³⁵	Biao Min	b əu ³
2265	ZaoMin-336_axe-1	Mienic		AXE	axe		ZaoMin	Zao Min	dzao1238	b u ²⁴	677		16	阴上	²⁴	Zao Min	p u ³
61	WhiteHmong-256_theback-1			BACK	the back		WhiteHmong	White Hmong	hmon1333	ⁿr o ˥/⁵⁵ + q au ˨˩˧/²¹³	1291		817	˥ ˩'	˥/⁵⁵ ˨˩˧/²¹³	White Hmong	q au ⁸/²⁴
62	WhiteHmong-256_theback-2			BACK	the back		WhiteHmong	White Hmong	hmon1333	d u/w a ˧˦/³⁴	1291		817	˧˦	˧˦/³⁴	White Hmong	q au ⁸/²⁴
273	WhiteHmong-1088_bad-1			BAD	bad		WhiteHmong	White Hmong	hmon1333	pʰ e ˨˩˧/²¹³	1292		38	˩'	˨˩˧/²¹³	White Hmong	p u/w a ⁴
3400	EasternLuobuohe-595_bad-1	Hmongic		BAD	bad		EasternLuobuohe	Luobuohe, Eastern	luop1235	t ə ⁰/² + ts a ⁵⁵	1292		38	? 上	⁰/² ⁵⁵	Luopohe	v u ᴮ/²
3401	WesternLuobuohe-595_bad-1	Hmongic		BAD	bad		WesternLuobuohe	Luobuohe, Western	luop1235	t ə ⁰/² + ts ɑ ⁵⁵	1292		38	? 去	⁰/² ⁵⁵	Luopohe	v u ᴮ/²
3402	SouthernGuizhouChuanqiandian-595_bad-1	Hmongic		BAD	bad		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	p ə ¹¹	1292		38	?	¹¹	Southern Chuanqiandian	p əa ⁴
3403	WesternXiangxi-595_bad-1	Hmongic		BAD	bad		WesternXiangxi	Xiangxi, West	west2430	tɕ ɑ ⁴⁴	1292		38	阴上.阴入	⁴⁴	Western Xiangxi	p ɑ ⁴
3404	NorthernQiandong-595_bad-1	Hmongic		BAD	bad		NorthernQiandong	Qiandong, North	nort2747	ʑ a ŋ ³¹	1292		38	阳入	³¹	Northern Qiandong	p a ⁴
3405	NorthernQiandong-595_bad-2	Hmongic		BAD	bad		NorthernQiandong	Qiandong, North	nort2747	q a ³³ + ɬʲ a ⁵⁵	1292		38	阴平 ?	³³ ⁵⁵	Northern Qiandong	p a ⁴
3406	WesternBaheng-595_bad-1	Hmongic		BAD	bad		WesternBaheng	Baheng, West	pahn1237	p ei ¹¹	1292		0	阳上	¹¹	Baheng	
3407	EasternBaheng-595_bad-1	Hmongic		BAD	bad		EasternBaheng	Baheng, East	pahn1237	ɕ a ³⁵	1292		0	阴平	³⁵	Baheng	
3408	Jiongnai-595_bad-1	Hmongic		BAD	bad		Jiongnai	Jiongnai	jion1236	w ei ³¹	1292		0	阳上	³¹	Jiongnai	
3409	Mien-595_bad-1	Mienic		BAD	bad		Mien	Mien	iumi1238	w aːi ²¹	1292		0	阳去	²¹	Mien	
3410	KimMun-595_bad-1	Mienic		BAD	bad		KimMun	Kim Mun	kimm1245	h u ⁵¹	1292		0	上声.清.气	⁵¹	Kim Mun	
