ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	CLASSIFICATION	DATASET
155	NorthernQiandongMiao-24-ant-1			ANT	ant		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	pʰ e n ³	587		0	Northern Qiandong	ratliffhmongmien
156	WesternXiangxiMiao-24-ant-1			ANT	ant		WesternXiangxiMiao	2 Western Xiangxi Miao [mmr]	west2430	ⁿp h a ³	587		0	Western Xiangxi	ratliffhmongmien
157	JiongnaiBunu-24-ant-1			ANT	ant		JiongnaiBunu	6 Jiongnai Bunu [pnu]	jion1236	ⁿp h ai ³	587		0	Jiongnai	ratliffhmongmien
158	PaHng-24-ant-1			ANT	ant		PaHng	7 Pa-Hng [pha]	pahn1237	m̥ j e ³	587		0	Baheng	ratliffhmongmien
560	CentralMashanHmong-24-ant-1			ANT	ant		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	ⁿp ʐ ɔ ⁸/²⁴	587		0	Southern Chuanqiandian	ratliffhmongmien
561	Luopohe-24-ant-1			ANT	ant		Luopohe	5 Luopohe Hmong [hml]	luop1235	ⁿp j u ᴰ/⁴	587		0	Luopohe	ratliffhmongmien
1722	luMien-24-ant-1			ANT	ant		luMien	8 Iu Mien [ium]	iumi1238	ɕ eu ³	587		0	Mien	ratliffhmongmien
1723	KimMun-24-ant-1			ANT	ant		KimMun	9 Kim Mun [mji]	kimm1245	s ɔu ³	587		0	Kim Mun	chenhmongmien
1724	BiaoMon-24-ant-1			ANT	ant		BiaoMon	10 Biao Mon [bmt]	biao1256	s au ³	587		0	Biao Min	ratliffhmongmien
1725	DzaoMin-24-ant-1			ANT	ant		DzaoMin	11 Dzao Min [bpn]	dzao1238	dz i/j u ³	587		0	Zao Min	ratliffhmongmien
3840	EasternLuobuohe-193_ant-1	Hmongic		ANT	ant		EasternLuobuohe	Luobuohe, Eastern	luop1235	tɕ i n ³¹ + ⁿb y ³³	587		0	Luopohe	chenhmongmien
3841	WesternLuobuohe-193_ant-1	Hmongic		ANT	ant		WesternLuobuohe	Luobuohe, Western	luop1235	tɕ i n ³¹ + ⁿb ø ⁵⁵	587		0	Luopohe	chenhmongmien
3842	SouthernGuizhouChuanqiandian-193_ant-1	Hmongic		ANT	ant		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	k u/w a ³² + ⁿp ʐ ɔ ²¹	587		0	Southern Chuanqiandian	chenhmongmien
3843	WesternXiangxi-193_ant-1	Hmongic		ANT	ant		WesternXiangxi	Xiangxi, West	west2430	t ɑ ³⁵ + ⁿpʰ a ⁴⁴	587		0	Western Xiangxi	chenhmongmien
3844	NorthernQiandong-193_ant-1	Hmongic		ANT	ant		NorthernQiandong	Qiandong, North	nort2747	k a ŋ ³³ + z o ¹³	587		0	Northern Qiandong	chenhmongmien
3845	WesternBaheng-193_ant-1	Hmongic		ANT	ant		WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + ȵ̥ ei ³¹	587		0	Baheng	chenhmongmien
3846	EasternBaheng-193_ant-1	Hmongic		ANT	ant		EasternBaheng	Baheng, East	pahn1237	ⁿpʰ j e ³¹³	587		0	Baheng	chenhmongmien
3847	Jiongnai-193_ant-1	Hmongic		ANT	ant		Jiongnai	Jiongnai	jion1236	ⁿpʰ ai ⁵³	587		0	Jiongnai	chenhmongmien
3848	Mien-193_ant-1	Mienic		ANT	ant		Mien	Mien	iumi1238	dz j əu ⁵³	587		0	Mien	chenhmongmien
3849	KimMun-193_ant-1	Mienic		ANT	ant		KimMun	Kim Mun	kimm1245	ʃ eu ⁵¹	587		0	Kim Mun	chenhmongmien
3850	BiaoMin-193_ant-1	Mienic		ANT	ant		BiaoMin	Biao Min	biao1254	s au ³⁵	587		0	Biao Min	chenhmongmien
3851	ZaoMin-193_ant-1	Mienic		ANT	ant		ZaoMin	Zao Min	dzao1238	ʑ u ²⁴	587		0	Zao Min	chenhmongmien
