ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	CHARACTERS	COGIDS	MORPHEMES	STRICTID	LOOSEID	COMMONID	SALIENTID
166	Xiamen	all	tsuan²⁴⁻²² pɔ²²	tsuan²⁴⁻²² pɔ²²	ts w a n ²⁴ + p ɔ ²²	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
3405	Beijing	and	xɤ³⁵	xɤ³⁵	x ɤ ³⁵		和	448	and/和	799	3	6	652
3406	Haerbin	and	xɤ²¹	xɤ²¹	x ɤ ²¹		和	448	and/和	799	3	6	652
3407	Jinan	and	xɤ⁵³	xɤ⁵³	x ɤ ⁵³		和	448	and/和	799	3	6	652
3408	Rongcheng	and	xɔ³⁵	xɔ³⁵	x ɔ ³⁵		和	448	and/和	799	3	6	652
3409	Taiyuan	and	xɤ²¹	xɤ²¹	x ɤ ²¹		和	448	and/和	799	3	6	652
3410	XiAn	and	xuo²⁴	xuo²⁴	x w o ²⁴		和	448	and/和	799	3	6	652
3411	Chengdu	and	xo²¹	xo²¹	x o ²¹		和	448	and/和	799	3	6	652
3412	Nanjing	and	xo¹³	xo¹³	x o ¹³		和	448	and/和	799	3	6	652
3413	Jixi	and	xɵ⁴⁴	xɵ⁴⁴	x ɵ ⁴⁴	!b	和	1042	and/和	800	7	10	653
3414	Suzhou	and	taʔ⁴	taʔ⁴	t a ʔ ⁴		搭	223	and/搭	801	11	14	654
3415	Wenzhou	and	kʰuɔ⁵¹	kʰuɔ⁵¹	kʰ w ɔ ⁵¹		伉	650	and/伉	802	12	15	655
3416	Changsha	and	kən³³	kən³³	k ə n ³³		跟	651	follow/跟	803	4	7	656
3417	Loudi	and	ɣo¹³	ɣo¹³	ɣ o ¹³	!b	和	1043	and/和	804	8	11	657
3418	Nanchang	and	fo⁴⁵	fo⁴⁵	f o ⁴⁵	!b	和	1044	and/和	805	10	13	658
3419	Meixian	and	tʰuŋ¹¹	tʰuŋ¹¹	tʰ u ŋ ¹¹		同	652	and/同	806	9	12	659
3420	Guilin	and	kɤn⁴²	kɤn⁴²	k ɤ n ⁴²		跟	651	follow/跟	803	4	7	656
3421	Guangzhou	and	uɔ²¹	uɔ²¹	w ɔ ²¹	!b	和	1045	and/和	807	6	9	660
3422	Fuzhou	and	kɔyŋ²⁴²	kɔyŋ²⁴²	k ɔy ŋ ²⁴²		共	625	give/共	752	5	8	621
3423	Xiamen	and	kaʔ³²*	kaʔ³²*	k a ʔ ³²	!b	和	1046	and/和	808	13	16	661
2892	Beijing	animal	tuŋ⁵¹⁻⁵³ u⁵¹⁻³¹	tuŋ⁵¹⁻⁵³ u⁵¹⁻³¹	t u ŋ ⁵¹ + u ⁵¹		動 物	588 179	move/動 thing/物	696	14	17	577
2893	Haerbin	animal	tuŋ⁵³ u⁰	tuŋ⁵³ u⁰	t u ŋ ⁵³ + u ⁰		動 物	588 179	move/動 thing/物	696	14	17	577
2894	Jinan	animal	tuŋ³¹ u⁰	tuŋ³¹ u⁰	t u ŋ ³¹ + u ⁰		動 物	588 179	move/動 thing/物	696	14	17	577
2895	Rongcheng	animal	toŋ³³⁴⁻³ u³³⁴	toŋ³³⁴⁻³ u³³⁴	t o ŋ ³³⁴ + u ³³⁴		動 物	588 179	move/動 thing/物	696	14	17	577
2896	Taiyuan	animal	tuŋ⁴⁵ və⁰	tuŋ⁴⁵ və⁰	t u ŋ ⁴⁵ + v ə ⁰		動 物	588 179	move/動 thing/物	696	14	17	577
2897	XiAn	animal	tuŋ⁴⁴ vo²¹	tuŋ⁴⁴ vo²¹	t u ŋ ⁴⁴ + v o ²¹		動 物	588 179	move/動 thing/物	696	14	17	577
2898	Chengdu	animal	toŋ²¹³ u²¹	toŋ²¹³ u²¹	t o ŋ ²¹³ + u ²¹		動 物	588 179	move/動 thing/物	696	14	17	577
2899	Nanjing	animal	toŋ⁴⁴⁻⁴² uʔ⁵	toŋ⁴⁴⁻⁴² uʔ⁵	t o ŋ ⁴⁴ + u ʔ ⁵		動 物	588 179	move/動 thing/物	696	14	17	577
2900	Jixi	animal	tʰɑ̃²¹³⁻³¹ vɤʔ³²*	tʰɑ̃²¹³⁻³¹ vɤʔ³²*	tʰ ɑ̃ ²¹³ + v ɤ ʔ ³²		動 物	588 179	move/動 thing/物	696	14	17	577
2901	Suzhou	animal	tsoŋ⁴⁴ sã⁴⁴⁻²¹	tsoŋ⁴⁴ sã⁴⁴⁻²¹	ts o ŋ ⁴⁴ + s ã ⁴⁴		眾 牲	589 590	animal/眾 beast/牲	697	16	22	578
2902	Wenzhou	animal	doŋ²⁴ vai²²⁻²¹	doŋ²⁴ vai²²⁻²¹	d o ŋ ²⁴ + v ai ²²		動 物	588 179	move/動 thing/物	696	14	17	577
2903	Changsha	animal	toŋ¹¹ u²⁴	toŋ¹¹ u²⁴	t o ŋ ¹¹ + u ²⁴		動 物	588 179	move/動 thing/物	696	14	17	577
2904	Loudi	animal	dɤn¹¹ u³⁵⁻⁵	dɤn¹¹ u³⁵⁻⁵	d ɤ n ¹¹ + u ³⁵		動 物	588 179	move/動 thing/物	696	14	17	577
2905	Nanchang	animal	tʰuŋ²¹ u⁰	tʰuŋ²¹ u⁰	tʰ u ŋ ²¹ + u ⁰		動 物	588 179	move/動 thing/物	696	14	17	577
2906	Meixian	animal	tʰuŋ⁵³ vut⁵	tʰuŋ⁵³ vut⁵	tʰ u ŋ ⁵³ + v u t ⁵		動 物	588 179	move/動 thing/物	696	14	17	577
2907	Guilin	animal	tɤn²⁵ u²²	tɤn²⁵ u²²	t ɤ ŋ ²⁵ + u ²²		動 物	588 179	move/動 thing/物	696	14	17	577
2908	Guangzhou	animal	toŋ³³ mɐt²	toŋ³³ mɐt²	t o ŋ ³³ + m ɐ t ²		動 物	588 179	move/動 thing/物	696	14	17	577
2909	Fuzhou	animal	si²¹²⁻²¹ kʰa⁵⁵ βa⁵³	si²¹²⁻²¹ kʰa⁵⁵ βa⁵³	s i ²¹² + kʰ a ⁵⁵ + β a ⁵³		四 骹 爬	225 279 591	four/四 leg/骹 _creep/爬	698	15	19	579
2910	Xiamen	animal	tɔŋ²²⁻²¹ but⁵	tɔŋ²²⁻²¹ but⁵	t ɔ ŋ ²² + b u t ⁵		動 物	588 179	move/動 thing/物	696	14	17	577
3624	Beijing	ash	xuei⁵⁵	xuei⁵⁵	x w ei ⁵⁵		灰	542	ash/灰	621	17	24	514
3625	Haerbin	ash	xuei⁴⁴	xuei⁴⁴	x w ei ⁴⁴		灰	542	ash/灰	621	17	24	514
3626	Jinan	ash	xuei²¹³	xuei²¹³	x w ei ²¹³		灰	542	ash/灰	621	17	24	514
3627	Rongcheng	ash	xuei⁵²	xuei⁵²	x w ei ⁵²		灰	542	ash/灰	621	17	24	514
3628	Taiyuan	ash	xuei²¹	xuei²¹	x w ei ²¹		灰	542	ash/灰	621	17	24	514
3629	XiAn	ash	xuei²¹	xuei²¹	x w ei ²¹		灰	542	ash/灰	621	17	24	514
3630	Chengdu	ash	xuei⁴⁵	xuei⁴⁵	x w ei ⁴⁵		灰	542	ash/灰	621	17	24	514
3631	Nanjing	ash	xuei³¹	xuei³¹	x w ei ³¹		灰	542	ash/灰	621	17	24	514
3632	Jixi	ash	fa⁵⁵	fa⁵⁵	f a ⁵⁵		灰	542	ash/灰	621	17	24	514
3633	Suzhou	ash	huᴇ⁴⁴	huᴇ⁴⁴	h w e̞ ⁴⁴		灰	542	ash/灰	621	17	24	514
3634	Wenzhou	ash	fai⁴⁴	fai⁴⁴	f ai ⁴⁴		灰	542	ash/灰	621	17	24	514
3635	Changsha	ash	fei³³	fei³³	f ei ³³		灰	542	ash/灰	621	17	24	514
3636	Loudi	ash	xue⁴⁴	xue⁴⁴	x w e ⁴⁴		灰	542	ash/灰	621	17	24	514
3637	Nanchang	ash	fɨi⁴²	fɨi⁴²	f ɨi ⁴²		灰	542	ash/灰	621	17	24	514
3638	Meixian	ash	foi³³	foi³³	f oi ³³		灰	542	ash/灰	621	17	24	514
3639	Guilin	ash	fei⁴²	fei⁴²	f ei ⁴²		灰	542	ash/灰	621	17	24	514
3640	Guangzhou	ash	fui⁵³	fui⁵³	f w i ⁵³		灰	542	ash/灰	621	17	24	514
3641	Fuzhou	ash	huoi⁵⁵⁻⁴⁴ huoi⁵⁵	huoi⁵⁵⁻⁴⁴ huoi⁵⁵	h w oi ⁵⁵ + h w oi ⁵⁵		灰 灰	542 792	ash/灰 _ash:RED/灰	839	17	24	514
3642	Fuzhou	ash	huoi⁵⁵	huoi⁵⁵	h w oi ⁵⁵		灰	542	ash/灰	621	17	24	514
3643	Xiamen	ash	he⁵⁵	he⁵⁵	h e ⁵⁵		灰	542	ash/灰	621	17	24	514
250	Beijing	back	pei⁵¹	pei⁵¹	p ei ⁵¹		背	72	back:N/背	53	18	26	48
251	Haerbin	back	pei⁵³	pei⁵³	p ei ⁵³		背	72	back:N/背	53	18	26	48
252	Jinan	back	pei³¹	pei³¹	p ei ³¹		背	72	back:N/背	53	18	26	48
253	Rongcheng	back	pei⁵²	pei⁵²	p ei ⁵²		背	72	back:N/背	53	18	26	48
254	Taiyuan	back	pei⁴⁵	pei⁴⁵	p ei ⁴⁵		背	72	back:N/背	53	18	26	48
255	XiAn	back	tɕi²¹ pei²⁴	tɕi²¹ pei²⁴	tɕ i ²¹ + p ei ²⁴		脊 背	73 72	_spine:N/脊 back:N/背	54	18	26	48
256	XiAn	back	pei²⁴	pei²⁴	p ei ²⁴		背	72	back:N/背	53	18	26	48
257	Chengdu	back	pei²¹³	pei²¹³	p ei ²¹³		背	72	back:N/背	53	18	26	48
258	Nanjing	back	pei⁴⁴	pei⁴⁴	p ei ⁴⁴		背	72	back:N/背	53	18	26	48
259	Jixi	back	pa³⁵	pa³⁵	p a ³⁵		背	72	back:N/背	53	18	26	48
260	Suzhou	back	pᴇ⁴¹²	pᴇ⁴¹²	p e̞ ⁴¹²		背	72	back:N/背	53	18	26	48
261	Wenzhou	back	pai⁴²⁻³ dʑi²⁴⁻⁴⁴ saŋ⁴⁴⁻²¹	pai⁴²⁻³ dʑi²⁴⁻⁴⁴ saŋ⁴⁴⁻²¹	p ai ⁴² + dʑ i ²⁴ + s a ŋ ⁴⁴	骶 is the last bone of the spine	背 骶 身	72 74 75	back:N/背 _sacrum/骶 _body/身	55	18	26	48
262	Changsha	back	pei⁵⁵	pei⁵⁵	p ei ⁵⁵		背	72	back:N/背	53	18	26	48
263	Loudi	back	pe³⁵	pe³⁵	p e ³⁵		背	72	back:N/背	53	18	26	48
264	Nanchang	back	pei⁴⁵ tɕiaʔ⁰	pei⁴⁵ tɕiaʔ⁰	p ei ⁴⁵ + tɕ j a ʔ ⁰		背 脊	72 73	back:N/背 _spine:N/脊	56	18	26	48
265	Meixian	back	poi⁵³	poi⁵³	p oi ⁵³		背	72	back:N/背	53	18	26	48
266	Guilin	back	pei²⁵	pei²⁵	p ei ²⁵		背	72	back:N/背	53	18	26	48
267	Guangzhou	back	pui³³	pui³³	p w i ³³		背	72	back:N/背	53	18	26	48
268	Fuzhou	back	pʰiaŋ⁵⁵	pʰiaŋ⁵⁵	pʰ j a ŋ ⁵⁵	irregular nasalization. Charaters is 𩩍. Rib	背	72	back:N/背	53	18	26	48
269	Xiamen	back	ka⁵⁵⁻²² tsiaʔ³²*	ka⁵⁵⁻²² tsiaʔ³²*	k a ⁵⁵ + ts j a ʔ ³²	changed.	胛 脊	76 73	shoulder.blade/胛 spine:N/脊	57	18	27	49
3582	Beijing	bad	xai⁵¹	xai⁵¹	x ai ⁵¹		壞	663	bad/壞	833	19	31	682
3583	Haerbin	bad	xuai⁵³	xuai⁵³	x w ai ⁵³		壞	663	bad/壞	833	19	31	682
3584	Jinan	bad	xuɛ³¹	xuɛ³¹	x w ɛ ³¹		壞	663	bad/壞	833	19	31	682
3585	Rongcheng	bad	xuai³³⁴	xuai³³⁴	x w ai ³³⁴		壞	663	bad/壞	833	19	31	682
3586	Taiyuan	bad	xuai⁴⁵	xuai⁴⁵	x w ai ⁴⁵		壞	663	bad/壞	833	19	31	682
3587	XiAn	bad	xuɛ⁴⁴	xuɛ⁴⁴	x w ɛ ⁴⁴		壞	663	bad/壞	833	19	31	682
3588	Chengdu	bad	xuai²¹³	xuai²¹³	x w ai ²¹³		壞	663	bad/壞	833	19	31	682
3589	Nanjing	bad	xuɛ⁴⁴	xuɛ⁴⁴	x w ɛ ⁴⁴		壞	663	bad/壞	833	19	31	682
3590	Jixi	bad	vɔ³¹	vɔ³¹	v ɔ ³¹		壞	663	bad/壞	833	19	31	682
3591	Suzhou	bad	tɕʰiʏ⁴⁴	tɕʰiʏ⁴⁴	tɕʰ j ʏ ⁴⁴		恘	664	bad/恘	834	21	33	683
3592	Suzhou	bad	uɑ⁴¹²	uɑ⁴¹²	w ɑ ⁴¹²		壞	663	bad/壞	833	19	31	682
3593	Wenzhou	bad	mə³⁴¹	mə³⁴¹	m ə ³⁴¹		毛	777	bad/毛	835	22	34	684
3594	Changsha	bad	fai¹¹	fai¹¹	f ai ¹¹		壞	663	bad/壞	833	19	31	682
3596	Loudi	bad	ɣua¹¹	ɣua¹¹	ɣ w a ¹¹		壞	663	bad/壞	833	19	31	682
3597	Nanchang	bad	fai²¹	fai²¹	f ai ²¹		壞	663	bad/壞	833	19	31	682
3598	Meixian	bad	fai⁵³	fai⁵³	f ai ⁵³		壞	663	bad/壞	833	19	31	682
3599	Meixian	bad	pe³¹	pe³¹	p e ³¹		鄙	666	bad/鄙	836	25	37	685
3600	Guilin	bad	fai²¹	fai²¹	f ai ²¹		壞	663	bad/壞	833	19	31	682
3601	Guangzhou	bad	uai²²	uai²²	w ai ²²		壞	663	bad/壞	833	19	31	682
3602	Fuzhou	bad	pʰai³²	pʰai³²	pʰ ai ³²		痞	667	bad/痞	837	20	32	686
3603	Fuzhou	bad	ŋai⁵³	ŋai⁵³	ŋ ai ⁵³		呆	574	dull/呆	676	24	36	557
3604	Xiamen	bad	pʰai⁵³	pʰai⁵³	pʰ ai ⁵³		否	100	bad/否	83	23	35	72
829	Beijing	bark	ʂu⁵¹⁻⁵³ pʰiər³⁵	ʂu⁵¹⁻⁵³ pʰiər³⁵	ʂ u ⁵¹ + pʰ i ³⁵	METO META	树 皮	134 16	_tree/树 skin/皮	196	26	38	14
830	Haerbin	bark	ʂu⁵³ pʰi²⁴	ʂu⁵³ pʰi²⁴	ʂ u ⁵³ + pʰ i ²⁴		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
831	Jinan	bark	ʂu³¹ pʰi⁵³	ʂu³¹ pʰi⁵³	ʂ u ³¹ + pʰ i ⁵³		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
832	Rongcheng	bark	ʃy³³⁴⁻³ pʰi³⁵	ʃy³³⁴⁻³ pʰi³⁵	ʃ y ³³⁴ + pʰ i ³⁵		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
833	Taiyuan	bark	su⁴⁵ pʰi²¹	su⁴⁵ pʰi²¹	s u ⁴⁵ + pʰ i ²¹		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
834	XiAn	bark	fu⁴⁴ pʰi²⁴	fu⁴⁴ pʰi²⁴	f u ⁴⁴ + pʰ i ²⁴		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
835	Chengdu	bark	su²¹³ pʰi²¹	su²¹³ pʰi²¹	s u ²¹³ + pʰ i ²¹		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
836	Nanjing	bark	su⁴⁴⁻⁴² pʰi¹³	su⁴⁴⁻⁴² pʰi¹³	s u ⁴⁴ + pʰ i ¹³		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
837	Jixi	bark	ɕy³¹⁻⁵³ pʰɿ⁴⁴	ɕy³¹⁻⁵³ pʰɿ⁴⁴	ɕ y ³¹ + pʰ ɿ ⁴⁴		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
838	Suzhou	bark	zʯ²³¹⁻²² bi¹³⁻³¹	zʯ²³¹⁻²² bi¹³⁻³¹	z ʯ ²³¹ + b i ¹³		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
839	Wenzhou	bark	zɿ²²⁻⁴² bei³⁴¹⁻²¹	zɿ²²⁻⁴² bei³⁴¹⁻²¹	z ɿ ²² + b ei ³⁴¹		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
840	Changsha	bark	ɕy¹¹ pi¹³	ɕy¹¹ pi¹³	ɕ y ¹¹ + p i ¹³		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
841	Loudi	bark	ʑy¹¹ bi¹³	ʑy¹¹ bi¹³	ʑ y ¹¹ + b i ¹³		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
842	Nanchang	bark	su²¹ pʰi²⁴	su²¹ pʰi²⁴	s u ²¹ + pʰ i ²⁴		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
843	Meixian	bark	su⁵³⁻⁵⁵ pʰi¹¹	su⁵³⁻⁵⁵ pʰi¹¹	s u ⁵³ + pʰ i ¹¹		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
844	Guilin	bark	ɕy²¹ pi²²	ɕy²¹ pi²²	ɕ y ²¹ + p i ²²		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
845	Guangzhou	bark	sy²² pʰei²¹	sy²² pʰei²¹	s y ²² + pʰ ei ²¹		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
846	Fuzhou	bark	tsʰieu²¹²⁻⁵⁵ pʰuoi⁵³	tsʰieu²¹²⁻⁵⁵ pʰuoi⁵³	tsʰ j eu ²¹² + pʰ w oi ⁵³		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
847	Xiamen	bark	tsʰiu²²⁻²¹ pʰe²⁴	tsʰiu²²⁻²¹ pʰe²⁴	tsʰ j u ²² + pʰ e ²⁴		树 皮	134 16	_tree/树 skin/皮	196	26	38	14
1925	Beijing	because	in⁵⁵ uei⁰	in⁵⁵ uei⁰	i n ⁵⁵ + w ei ⁰		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1926	Haerbin	because	in⁴⁴ ʋei⁰	in⁴⁴ ʋei⁰	i n ⁴⁴ + ʋ ei ⁰		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1927	Haerbin	because	yŋ⁴⁴ xu⁰	yŋ⁴⁴ xu⁰	y ŋ ⁴⁴ + x u ⁰		庸 乎	385 386	because/庸 because/乎	441	28	42	373
1928	Jinan	because	iẽ²¹⁴⁻²⁴ vei³¹	iẽ²¹⁴⁻²⁴ vei³¹	j ẽ ²¹⁴ + v ei ³¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1929	Rongcheng	because	in⁵² uei³⁵	in⁵² uei³⁵	i n ⁵² + w ei ³⁵		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1930	Taiyuan	because	iŋ²¹ vei⁴⁵	iŋ²¹ vei⁴⁵	i ŋ ²¹ + v ei ⁴⁵		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1931	XiAn	because	iẽ²¹ uei²⁴	iẽ²¹ uei²⁴	j ẽ ²¹ + w ei ²⁴		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1932	Chengdu	because	in⁴⁵ uei²¹³⁻²¹	in⁴⁵ uei²¹³⁻²¹	i n ⁴⁵ + w ei ²¹³		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1933	Nanjing	because	in³¹ ʋei¹³	in³¹ ʋei¹³	i n ³¹ + ʋ ei ¹³		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1934	Jixi	because	iɑ̃⁵⁵ vi⁵⁵	iɑ̃⁵⁵ vi⁵⁵	j ɑ̃ ⁵⁵ + v i ⁵⁵		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1935	Suzhou	because	in⁴⁴ ɦuᴇ²³¹⁻²¹	in⁴⁴ ɦuᴇ²³¹⁻²¹	i n ⁴⁴ + ɦ w e̞ ²³¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1936	Wenzhou	because	iaŋ⁴⁴ vu³⁴¹⁻²¹	iaŋ⁴⁴ vu³⁴¹⁻²¹	j a ŋ ⁴⁴ + v u ³⁴¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1937	Changsha	because	in³³ uei¹¹	in³³ uei¹¹	i n ³³ + w ei ¹¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1938	Loudi	because	in⁴⁴ ui¹¹	in⁴⁴ ui¹¹	i n ⁴⁴ + w i ¹¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1939	Nanchang	because	in⁴² ui²¹	in⁴² ui²¹	i n ⁴² + w i ²¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1940	Meixian	because	in³³⁻³⁵ vi¹¹	in³³⁻³⁵ vi¹¹	i n ³³ + v i ¹¹		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1941	Guilin	because	iŋ⁴² uei²²	iŋ⁴² uei²²	i ŋ ⁴² + w ei ²²		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
1942	Guangzhou	because	iɐn⁵³ uɐi²²	iɐn⁵³ uɐi²²	j ɐ n ⁵³ + w ɐi ²²		因 为	383 384	reason/因 in.order.to/为	440	27	40	372
