ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	CHARACTERS	COGIDS	MORPHEMES	STRICTID	LOOSEID	COMMONID	SALIENTID
1461	Beijing	I	uo²¹³	uo²¹³	w o ²¹³		我	313	I:1ST/我	353	263	494	302
1462	Haerbin	I	uo²¹³	uo²¹³	w o ²¹³		我	313	I:1ST/我	353	263	494	302
1463	Jinan	I	vɔ⁴⁵	vɔ⁴⁵	v ɔ ⁴⁵		我	313	I:1ST/我	353	263	494	302
1464	Rongcheng	I	uɔ²¹⁴	uɔ²¹⁴	w ɔ ²¹⁴		我	313	I:1ST/我	353	263	494	302
1465	Taiyuan	I	ɣɤ⁵³	ɣɤ⁵³	ɣ ɤ ⁵³		我	313	I:1ST/我	353	263	494	302
1466	XiAn	I	ŋɤ⁵³	ŋɤ⁵³	ŋ ɤ ⁵³		我	313	I:1ST/我	353	263	494	302
1467	Chengdu	I	ŋo⁵³	ŋo⁵³	ŋ o ⁵³		我	313	I:1ST/我	353	263	494	302
1468	Nanjing	I	o¹¹	o¹¹	o ¹¹		我	313	I:1ST/我	353	263	494	302
1469	Jixi	I	ɔ²¹³	ɔ²¹³	ɔ ²¹³		我	313	I:1ST/我	353	263	494	302
1470	Suzhou	I	ŋəu²³¹	ŋəu²³¹	ŋ əu ²³¹		吾	314	I:1ST/吾	354	265	496	303
1471	Wenzhou	I	ŋ̍²⁴	ŋ̍²⁴	ŋ̍ ²⁴		我	313	I:1ST/我	353	263	494	302
1472	Changsha	I	ŋo⁴¹	ŋo⁴¹	ŋ o ⁴¹		我	313	I:1ST/我	353	263	494	302
1473	Loudi	I	ŋ̍⁴²	ŋ̍⁴²	ŋ̍ ⁴²		我	313	I:1ST/我	353	263	494	302
1474	Nanchang	I	ŋo²¹³	ŋo²¹³	ŋ o ²¹³		我	313	I:1ST/我	353	263	494	302
1475	Meixian	I	ŋai¹¹	ŋai¹¹	ŋ ai ¹¹		佳	315	I:1ST/佳	355	264	495	304
1476	Guilin	I	uo²³	uo²³	w o ²³		我	313	I:1ST/我	353	263	494	302
1477	Guangzhou	I	ŋɔ²³	ŋɔ²³	ŋ ɔ ²³		我	313	I:1ST/我	353	263	494	302
1478	Fuzhou	I	ŋuai³²	ŋuai³²	ŋ w ai ³²		我	313	I:1ST/我	353	263	494	302
1479	Xiamen	I	ŋua⁵³	ŋua⁵³	ŋ w a ⁵³		我	313	I:1ST/我	353	263	494	302
148	Beijing	all	tɕʰyɛn³⁵ pu⁵¹	tɕʰyɛn³⁵ pu⁵¹	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹		全 部	54 55	complete/全 part/部	38	1	1	33
149	Haerbin	all	tɕʰyan²⁴ pu⁵³	tɕʰyan²⁴ pu⁵³	tɕʰ ɥ a n ²⁴ + p u ⁵³	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
150	Jinan	all	tɕʰyæ̃⁵³ pu³¹	tɕʰyæ̃⁵³ pu³¹	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
151	Rongcheng	all	tsʰiɐn³⁵ pur³³⁴	tsʰiɐn³⁵ pur³³⁴	tsʰ j ɐ n ³⁵ + p u ³³⁴	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
152	Taiyuan	all	tɕʰye²¹ pu⁴⁵	tɕʰye²¹ pu⁴⁵	tɕʰ ɥ e ²¹ + p u ⁴⁵	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
153	XiAn	all	tsʰuæ̃²⁴ pu⁴⁴	tsʰuæ̃²⁴ pu⁴⁴	tsʰ w æ̃ ²⁴ + p u ⁴⁴	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
154	Chengdu	all	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰ ɥ a n ²¹ + p u ²¹³	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
155	Nanjing	all	tɕʰyen¹³ pu⁴⁴	tɕʰyen¹³ pu⁴⁴	tɕʰ ɥ e n ¹³ + p u ⁴⁴	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
156	Jixi	all	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
157	Suzhou	all	ziɪ¹³ bu²³¹⁻²¹	ziɪ¹³ bu²³¹⁻²¹	z j ɪ ¹³ + b u ²³¹	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
158	Wenzhou	all	jy³⁴¹⁻²⁴ bu²⁴⁻²²	jy³⁴¹⁻²⁴ bu²⁴⁻²²	j y ³⁴¹ + b u ²⁴	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
159	Changsha	all	tɕʰyẽ¹³ pu¹¹	tɕʰyẽ¹³ pu¹¹	tɕʰ ɥ ẽ ¹³ + p u ¹¹		全 部	54 55	complete/全 part/部	38	1	1	33
160	Loudi	all	dzuĩ¹³ bu¹¹	dzuĩ¹³ bu¹¹	dz w ĩ ¹³ + b u ¹¹		全 部	54 55	complete/全 part/部	38	1	1	33
161	Nanchang	all	tɕʰyon²⁴ pu⁰	tɕʰyon²⁴ pu⁰	tɕʰ ɥ o n ²⁴ + p u ⁰	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
162	Meixian	all	tɕʰien¹¹ pʰu⁵³	tɕʰien¹¹ pʰu⁵³	tɕʰ j e n ¹¹ + pʰ u ⁵³	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
163	Guilin	all	tɕyã²² pu²¹	tɕyã²² pu²¹	tɕ ɥ ã ²² + p u ²¹	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
164	Guangzhou	all	tsʰyn²¹ pou²²	tsʰyn²¹ pou²²	tsʰ y n ²¹ + p ou ²²	copula-compound	全 部	54 55	complete/全 part/部	38	1	1	33
165	Fuzhou	all	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	囫囵下. copula-compound-modified	個 郎 下	56 467 58	-piece:CLS/個 all/郎 _descend/下	39	2	3	34
