|English|Chinese|compound|morpheme|highlighted|doculect|multisyllabic|
|tongue|舌頭,舌頭,舌頭,舌頭,舌头,舌頭,舌頭,舌頭,舌頭,舌子,舌子,舌頭,舌嫲,舌頭|N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S|tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 -child:SUF/子,tongue/舌 -child:SUF/子,tongue/舌 head:SUF/頭,tongue/舌 :SUF/嫲,tongue/舌 head:SUF/頭|tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 head:SUF/頭,tongue/舌 -child:SUF/子,tongue/舌 -child:SUF/子,tongue/舌 head:SUF/頭,tongue/舌 :SUF/嫲,tongue/舌 head:SUF/頭|Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Suzhou,Changsha,Changsha,Loudi,Nanchang,Meixian,Guilin|False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|snake|长虫,长虫,长虫|A N,A N,A N|long/长 insect/虫,long/长 insect/虫,long/长 insect/虫|long/长 insect/虫,long/长 insect/虫,long/长 insect/虫|Ha_erbin,Rongcheng,Xi_an|False,False,False|
|rope|繩索|N N|rope/繩 rope/索|rope/繩 rope/索|Chengdu|False|
|louse|虱子,虱子,虱子,虱子,虱子,虱子,跳虱,虱婆子,虱婆子,虱嫲,虱母,家叉+蟲|N S,N S,N S,N S,N S,N S,V N,N N S,N N S,N N,N N,N N|louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,jump/跳 louse/虱,louse/虱 woman/婆 -child:SUF/子,louse/虱 woman/婆 -child:SUF/子,louse/虱 ma/嫲,louse/虱 mother/母,family/家 louse/叉+蟲|louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,louse/虱 -child:SUF/子,jump/跳 louse/虱,louse/虱 woman/婆 -child:SUF/子,louse/虱 woman/婆 -child:SUF/子,louse/虱 ma/嫲,louse/虱 mother/母,family/家 louse/叉+蟲|Ha_erbin,Jinan,Taiyuan,Chengdu,Nanjing,Jixi,Suzhou,Changsha,Loudi,Meixian,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False|
|wet|透流|A V|permeate/透 flow/流|permeate/透 flow/流|Jixi|False|
|what|什麼,什麼,什麼,什麼,什麼,什麼,什麼,脉個,什麼,什物|Pron Pron,Pron Pron,Pron Pron,Pron Pron,Pron Pron,Pron Pron,Pron Pron,Pron CLS,Pron Pron,Pron N|what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,WHAT -piece:CLS/個,what:QU/什 what:QU/麼,what:QU/什 thing/物|what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,what:QU/什 what:QU/麼,WHAT -piece:CLS/個,what:QU/什 what:QU/麼,what:QU/什 thing/物|Beijing,Ha_erbin,Jinan,Rongcheng,Nanjing,Jixi,Changsha,Meixian,Guilin,Xiamen|False,False,False,False,False,False,False,False,False,False|
|stone|石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭,石頭|N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S,N S|stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭|stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭,stone/石 head:SUF/頭|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Changsha,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|fruit|水果,水果,水果,果們,水果,水果,水果,水果,水果,水果,水果,水果,果子,水果,水果,水果,水果,果子,水果|N N,N N,N N,N S,N N,N N,N N,N N,N N,N N,N N,N N,N S,N N,N N,N N,N N,N S,N N|water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,fruit.result/果 :PL/們,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,fruit.result/果 -child:SUF/子,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,fruit.result/果 -child:SUF/子,water/水 fruit.result/果|water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,fruit.result/果 :PL/們,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,fruit.result/果 -child:SUF/子,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,water/水 fruit.result/果,fruit.result/果 -child:SUF/子,water/水 fruit.result/果|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|die|彈四郎|V N N|die/彈 die/四 die/郎|die/彈 die/四 die/郎|Changsha|False|
|they|他們,他們,他們,他們,他們,他的,他們,他們,渠人,俚竹+马,渠俫,他們,他㑲,渠們,佢丁人,他的個,佢哋,伊儂,伊各儂|Pron S,Pron S,Pron S,Pron S,Pron S,Pron G,Pron S,Pron S,Pron N,Pron Pron,Pron S,Pron S,Pron S,Pron S,Pron S N,Pron G CLS,Pron S,Pron N,Pron C Pron|other/他 :PL/們,other/他 :PL/們,other/他 :PL/們,other/他 :PL/們,other/他 :PL/們,he :GEN/的,other/他 :PL/們,other/他 :PL/們,he/渠 person/人,he/俚 they/竹马,he/渠 :SUF/俫,other/他 :PL/們,he :PL/㑲,he/渠 :PL/們,he/佢 :PL/丁 person/人,other/他 :GEN/的 -piece:CLS/個,he/佢 :PL/哋,he/伊 :SUF/儂,he/伊 :PL/各 :SUF/儂|other/他 :PL/們,other/他 :PL/們,other/他 :PL/們,other/他 :PL/們,other/他 :PL/們,he :GEN/的,other/他 :PL/們,other/他 :PL/們,he/渠 person/人,he/俚 they/竹马,he/渠 :SUF/俫,other/他 :PL/們,he :PL/㑲,he/渠 :PL/們,he/佢 :PL/丁 person/人,other/他 :GEN/的 -piece:CLS/個,he/佢 :PL/哋,he/伊 :SUF/儂,he/伊 :PL/各 :SUF/儂|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Fuzhou|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
