|English|Chinese|compound|morpheme|highlighted|doculect|multisyllabic|
|sun|太陽,日頭,太陽,太陽,日頭,太陽,太陽,日頭,太陽,太陽,太陽,太陽,太陽,太陽,太陽,太陽,日頭,日頭,太陽,日頭|N N,N S,N N,N N,N S,N N,N N,N S,N N,N N,N N,N N,N N,N N,N N,N N,N S,N S,N N,N S|huge/太 sun/陽,sun/日 head:SUF/頭,huge/太 sun/陽,huge/太 sun/陽,sun/日 head:SUF/頭,huge/太 sun/陽,huge/太 sun/陽,sun/日 head:SUF/頭,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,sun/日 head:SUF/頭,sun/日 head:SUF/頭,huge/太 sun/陽,sun/日 head:SUF/頭|huge/太 sun/陽,sun/日 head:SUF/頭,huge/太 sun/陽,huge/太 sun/陽,sun/日 head:SUF/頭,huge/太 sun/陽,huge/太 sun/陽,sun/日 head:SUF/頭,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,huge/太 sun/陽,sun/日 head:SUF/頭,sun/日 head:SUF/頭,huge/太 sun/陽,sun/日 head:SUF/頭|Beijing,Ha_erbin,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|sky|天空,天上,天空,天空,天上,天空,天上,天空,天空,天老爺,天里,天空,天空,天上,天空,天空,天中,天頂|N N,N N,N N,N N,N N,N N,N N,N N,N N,N A N,N N,N N,N N,N N,N N,N N,N S,N N|sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 old/老 father/爺,sky.day/天 inside/里,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 :SUF/儂,sky.day/天 top/頂|sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 old/老 father/爺,sky.day/天 inside/里,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 top/上,sky.day/天 space/空,sky.day/天 space/空,sky.day/天 :SUF/儂,sky.day/天 top/頂|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|hear|聽見,聽見,聽見,聽見,聽見,聽見,聽到,聽見,聽見,聽見,聽着,聽見,聽見,聽見,聽見,聽見,聽見,聽着|V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V|hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 arrive/到,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 reach/着,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 reach/着|hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 arrive/到,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 reach/着,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 see.perceive/見,hear/聽 reach/着|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|head|腦壳,頭那|N N,N A|brain/腦 shell/壳,head/頭 that/那|brain/腦 shell/壳,head/頭 that/那|Changsha,Meixian|False,False|
|earth|土地,土地,土地,土地,土地,土地,土地,土地,土地,地皮,土地,土地,土地,土地,土地,土地,土地,土地,涂地,土地|N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N|soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,ground/地 skin/皮,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,mud ground/地,soil/土 ground/地|soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,ground/地 skin/皮,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,soil/土 ground/地,mud ground/地,soil/土 ground/地|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|leg|骹腿|N N|leg/骹 leg/腿|leg/骹 leg/腿|Fuzhou|False|
|play|白相,骹遛,𨑨迌|Adv N,N V,V V|white/白 fight:N/相,leg/骹 play/遛,play/𨑨 play/迌|white/白 fight:N/相,leg/骹 play/遛,play/𨑨 play/迌|Suzhou,Fuzhou,Xiamen|False,False,False|
|night|晚上,晚上,下黑,下晚黑,晚上,后晌,晚上,晚上,晚上,夜下,黃昏,晚上,夜裡,夜晚,暗晡,夜下,晚上,暝晡,下昏|N N,N N,N N,N N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N|evening/晚 top/上,evening/晚 top/上,descend/下 black/黑,descend/下 evening/晚 black/黑,evening/晚 top/上,after/后 dawn/晌,evening/晚 top/上,evening/晚 top/上,evening/晚 top/上,night/夜 descend/下,yellow/黃 dawn/昏,evening/晚 top/上,night/夜 inside/里,night/夜 evening/晚,dark/暗 night/晡,night/夜 descend/下,evening/晚 top/上,dark/暝 night/晡,descend/下 dawn/昏|evening/晚 top/上,evening/晚 top/上,descend/下 black/黑,descend/下 evening/晚 black/黑,evening/晚 top/上,after/后 dawn/晌,evening/晚 top/上,evening/晚 top/上,evening/晚 top/上,night/夜 descend/下,yellow/黃 dawn/昏,evening/晚 top/上,night/夜 inside/里,night/夜 evening/晚,dark/暗 night/晡,night/夜 descend/下,evening/晚 top/上,dark/暝 night/晡,descend/下 dawn/昏|Beijing,Ha_erbin,Ha_erbin,Ha_erbin,Jinan,Rongcheng,Taiyuan,Chengdu,Nanjing,Jixi,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|we|我們,我們,我們,我們,我們,我們,我們,我人,吾伲,我倈,我們,我俺,我們,我竹固哩,𠊎丁人,我囗囗囗,我哋,侬家|Pron S,Pron S,Pron S,Pron S,Pron S,Pron S,Pron S,Pron N,Pron S,Pron S,Pron S,Pron Pron,Pron S,Pron S S,Pron S N,Pron S N CLS,Pron S,Pron N|I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 person/人,I:ST/吾 :SUF/伲,I:1ST/我 :SUF/俫,I:1ST/我 :PL/們,I:1ST/我 :1ST/俺,I:1ST/我 :PL/們,I:ST/我 :SUF/竹固 :SUF/哩,I:1ST/𠊎 :PL/丁 person/人,I:1ST/我 :suffix/te :suffix/lei -piece:CLS/個,I:1ST/我 :PL/哋,we/侬 family/家|I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 :PL/們,I:1ST/我 person/人,I:ST/吾 :SUF/伲,I:1ST/我 :SUF/俫,I:1ST/我 :PL/們,I:1ST/我 :1ST/俺,I:1ST/我 :PL/們,I:ST/我 :SUF/竹固 :SUF/哩,I:1ST/𠊎 :PL/丁 person/人,I:1ST/我 :suffix/te :suffix/lei -piece:CLS/個,I:1ST/我 :PL/哋,we/侬 family/家|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|fog|迷露,蒙纱|N N,N N|fog/迷 hide/露,fog/蒙 fog/纱|fog/迷 hide/露,fog/蒙 fog/纱|Suzhou,Meixian|False,False|
|knee|膝蓋,簸棱盖,膝盖,波棱蓋,膝蓋,波羅蓋,膝蓋,膝蓋,膝頭,膝頭,膝頭,腳頭足夫|N N,N N N,N N,N N N,N N,N N N,N N,N N,N S,N S,N S,N S N|knee/膝 cover/蓋,knee/波 knee/leng cover/盖,knee/膝 cover/盖,knee/波 knee/leng cover/蓋,knee/膝 cover/蓋,knee/波 knee/leng cover/蓋,knee/膝 cover/蓋,knee/膝 cover/蓋,knee/膝 head:SUF/頭,knee/膝 head:SUF/頭,knee/膝 head:SUF/頭,foot/腳 head:SUF/頭 knee/足夫|knee/膝 cover/蓋,knee/波 knee/leng cover/盖,knee/膝 cover/盖,knee/波 knee/leng cover/蓋,knee/膝 cover/蓋,knee/波 knee/leng cover/蓋,knee/膝 cover/蓋,knee/膝 cover/蓋,knee/膝 head:SUF/頭,knee/膝 head:SUF/頭,knee/膝 head:SUF/頭,foot/腳 head:SUF/頭 knee/足夫|Ha_erbin,Ha_erbin,Jinan,Rongcheng,Taiyuan,Nanjing,Changsha,Nanchang,Meixian,Guilin,Guangzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False|
|squeeze|囗得|V V|/tshe reach/得|/tshe reach/得|Loudi|False|
|tooth|牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒,牙齒|N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N|tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒|tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒,tooth/牙 tooth/齒|Beijing,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|eye|眼睛,眼睛,眼睛,眼睛,眼睛,眼窝,眼睛,眼睛,眼睛,眼睛,眼珠,眼睛,眼珠,眼睛,眼睛,目睭,目珠|N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N|eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 nest/窝,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 pearl/珠,eye/睛 eye.ball/睛,eye/睛 pearl/珠,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/目 eye.ball/珠,eye/目 eye.ball/珠|eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 nest/窝,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/睛 pearl/珠,eye/睛 eye.ball/睛,eye/睛 pearl/珠,eye/睛 eye.ball/睛,eye/睛 eye.ball/睛,eye/目 eye.ball/珠,eye/目 eye.ball/珠|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|because|因为,因为,庸乎,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为,因为|P V,P V,P Pt,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V,P V|reason/因 in.order.to/为,reason/因 in.order.to/为,because/庸 because/乎,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为|reason/因 in.order.to/为,reason/因 in.order.to/为,because/庸 because/乎,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为,reason/因 in.order.to/为|Beijing,Ha_erbin,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|feather|羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,羽毛,毛毛,翼毛|N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N,N N|feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,hair.feather.fur/毛 hair:RED,wing/翼 hair.feather.fur/毛|feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,feather/羽 hair.feather.fur/毛,hair.feather.fur/毛 hair:RED,wing/翼 hair.feather.fur/毛|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guangzhou,Fuzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|moon|月亮,月亮,月亮,月亮,月亮,月明,月亮,月亮,月亮,月亮,月亮,月光,月亮,月光,月光,月光,月亮,月光,月娘|N A,N A,N A,N A,N A,N A,N A,N A,N A,N A,N A,N N,N A,N N,N A,N N,N A,N N,N N|moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/明,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 ray/光,moon/月 shine/亮,moon/月 ray/光,moon/月 shine/亮,moon/月 ray/光,moon/月 shine/亮,moon/月 ray/光,moon/月 female/娘|moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/明,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 shine/亮,moon/月 ray/光,moon/月 shine/亮,moon/月 ray/光,moon/月 shine/亮,moon/月 ray/光,moon/月 shine/亮,moon/月 ray/光,moon/月 female/娘|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|dirty|埋汰,邋遢,蒌馊,龌龊,鏖糟,邋遢,囗赖,腌臢,邋遢,汚糟,歯屋歯足|A A,A A,A A,A A,A A,A A,A A,A A,A A,A A,A A|dirty/埋 dirty/汰,dirty/邋 dirty/遢,dirty/蒌 dirty/馊,dirty/龌 dirty/龊,dirty/鏖 dirty/糟,dirty/邋 dirty/遢,dirty/pha dirty/赖,dirty/腌 dirty/臢,dirty/邋 dirty/遢,dirty/汚 dirty/糟,dirty/歯屋 dirty/歯足|dirty/埋 dirty/汰,dirty/邋 dirty/遢,dirty/蒌 dirty/馊,dirty/龌 dirty/龊,dirty/鏖 dirty/糟,dirty/邋 dirty/遢,dirty/pha dirty/赖,dirty/腌 dirty/臢,dirty/邋 dirty/遢,dirty/汚 dirty/糟,dirty/歯屋 dirty/歯足|Ha_erbin,Chengdu,Chengdu,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Guilin,Guangzhou,Fuzhou|False,False,False,False,False,False,False,False,False,False,False|
|how|怎么,怎么,怎么,怎么,怎底,怎样,啷個,咋个,怎样,采翘,纳亨,些那,怎么,和是,吗个,怎样,酿般,如何,点样,将样,将其,怎样|Adv S,Adv S,Adv S,Adv S,Adv Pron,Adv N,Pron CLS,Pron CLS,Adv N,Adv Adv2,Adv Adv2,Adv Pron,Adv S,Adv V,Pron CLS,Adv N,Adv N,Adv Pron,Adv N,Adv N,Adv N,Adv N|how -:question/me,how -:question/me,how -:question/me,how -:question/me,how what/底,how kind/样,how/啷 -piece:CLS/個,how/咋 -piece:CLS/個,how kind/样,how/采 how/翘,how/纳 how/亨,how/些 that/那,how -:question/me,how/和 be/是,how/吗 -piece:CLS/個,how kind/样,how/酿 how/般,how/如 what/何,point kind/样,how/将 kind/样,how/将 that/其,how kind/样|how -:question/me,how -:question/me,how -:question/me,how -:question/me,how what/底,how kind/样,how/啷 -piece:CLS/個,how/咋 -piece:CLS/個,how kind/样,how/采 how/翘,how/纳 how/亨,how/些 that/那,how -:question/me,how/和 be/是,how/吗 -piece:CLS/個,how kind/样,how/酿 how/般,how/如 what/何,point kind/样,how/将 kind/样,how/将 that/其,how kind/样|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|narrow|窄狭|A A|narrow/窄 narrow/狭|narrow/窄 narrow/狭|Jixi|False|
|husband|老公,丈夫,丈夫,丈夫,娃他爸,女婿,丈夫,女官,老公,丈夫,老公,男客,老公,老公,老公,先生,老公,丈夫|N N,N N,N N,N N,N Pron N,N N,N N,N N,N N,N N,N N,A N,N N,N N,N N,A N,N N,N N|old/老 noble.man/公,husband/丈 man/夫,husband/丈 man/夫,husband/丈 man/夫,child/娃 other/他 father/爸,female/女 son-in-law/婿,husband/丈 man/夫,female/女 government.official/官,old/老 noble.man/公,husband/丈 man/夫,old/老 noble.man/公,male/男 guest/客,old/老 noble.man/公,old/老 noble.man/公,old/老 noble.man/公,first/先 born/生,old/老 noble.man/公,husband/丈 man/夫|old/老 noble.man/公,husband/丈 man/夫,husband/丈 man/夫,husband/丈 man/夫,child/娃 other/他 father/爸,female/女 son-in-law/婿,husband/丈 man/夫,female/女 government.official/官,old/老 noble.man/公,husband/丈 man/夫,old/老 noble.man/公,male/男 guest/客,old/老 noble.man/公,old/老 noble.man/公,old/老 noble.man/公,first/先 born/生,old/老 noble.man/公,husband/丈 man/夫|Beijing,Ha_erbin,Jinan,Taiyuan,Xi_an,Xi_an,Nanjing,Jixi,Wenzhou,Changsha,Nanchang,Nanchang,Meixian,Guilin,Guangzhou,Guangzhou,Fuzhou,Fuzhou|True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|this|该个,囗个|A CLS,A CLS|this/该 -piece:CLS/個,this/i -piece:CLS/個|this/该 -piece:CLS/個,this/i -piece:CLS/個|Wenzhou,Guilin|False,False|
|here|这里,这里,这疙,这里,这里,这里,这个地方,这块,尔搭,该搭,该里,咯裏,这嗒里下,竹固裏,这?,这个地方,只里,即带|Pron N,Pron N,Pron N,Pron N,Pron N,Pron N,Pron CLS N N,Pron CLS,Pron N,Pron N,Pron N,Pron N,Pron N N N,Pron N,Pron N,Pron CLS N N,Pron N,Pron N|this/这 inside/里,this/这 inside/里,this/这 this/疙,this/这 inside/里,this/这 inside/里,this/这 inside/里,this/这 -piece:CLS/個 ground/地 square/方,this/这 piece/块,this/尔 place/搭,this/该 place/搭,this/该 inside/里,this/咯 inside/里,inside/里 down/下 inside/里 descend/下,this/竹固 inside/里,this/这 this/je,this/这 -piece:CLS/個 ground/地 square/方,this/只 inside/里,this/即 this/带|this/这 inside/里,this/这 inside/里,this/这 this/疙,this/这 inside/里,this/这 inside/里,this/这 inside/里,this/这 -piece:CLS/個 ground/地 square/方,this/这 piece/块,this/尔 place/搭,this/该 place/搭,this/该 inside/里,this/咯 inside/里,inside/里 down/下 inside/里 descend/下,this/竹固 inside/里,this/这 this/je,this/这 -piece:CLS/個 ground/地 square/方,this/只 inside/里,this/即 this/带|Beijing,Ha_erbin,Ha_erbin,Jinan,Rongcheng,Taiyuan,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|know|知道,知道,知道,知道,知道,知道,晓得,知道,晓得,晓得,晓得,知道,晓得,晓得,晓得,知得,晓得,知道,仈傳,会晓,會仈,知影|V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V,V V|know/知 know/道,know/知 know/道,know/知 know/道,know/知 know/道,know/知 know/道,know/知 know/道,know/晓 reach/得,know/知 know/道,know/晓 reach/得,know/晓 reach/得,know/晓 reach/得,know/知 know/道,know/晓 reach/得,know/晓 reach/得,know/晓 reach/得,know/知 reach/得,know/晓 reach/得,know/知 know/道,know/仈 know/傳,can/会 know/晓,know/會 know/仈,know/知 know/影|know/知 know/道,know/知 know/道,know/知 know/道,know/知 know/道,know/知 know/道,know/知 know/道,know/晓 reach/得,know/知 know/道,know/晓 reach/得,know/晓 reach/得,know/晓 reach/得,know/知 know/道,know/晓 reach/得,know/晓 reach/得,know/晓 reach/得,know/知 reach/得,know/晓 reach/得,know/知 know/道,know/仈 know/傳,can/会 know/晓,know/會 know/仈,know/知 know/影|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Fuzhou,Fuzhou,Xiamen|False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|grease|脂肪,脂肪,脂肪,脂肪,脂肪,脂肪,脂肪,脂肪,壯肉,脂肪,脂肪,脂肪,板油,油脂|N N,N N,N N,N N,N N,N N,N N,N N,A N,N N,N N,N N,N N,N N|fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,robust/壯 flesh/肉,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,board/板 oil/油,oil/油 fat/脂|fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,robust/壯 flesh/肉,fat/脂 fat/肪,fat/脂 fat/肪,fat/脂 fat/肪,board/板 oil/油,oil/油 fat/脂|Beijing,Ha_erbin,Jinan,Rongcheng,Taiyuan,Xi_an,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Nanchang,Guilin,Fuzhou|False,False,False,False,False,False,False,False,False,False,False,False,False,False|
|claw|爪爪,五爪龙|N N2,N N N|claw/爪 claw/爪,five/五 claw/爪 dragon/龙|claw/爪 claw/爪,five/五 claw/爪 dragon/龙|Chengdu,Xiamen|False,False|
